
==================================================
Processing dataset: abz08
==================================================

=== MAPLE Multi-Agent JSSP with abz08 ===
Using openai model
Dataset: /Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/applications/abzswvyn/abz08.txt
Jobs: 20, Machines: 15
==================================================

=== Results for abz08 ===
Timestamp: 2025-09-19 17:39:24

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job1 | 1 | Machine0 | 0-19 | None |
| Job10 | 1 | Machine1 | 0-18 | None |
| Job6 | 1 | Machine10 | 0-23 | None |
| Job8 | 1 | Machine11 | 0-11 | None |
| Job5 | 1 | Machine12 | 0-32 | None |
| Job4 | 1 | Machine14 | 0-22 | None |
| Job20 | 1 | Machine2 | 0-12 | None |
| Job3 | 1 | Machine3 | 0-25 | None |
| Job7 | 1 | Machine6 | 0-39 | None |
| Job9 | 1 | Machine8 | 0-20 | None |
| Job2 | 1 | Machine9 | 0-11 | None |
| Job11 | 1 | Machine11 | 11-30 | None |
| Job8 | 2 | Machine13 | 11-35 | After Job8 Step 1 |
| Job10 | 2 | Machine7 | 18-55 | After Job10 Step 1 |
| Job1 | 2 | Machine9 | 19-52 | After Job1 Step 1 |
| Job14 | 1 | Machine8 | 20-40 | None |
| Job13 | 1 | Machine14 | 22-38 | None |
| Job2 | 2 | Machine10 | 23-45 | After Job2 Step 1 |
| Job4 | 2 | Machine3 | 25-61 | After Job4 Step 1 |
| Job11 | 2 | Machine0 | 30-52 | After Job11 Step 1 |
| Job18 | 1 | Machine11 | 30-48 | None |
| Job6 | 2 | Machine12 | 32-70 | After Job6 Step 1 |
| Job13 | 2 | Machine13 | 38-54 | After Job13 Step 1 |
| Job17 | 1 | Machine14 | 38-58 | None |
| Job12 | 1 | Machine6 | 39-71 | None |
| Job15 | 1 | Machine8 | 40-71 | None |
| Job14 | 2 | Machine10 | 45-69 | After Job14 Step 1 |
| Job19 | 1 | Machine11 | 48-59 | None |
| Job11 | 3 | Machine13 | 54-90 | After Job11 Step 2 |
| Job5 | 2 | Machine14 | 58-73 | After Job5 Step 1 |
| Job19 | 2 | Machine2 | 59-70 | After Job19 Step 1 |
| Job8 | 3 | Machine10 | 69-107 | After Job8 Step 2 |
| Job1 | 3 | Machine2 | 70-102 | After Job1 Step 2 |
| Job15 | 2 | Machine0 | 71-88 | After Job15 Step 1 |
| Job12 | 2 | Machine3 | 71-93 | After Job12 Step 1 |
| Job9 | 2 | Machine6 | 71-88 | After Job9 Step 1 |
| Job16 | 1 | Machine8 | 71-109 | None |
| Job5 | 3 | Machine1 | 73-108 | After Job5 Step 2 |
| Job2 | 3 | Machine14 | 73-92 | After Job2 Step 2 |
| Job9 | 3 | Machine5 | 88-114 | After Job9 Step 2 |
| Job15 | 3 | Machine9 | 88-101 | After Job15 Step 2 |
| Job11 | 4 | Machine6 | 90-108 | After Job11 Step 3 |
| Job10 | 3 | Machine14 | 92-119 | After Job10 Step 2 |
| Job17 | 2 | Machine3 | 93-109 | After Job17 Step 1 |
| Job1 | 4 | Machine13 | 102-120 | After Job1 Step 3 |
| Job4 | 3 | Machine2 | 102-136 | After Job4 Step 2 |
| Job13 | 3 | Machine1 | 108-145 | After Job13 Step 2 |
| Job5 | 4 | Machine7 | 108-121 | After Job5 Step 3 |
| Job16 | 2 | Machine12 | 109-126 | After Job16 Step 1 |
| Job18 | 2 | Machine3 | 109-146 | After Job18 Step 1 |
| Job3 | 2 | Machine8 | 109-126 | After Job3 Step 1 |
| Job10 | 4 | Machine9 | 119-159 | After Job10 Step 3 |
| Job3 | 3 | Machine11 | 126-150 | After Job3 Step 2 |
| Job20 | 2 | Machine12 | 126-151 | After Job20 Step 1 |
| Job7 | 2 | Machine8 | 126-164 | After Job7 Step 1 |
