
==================================================
Processing dataset: rcmax_20_20_7
==================================================

=== MAPLE Multi-Agent JSSP with rcmax_20_20_7 ===
Using openai model
Dataset: /Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/applications/DMU/rcmax_20_20_7.txt
Jobs: 20, Machines: 20
==================================================

=== Results for rcmax_20_20_7 ===
Timestamp: 2025-09-19 17:39:05

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job9 | 1 | Machine0 | 0-89 | None |
| Job2 | 1 | Machine1 | 0-17 | None |
| Job7 | 1 | Machine10 | 0-37 | None |
| Job11 | 1 | Machine11 | 0-61 | None |
| Job6 | 1 | Machine17 | 0-89 | None |
| Job5 | 1 | Machine18 | 0-53 | None |
| Job8 | 1 | Machine3 | 0-83 | None |
| Job1 | 1 | Machine4 | 0-135 | None |
| Job3 | 1 | Machine5 | 0-122 | None |
| Job18 | 1 | Machine7 | 0-166 | None |
| Job10 | 1 | Machine8 | 0-159 | None |
| Job4 | 1 | Machine9 | 0-50 | None |
| Job12 | 1 | Machine10 | 37-151 | None |
| Job7 | 2 | Machine19 | 37-214 | After Job7 Step 1 |
| Job15 | 1 | Machine9 | 50-199 | None |
| Job20 | 1 | Machine18 | 53-56 | None |
| Job14 | 1 | Machine3 | 83-115 | None |
| Job17 | 1 | Machine0 | 89-172 | None |
| Job6 | 2 | Machine2 | 89-247 | After Job6 Step 1 |
| Job16 | 1 | Machine3 | 115-306 | None |
| Job3 | 2 | Machine14 | 122-305 | After Job3 Step 1 |
| Job5 | 2 | Machine5 | 122-145 | After Job5 Step 1 |
| Job13 | 1 | Machine4 | 135-300 | None |
| Job1 | 2 | Machine6 | 135-309 | After Job1 Step 1 |
| Job5 | 3 | Machine11 | 145-244 | After Job5 Step 2 |
| Job19 | 1 | Machine10 | 151-172 | None |
| Job10 | 2 | Machine17 | 159-261 | After Job10 Step 1 |
| Job18 | 2 | Machine1 | 166-288 | After Job18 Step 1 |
| Job4 | 2 | Machine7 | 166-222 | After Job4 Step 1 |
| Job14 | 2 | Machine0 | 172-339 | After Job14 Step 1 |
| Job9 | 2 | Machine19 | 214-345 | After Job9 Step 1 |
| Job5 | 4 | Machine16 | 244-301 | After Job5 Step 3 |
| Job6 | 3 | Machine12 | 247-344 | After Job6 Step 2 |
| Job8 | 2 | Machine2 | 247-274 | After Job8 Step 1 |
| Job11 | 2 | Machine17 | 261-311 | After Job11 Step 1 |
| Job10 | 3 | Machine9 | 261-340 | After Job10 Step 2 |
