=== JSSP Schedule Results for rcmax_40_20_2 ===
Timestamp: 2025-05-08 20:49:04


=== Final Results ===
Best Algorithm: Tabu
Minimum Makespan found: 6324
Upper Bound (UB): 4691
Gap to UB: 1633

=== Algorithm Comparison ===
Random: 7482
LPT: 6754
SPT: 7165
STPT: 7165
MPSR: 7272
DRL-Liu: 6754
GP: 7165
GEP: 7165
Tabu: 6324

=== Detailed Schedule ===
Job: Job13, Step: 1, Machine: Machine7, Start: 0, End: 131
Job: Job40, Step: 1, Machine: Machine8, Start: 0, End: 108
Job: Job37, Step: 1, Machine: Machine7, Start: 131, End: 223
Job: Job4, Step: 1, Machine: Machine11, Start: 0, End: 189
Job: Job34, Step: 1, Machine: Machine17, Start: 0, End: 142
Job: Job27, Step: 1, Machine: Machine3, Start: 0, End: 142
Job: Job39, Step: 1, Machine: Machine9, Start: 0, End: 70
Job: Job8, Step: 1, Machine: Machine5, Start: 0, End: 34
Job: Job12, Step: 1, Machine: Machine17, Start: 142, End: 305
Job: Job10, Step: 1, Machine: Machine2, Start: 0, End: 174
Job: Job11, Step: 1, Machine: Machine11, Start: 189, End: 299
Job: Job6, Step: 1, Machine: Machine14, Start: 0, End: 78
Job: Job35, Step: 1, Machine: Machine10, Start: 0, End: 152
Job: Job38, Step: 1, Machine: Machine7, Start: 223, End: 271
Job: Job15, Step: 1, Machine: Machine6, Start: 0, End: 71
Job: Job21, Step: 1, Machine: Machine5, Start: 34, End: 109
Job: Job17, Step: 1, Machine: Machine0, Start: 0, End: 179
Job: Job18, Step: 1, Machine: Machine15, Start: 0, End: 32
Job: Job19, Step: 1, Machine: Machine19, Start: 0, End: 85
Job: Job20, Step: 1, Machine: Machine6, Start: 71, End: 188
Job: Job3, Step: 1, Machine: Machine11, Start: 299, End: 347
Job: Job22, Step: 1, Machine: Machine11, Start: 347, End: 399
Job: Job23, Step: 1, Machine: Machine15, Start: 32, End: 226
Job: Job24, Step: 1, Machine: Machine11, Start: 399, End: 534
Job: Job25, Step: 1, Machine: Machine2, Start: 174, End: 265
Job: Job26, Step: 1, Machine: Machine1, Start: 0, End: 132
Job: Job9, Step: 1, Machine: Machine13, Start: 0, End: 79
Job: Job28, Step: 1, Machine: Machine3, Start: 142, End: 276
Job: Job29, Step: 1, Machine: Machine10, Start: 152, End: 168
Job: Job30, Step: 1, Machine: Machine18, Start: 0, End: 3
Job: Job31, Step: 1, Machine: Machine1, Start: 132, End: 162
Job: Job32, Step: 1, Machine: Machine16, Start: 0, End: 59
Job: Job33, Step: 1, Machine: Machine2, Start: 265, End: 357
Job: Job5, Step: 1, Machine: Machine8, Start: 108, End: 242
Job: Job1, Step: 1, Machine: Machine11, Start: 534, End: 632
Job: Job36, Step: 1, Machine: Machine12, Start: 0, End: 133
Job: Job16, Step: 1, Machine: Machine5, Start: 109, End: 158
Job: Job14, Step: 1, Machine: Machine7, Start: 271, End: 282
Job: Job7, Step: 1, Machine: Machine19, Start: 85, End: 283
Job: Job2, Step: 1, Machine: Machine12, Start: 133, End: 206
Job: Job13, Step: 2, Machine: Machine6, Start: 188, End: 356
Job: Job40, Step: 2, Machine: Machine18, Start: 108, End: 297
Job: Job37, Step: 2, Machine: Machine19, Start: 283, End: 390
Job: Job4, Step: 2, Machine: Machine12, Start: 206, End: 325
Job: Job34, Step: 2, Machine: Machine15, Start: 226, End: 317
Job: Job27, Step: 2, Machine: Machine17, Start: 305, End: 505
Job: Job39, Step: 2, Machine: Machine11, Start: 632, End: 729
Job: Job8, Step: 2, Machine: Machine3, Start: 276, End: 345
Job: Job12, Step: 2, Machine: Machine6, Start: 356, End: 403
Job: Job10, Step: 2, Machine: Machine10, Start: 174, End: 228
Job: Job11, Step: 2, Machine: Machine15, Start: 317, End: 453
Job: Job6, Step: 2, Machine: Machine11, Start: 729, End: 739
Job: Job35, Step: 2, Machine: Machine3, Start: 345, End: 521
Job: Job38, Step: 2, Machine: Machine18, Start: 297, End: 392
Job: Job15, Step: 2, Machine: Machine14, Start: 78, End: 246
Job: Job21, Step: 2, Machine: Machine6, Start: 403, End: 573
Job: Job17, Step: 2, Machine: Machine17, Start: 505, End: 550
Job: Job18, Step: 2, Machine: Machine0, Start: 179, End: 377
Job: Job19, Step: 2, Machine: Machine1, Start: 162, End: 198
Job: Job20, Step: 2, Machine: Machine11, Start: 739, End: 742
Job: Job3, Step: 2, Machine: Machine3, Start: 521, End: 602
Job: Job22, Step: 2, Machine: Machine4, Start: 399, End: 528
Job: Job23, Step: 2, Machine: Machine6, Start: 573, End: 630
Job: Job24, Step: 2, Machine: Machine5, Start: 534, End: 690
Job: Job25, Step: 2, Machine: Machine11, Start: 742, End: 880
Job: Job26, Step: 2, Machine: Machine11, Start: 880, End: 989
Job: Job9, Step: 2, Machine: Machine18, Start: 392, End: 470
Job: Job28, Step: 2, Machine: Machine0, Start: 377, End: 404
Job: Job29, Step: 2, Machine: Machine2, Start: 357, End: 445
Job: Job30, Step: 2, Machine: Machine3, Start: 602, End: 620
Job: Job31, Step: 2, Machine: Machine8, Start: 242, End: 356
Job: Job32, Step: 2, Machine: Machine10, Start: 228, End: 355
Job: Job33, Step: 2, Machine: Machine16, Start: 357, End: 419
Job: Job5, Step: 2, Machine: Machine2, Start: 445, End: 542
Job: Job1, Step: 2, Machine: Machine7, Start: 632, End: 675
Job: Job36, Step: 2, Machine: Machine15, Start: 453, End: 626
Job: Job16, Step: 2, Machine: Machine17, Start: 550, End: 625
