JSSP FRAMEWORK COMPARISON RESULTS
==================================================

Dataset: TA72
Jobs: 100
Timestamp: 2025-09-24T02:07:43.972045

FRAMEWORK PERFORMANCE SUMMARY
----------------------------------------
LangGraph: ✅ Makespan=1847, Schedule_Ops=20, Time=234.81s, Status=Success


DETAILED AGENT PROMPTS AND OUTPUTS
==================================================

🔍 LangGraph Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  system_prompt: You are a Job Scheduler Agent using LangGraph workflow. Analyze job requirements and create initial schedules for all jobs.
  query: 
        Job Shop Scheduling Problem (JSSP) - Dataset: TA72
        
        Problem Description:
        - Number of jobs: 100
        - Each job has multiple operations that must be performed in sequence
        - Each operation requires a specific machine and has a duration
        - Each machine can only process one operation at a time
        - Goal: Find the minimum makespan (total completion time)
        
        Job Specifications:
        
Job1:
  Step 1: Machine Machine53, Duration 40
  Step 2: Machine Machine82, Duration 42
  Step 3: Machine Machine98, Duration 86
  Step 4: Machine Machine50, Duration 57
  Step 5: Machine Machine28, Duration 7
  Step 6: Machine Machine13, Duration 24
  Step 7: Machine Machine61, Duration 54
  Step 8: Machine Machine97, Duration 92
  Step 9: Machine Machine86, Duration 5
  Step 10: Machine Machine32, Duration 11
Job2:
  Step 1: Machine Machine44, Duration 50
  Step 2: Machine Machine39, Duration 81
  Step 3: Machine Machine51, Duration 92
  Step 4: Machine Machine65, Duration 20
  Step 5: Machine Machine75, Duration 60
  Step 6: Machine Machine95, Duration 28
  Step 7: Machine Machine14, Duration 28
  Step 8: Machine Machine54, Duration 55
  Step 9: Machine Machine91, Duration 3
  Step 10: Machine Machine28, Duration 93
Job3:
  Step 1: Machine Machine52, Duration 67
  Step 2: Machine Machine64, Duration 83
  Step 3: Machine Machine37, Duration 21
  Step 4: Machine Machine10, Duration 62
  Step 5: Machine Machine74, Duration 86
  Step 6: Machine Machine71, Duration 43
  Step 7: Machine Machine24, Duration 5
  Step 8: Machine Machine78, Duration 10
  Step 9: Machine Machine40, Duration 51
  Step 10: Machine Machine89, Duration 54
Job4:
  Step 1: Machine Machine74, Duration 86
  Step 2: Machine Machine71, Duration 80
  Step 3: Machine Machine21, Duration 14
  Step 4: Machine Machine49, Duration 16
  Step 5: Machine Machine26, Duration 34
  Step 6: Machine Machine2, Duration 17
  Step 7: Machine Machine47, Duration 68
  Step 8: Machine Machine21, Duration 8
  Step 9: Machine Machine8, Duration 51
  Step 10: Machine Machine21, Duration 71
Job5:
  Step 1: Machine Machine89, Duration 50
  Step 2: Machine Machine80, Duration 88
  Step 3: Machine Machine16, Duration 58
  Step 4: Machine Machine20, Duration 32
  Step 5: Machine Machine42, Duration 89
  Step 6: Machine Machine79, Duration 87
  Step 7: Machine Machine73, Duration 74
  Step 8: Machine Machine17, Duration 53
  Step 9: Machine Machine81, Duration 85
  Step 10: Machine Machine55, Duration 57
Job6:
  Step 1: Machine Machine73, Duration 5
  Step 2: Machine Machine26, Duration 57
  Step 3: Machine Machine45, Duration 40
  Step 4: Machine Machine46, Duration 15
  Step 5: Machine Machine79, Duration 48
  Step 6: Machine Machine20, Duration 69
  Step 7: Machine Machine16, Duration 29
  Step 8: Machine Machine48, Duration 38
  Step 9: Machine Machine6, Duration 18
  Step 10: Machine Machine62, Duration 86
Job7:
  Step 1: Machine Machine57, Duration 89
  Step 2: Machine Machine91, Duration 96
  Step 3: Machine Machine66, Duration 49
  Step 4: Machine Machine88, Duration 62
  Step 5: Machine Machine86, Duration 80
  Step 6: Machine Machine13, Duration 58
  Step 7: Machine Machine81, Duration 70
  Step 8: Machine Machine48, Duration 61
  Step 9: Machine Machine12, Duration 69
  Step 10: Machine Machine76, Duration 23
Job8:
  Step 1: Machine Machine30, Duration 65
  Step 2: Machine Machine26, Duration 60
  Step 3: Machine Machine38, Duration 66
  Step 4: Machine Machine76, Duration 85
  Step 5: Machine Machine39, Duration 96
  Step 6: Machine Machine19, Duration 75
  Step 7: Machine Machine5, Duration 91
  Step 8: Machine Machine14, Duration 46
  Step 9: Machine Machine27, Duration 69
  Step 10: Machine Machine95, Duration 3
Job9:
  Step 1: Machine Machine1, Duration 99
  Step 2: Machine Machine97, Duration 17
  Step 3: Machine Machine51, Duration 63
  Step 4: Machine Machine82, Duration 79
  Step 5: Machine Machine60, Duration 61
