JSSP FRAMEWORK COMPARISON RESULTS
==================================================

Dataset: swv04
Jobs: 20
Timestamp: 2025-09-24T03:21:26.182956

FRAMEWORK PERFORMANCE SUMMARY
----------------------------------------
CrewAI: ✅ Makespan=None, Schedule_Ops=0, Time=61.73s, Status=Success


DETAILED AGENT PROMPTS AND OUTPUTS
==================================================

🔍 CrewAI Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  role: Job Scheduler
  goal: Analyze job requirements and create initial schedules for all jobs.
  backstory: You are an expert job scheduler responsible for analyzing job requirements and creating initial schedules.
  query: 
        Job Shop Scheduling Problem (JSSP) - Dataset: swv04
        
        Problem Description:
        - Number of jobs: 20
        - Each job has multiple operations that must be performed in sequence
        - Each operation requires a specific machine and has a duration
        - Each machine can only process one operation at a time
        - Goal: Find the minimum makespan (total completion time)
        
        Job Specifications:
        
Job1:
  Step 1: Machine Machine2, Duration 16
  Step 2: Machine Machine0, Duration 59
  Step 3: Machine Machine4, Duration 10
  Step 4: Machine Machine3, Duration 95
  Step 5: Machine Machine1, Duration 64
  Step 6: Machine Machine8, Duration 92
  Step 7: Machine Machine9, Duration 56
  Step 8: Machine Machine7, Duration 3
  Step 9: Machine Machine5, Duration 73
  Step 10: Machine Machine6, Duration 17
Job2:
  Step 1: Machine Machine1, Duration 5
  Step 2: Machine Machine4, Duration 64
  Step 3: Machine Machine3, Duration 30
  Step 4: Machine Machine2, Duration 14
  Step 5: Machine Machine0, Duration 96
  Step 6: Machine Machine9, Duration 11
  Step 7: Machine Machine8, Duration 73
  Step 8: Machine Machine7, Duration 35
  Step 9: Machine Machine6, Duration 93
  Step 10: Machine Machine5, Duration 12
Job3:
  Step 1: Machine Machine3, Duration 35
  Step 2: Machine Machine4, Duration 75
  Step 3: Machine Machine0, Duration 54
  Step 4: Machine Machine1, Duration 30
  Step 5: Machine Machine2, Duration 83
  Step 6: Machine Machine9, Duration 20
  Step 7: Machine Machine8, Duration 29
  Step 8: Machine Machine7, Duration 38
  Step 9: Machine Machine6, Duration 90
  Step 10: Machine Machine5, Duration 39
Job4:
  Step 1: Machine Machine4, Duration 29
  Step 2: Machine Machine3, Duration 21
  Step 3: Machine Machine0, Duration 52
  Step 4: Machine Machine2, Duration 93
  Step 5: Machine Machine1, Duration 20
  Step 6: Machine Machine5, Duration 5
  Step 7: Machine Machine7, Duration 11
  Step 8: Machine Machine8, Duration 53
  Step 9: Machine Machine9, Duration 56
  Step 10: Machine Machine6, Duration 98
Job5:
  Step 1: Machine Machine0, Duration 17
  Step 2: Machine Machine3, Duration 16
  Step 3: Machine Machine4, Duration 41
  Step 4: Machine Machine1, Duration 78
  Step 5: Machine Machine2, Duration 100
  Step 6: Machine Machine5, Duration 55
  Step 7: Machine Machine8, Duration 27
  Step 8: Machine Machine6, Duration 2
  Step 9: Machine Machine7, Duration 87
  Step 10: Machine Machine9, Duration 55
Job6:
  Step 1: Machine Machine3, Duration 97
  Step 2: Machine Machine1, Duration 32
  Step 3: Machine Machine4, Duration 84
  Step 4: Machine Machine2, Duration 71
  Step 5: Machine Machine0, Duration 38
  Step 6: Machine Machine9, Duration 64
  Step 7: Machine Machine7, Duration 16
  Step 8: Machine Machine5, Duration 5
  Step 9: Machine Machine6, Duration 41
  Step 10: Machine Machine8, Duration 41
Job7:
  Step 1: Machine Machine3, Duration 41
  Step 2: Machine Machine1, Duration 57
  Step 3: Machine Machine4, Duration 37
  Step 4: Machine Machine0, Duration 64
  Step 5: Machine Machine2, Duration 92
  Step 6: Machine Machine6, Duration 19
  Step 7: Machine Machine9, Duration 47
  Step 8: Machine Machine7, Duration 94
  Step 9: Machine Machine8, Duration 79
  Step 10: Machine Machine5, Duration 21
Job8:
  Step 1: Machine Machine0, Duration 23
  Step 2: Machine Machine3, Duration 67
  Step 3: Machine Machine1, Duration 39
  Step 4: Machine Machine4, Duration 98
  Step 5: Machine Machine2, Duration 63
  Step 6: Machine Machine8, Duration 83
  Step 7: Machine Machine5, Duration 45
  Step 8: Machine Machine6, Duration 89
  Step 9: Machine Machine9, Duration 81
  Step 10: Machine Machine7, Duration 44
Job9:
  Step 1: Machine Machine1, Duration 88
  Step 2: Machine Machine0, Duration 59
  Step 3: Machine Machine3, Duration 39
  Step 4: Machine Machine2, Duration 63
  Step 5: Machine Machine4, Duration 91
  Step 6: Machine Machine8, Duration 36
  Step 7: Machine Machine5, Duration 44
  Step 8: Machine Machine6, Duration 45
  Step 9: Machine Machine9, Duration 43
  Step 10: Machine Machine7, Duration 12
Job10:
  Step 1: Machine Machine2, Duration 29
  Step 2: Machine Machine1, Duration 17
  Step 3: Machine Machine0, Duration 6
  Step 4: Machine Machine3, Duration 74
  Step 5: Machine Machine4, Duration 51
  Step 6: Machine Machine9, Duration 14
  Step 7: Machine Machine6, Duration 2
  Step 8: Machine Machine5, Duration 56
  Step 9: Machine Machine7, Duration 49
  Step 10: Machine Machine8, Duration 14
Job11:
  Step 1: Machine Machine3, Duration 75
  Step 2: Machine Machine2, Duration 10
  Step 3: Machine Machine4, Duration 1
  Step 4: Machine Machine0, Duration 35
  Step 5: Machine Machine1, Duration 99
  Step 6: Machine Machine7, Duration 56
  Step 7: Machine Machine5, Duration 95
  Step 8: Machine Machine9, Duration 78
  Step 9: Machine Machine6, Duration 53
  Step 10: Machine Machine8, Duration 82
Job12:
  Step 1: Machine Machine0, Duration 75
  Step 2: Machine Machine2, Duration 96
  Step 3: Machine Machine1, Duration 21
  Step 4: Machine Machine3, Duration 90
  Step 5: Machine Machine4, Duration 55
  Step 6: Machine Machine6, Duration 23
  Step 7: Machine Machine7, Duration 40
  Step 8: Machine Machine9, Duration 76
  Step 9: Machine Machine8, Duration 55
  Step 10: Machine Machine5, Duration 45
Job13:
  Step 1: Machine Machine3, Duration 90
  Step 2: Machine Machine4, Duration 64
  Step 3: Machine Machine0, Duration 72
  Step 4: Machine Machine2, Duration 33
  Step 5: Machine Machine1, Duration 59
  Step 6: Machine Machine7, Duration 51
  Step 7: Machine Machine6, Duration 74
