COMPLETE TERMINAL OUTPUT
==================================================

Dataset: yn02
Jobs: 20
Timestamp: 2025-09-24T05:27:37.926105


============================================================
FRAMEWORK: CrewAI
============================================================

Status: ✅ SUCCESS
Makespan: None
Execution Time: 71.39s

------------------------------------------------------------
COMPLETE FRAMEWORK OUTPUT:
------------------------------------------------------------
╭─────────────────────────────────── 🤖 Agent Started ────────────────────────────────────╮
│                                                                                         │
│  Agent: JSSP Supervisor                                                                 │
│                                                                                         │
│  Task:                                                                                  │
│          Job Shop Scheduling Problem (JSSP) - Dataset: yn02                             │
│                                                                                         │
│          Problem Description:                                                           │
│          - Number of jobs: 20                                                           │
│          - Each job has multiple operations that must be performed in sequence          │
│          - Each operation requires a specific machine and has a duration                │
│          - Each machine can only process one operation at a time                        │
│          - Goal: Find the minimum makespan (total completion time)                      │
│                                                                                         │
│          Job Specifications:                                                            │
│                                                                                         │
│  Job1:                                                                                  │
│    Step 1: Machine Machine17, Duration 15                                               │
│    Step 2: Machine Machine2, Duration 28                                                │
│    Step 3: Machine Machine11, Duration 10                                               │
│    Step 4: Machine Machine4, Duration 46                                                │
│    Step 5: Machine Machine12, Duration 19                                               │
│    Step 6: Machine Machine13, Duration 13                                               │
│    Step 7: Machine Machine7, Duration 18                                                │
│    Step 8: Machine Machine0, Duration 14                                                │
│    Step 9: Machine Machine3, Duration 11                                                │
│    Step 10: Machine Machine15, Duration 21                                              │
│    Step 11: Machine Machine18, Duration 30                                              │
│    Step 12: Machine Machine10, Duration 29                                              │
│    Step 13: Machine Machine14, Duration 16                                              │
│    Step 14: Machine Machine8, Duration 41                                               │
│    Step 15: Machine Machine1, Duration 40                                               │
│    Step 16: Machine Machine6, Duration 38                                               │
│    Step 17: Machine Machine19, Duration 28                                              │
│    Step 18: Machine Machine5, Duration 39                                               │
│    Step 19: Machine Machine9, Duration 39                                               │
│    Step 20: Machine Machine16, Duration 28                                              │
│  Job2:                                                                                  │
│    Step 1: Machine Machine8, Duration 32                                                │
│    Step 2: Machine Machine6, Duration 46                                                │
│    Step 3: Machine Machine14, Duration 35                                               │
│    Step 4: Machine Machine5, Duration 14                                                │
│    Step 5: Machine Machine10, Duration 44                                               │
│    Step 6: Machine Machine2, Duration 20                                                │
│    Step 7: Machine Machine11, Duration 12                                               │
│    Step 8: Machine Machine19, Duration 23                                               │
│    Step 9: Machine Machine13, Duration 22                                               │
│    Step 10: Machine Machine18, Duration 15                                              │
│    Step 11: Machine Machine3, Duration 35                                               │
│    Step 12: Machine Machine4, Duration 27                                               │
│    Step 13: Machine Machine16, Duration 26                                              │
│    Step 14: Machine Machine1, Duration 27                                               │
│    Step 15: Machine Machine0, Duration 23                                               │
│    Step 16: Machine Machine15, Duration 27                                              │
│    Step 17: Machine Machine17, Duration 31                                              │
│    Step 18: Machine Machine12, Duration 31                                              │
│    Step 19: Machine Machine7, Duration 31                                               │
│    Step 20: Machine Machine9, Duration 24                                               │
│  Job3:                                                                                  │
│    Step 1: Machine Machine4, Duration 34                                                │
│    Step 2: Machine Machine3, Duration 44                                                │
│    Step 3: Machine Machine8, Duration 43                                                │
│    Step 4: Machine Machine17, Duration 32                                               │
│    Step 5: Machine Machine0, Duration 35                                                │
│    Step 6: Machine Machine14, Duration 34                                               │
│    Step 7: Machine Machine1, Duration 21                                                │
│    Step 8: Machine Machine10, Duration 46                                               │
│    Step 9: Machine Machine13, Duration 15                                               │
│    Step 10: Machine Machine6, Duration 10                                               │
│    Step 11: Machine Machine18, Duration 24                                              │
│    Step 12: Machine Machine9, Duration 37                                               │
│    Step 13: Machine Machine11, Duration 38                                              │
│    Step 14: Machine Machine7, Duration 41                                               │
│    Step 15: Machine Machine16, Duration 34                                              │
│    Step 16: Machine Machine5, Duration 32                                               │
│    Step 17: Machine Machine15, Duration 11                                              │
│    Step 18: Machine Machine2, Duration 36                                               │
│    Step 19: Machine Machine12, Duration 45                                              │
│    Step 20: Machine Machine19, Duration 23                                              │
│  Job4:                                                                                  │
│    Step 1: Machine Machine4, Duration 34                                                │
│    Step 2: Machine Machine10, Duration 23                                               │
│    Step 3: Machine Machine3, Duration 41                                                │
│    Step 4: Machine Machine6, Duration 10                                                │
│    Step 5: Machine Machine18, Duration 40                                               │
│    Step 6: Machine Machine12, Duration 46                                               │
│    Step 7: Machine Machine2, Duration 27                                                │
│    Step 8: Machine Machine15, Duration 13                                               │
│    Step 9: Machine Machine19, Duration 20                                               │
│    Step 10: Machine Machine7, Duration 40                                               │
│    Step 11: Machine Machine13, Duration 28                                              │
│    Step 12: Machine Machine5, Duration 44                                               │
│    Step 13: Machine Machine9, Duration 34                                               │
│    Step 14: Machine Machine14, Duration 21                                              │
│    Step 15: Machine Machine17, Duration 27                                              │
│    Step 16: Machine Machine1, Duration 12                                               │
│    Step 17: Machine Machine8, Duration 37                                               │
│    Step 18: Machine Machine0, Duration 30                                               │
│    Step 19: Machine Machine16, Duration 48                                              │
│    Step 20: Machine Machine11, Duration 34                                              │
│  Job5:                                                                                  │
