COMPLETE TERMINAL OUTPUT
==================================================

Dataset: yn04
Jobs: 20
Timestamp: 2025-09-24T05:47:47.747552


============================================================
FRAMEWORK: CrewAI
============================================================

Status: ✅ SUCCESS
Makespan: 1247
Execution Time: 237.36s

------------------------------------------------------------
COMPLETE FRAMEWORK OUTPUT:
------------------------------------------------------------
╭─────────────────────────────────── 🤖 Agent Started ────────────────────────────────────╮
│                                                                                         │
│  Agent: JSSP Supervisor                                                                 │
│                                                                                         │
│  Task:                                                                                  │
│          Job Shop Scheduling Problem (JSSP) - Dataset: yn04                             │
│                                                                                         │
│          Problem Description:                                                           │
│          - Number of jobs: 20                                                           │
│          - Each job has multiple operations that must be performed in sequence          │
│          - Each operation requires a specific machine and has a duration                │
│          - Each machine can only process one operation at a time                        │
│          - Goal: Find the minimum makespan (total completion time)                      │
│                                                                                         │
│          Job Specifications:                                                            │
│                                                                                         │
│  Job1:                                                                                  │
│    Step 1: Machine Machine16, Duration 34                                               │
│    Step 2: Machine Machine17, Duration 38                                               │
│    Step 3: Machine Machine0, Duration 21                                                │
│    Step 4: Machine Machine6, Duration 15                                                │
│    Step 5: Machine Machine15, Duration 42                                               │
│    Step 6: Machine Machine8, Duration 17                                                │
│    Step 7: Machine Machine7, Duration 41                                                │
│    Step 8: Machine Machine18, Duration 10                                               │
│    Step 9: Machine Machine10, Duration 26                                               │
│    Step 10: Machine Machine11, Duration 24                                              │
│    Step 11: Machine Machine1, Duration 31                                               │
│    Step 12: Machine Machine19, Duration 25                                              │
│    Step 13: Machine Machine14, Duration 31                                              │
│    Step 14: Machine Machine13, Duration 33                                              │
│    Step 15: Machine Machine4, Duration 35                                               │
│    Step 16: Machine Machine9, Duration 30                                               │
│    Step 17: Machine Machine3, Duration 16                                               │
│    Step 18: Machine Machine12, Duration 16                                              │
│    Step 19: Machine Machine5, Duration 30                                               │
│    Step 20: Machine Machine2, Duration 13                                               │
│  Job2:                                                                                  │
│    Step 1: Machine Machine5, Duration 41                                                │
│    Step 2: Machine Machine11, Duration 33                                               │
│    Step 3: Machine Machine6, Duration 15                                                │
│    Step 4: Machine Machine16, Duration 38                                               │
│    Step 5: Machine Machine0, Duration 40                                                │
│    Step 6: Machine Machine14, Duration 38                                               │
│    Step 7: Machine Machine3, Duration 37                                                │
│    Step 8: Machine Machine1, Duration 20                                                │
│    Step 9: Machine Machine13, Duration 22                                               │
│    Step 10: Machine Machine4, Duration 34                                               │
│    Step 11: Machine Machine7, Duration 16                                               │
│    Step 12: Machine Machine17, Duration 39                                              │
│    Step 13: Machine Machine9, Duration 15                                               │
│    Step 14: Machine Machine2, Duration 19                                               │
│    Step 15: Machine Machine10, Duration 36                                              │
│    Step 16: Machine Machine12, Duration 39                                              │
│    Step 17: Machine Machine18, Duration 26                                              │
│    Step 18: Machine Machine8, Duration 19                                               │
│    Step 19: Machine Machine15, Duration 39                                              │
│    Step 20: Machine Machine19, Duration 34                                              │
│  Job3:                                                                                  │
│    Step 1: Machine Machine17, Duration 34                                               │
│    Step 2: Machine Machine1, Duration 12                                                │
│    Step 3: Machine Machine16, Duration 10                                               │
│    Step 4: Machine Machine7, Duration 47                                                │
│    Step 5: Machine Machine13, Duration 28                                               │
│    Step 6: Machine Machine15, Duration 27                                               │
│    Step 7: Machine Machine0, Duration 19                                                │
│    Step 8: Machine Machine6, Duration 34                                                │
│    Step 9: Machine Machine19, Duration 33                                               │
│    Step 10: Machine Machine12, Duration 40                                              │
│    Step 11: Machine Machine9, Duration 37                                               │
│    Step 12: Machine Machine14, Duration 24                                              │
│    Step 13: Machine Machine8, Duration 15                                               │
│    Step 14: Machine Machine10, Duration 34                                              │
│    Step 15: Machine Machine2, Duration 44                                               │
│    Step 16: Machine Machine3, Duration 37                                               │
│    Step 17: Machine Machine18, Duration 22                                              │
│    Step 18: Machine Machine11, Duration 31                                              │
│    Step 19: Machine Machine4, Duration 39                                               │
│    Step 20: Machine Machine5, Duration 26                                               │
│  Job4:                                                                                  │
│    Step 1: Machine Machine5, Duration 48                                                │
│    Step 2: Machine Machine7, Duration 46                                                │
│    Step 3: Machine Machine16, Duration 47                                               │
│    Step 4: Machine Machine10, Duration 45                                               │
│    Step 5: Machine Machine14, Duration 15                                               │
│    Step 6: Machine Machine8, Duration 25                                                │
│    Step 7: Machine Machine0, Duration 34                                                │
│    Step 8: Machine Machine3, Duration 24                                                │
│    Step 9: Machine Machine12, Duration 35                                               │
│    Step 10: Machine Machine18, Duration 15                                              │
│    Step 11: Machine Machine2, Duration 48                                               │
│    Step 12: Machine Machine13, Duration 19                                              │
│    Step 13: Machine Machine11, Duration 10                                              │
│    Step 14: Machine Machine1, Duration 48                                               │
│    Step 15: Machine Machine17, Duration 16                                              │
│    Step 16: Machine Machine15, Duration 28                                              │
│    Step 17: Machine Machine4, Duration 18                                               │
│    Step 18: Machine Machine6, Duration 17                                               │
│    Step 19: Machine Machine9, Duration 44                                               │
│    Step 20: Machine Machine19, Duration 41                                              │
│  Job5:                                                                                  │
