=== JSSP Schedule Results for rcmax_40_15_8 ===
Timestamp: 2025-05-08 20:44:34


=== Final Results ===
Best Algorithm: Tabu
Minimum Makespan found: 5426
Upper Bound (UB): 4554
Gap to UB: 872

=== Algorithm Comparison ===
Random: 6038
LPT: 5828
SPT: 6455
STPT: 6455
MPSR: 6389
DRL-Liu: 5828
GP: 6455
GEP: 6455
Tabu: 5426

=== Detailed Schedule ===
Job: Job27, Step: 1, Machine: Machine11, Start: 0, End: 24
Job: Job20, Step: 1, Machine: Machine3, Start: 0, End: 106
Job: Job25, Step: 1, Machine: Machine9, Start: 0, End: 98
Job: Job4, Step: 1, Machine: Machine7, Start: 0, End: 186
Job: Job5, Step: 1, Machine: Machine12, Start: 0, End: 77
Job: Job22, Step: 1, Machine: Machine1, Start: 0, End: 61
Job: Job17, Step: 1, Machine: Machine13, Start: 0, End: 90
Job: Job8, Step: 1, Machine: Machine8, Start: 0, End: 186
Job: Job9, Step: 1, Machine: Machine13, Start: 90, End: 273
Job: Job10, Step: 1, Machine: Machine8, Start: 186, End: 231
Job: Job11, Step: 1, Machine: Machine6, Start: 0, End: 53
Job: Job39, Step: 1, Machine: Machine11, Start: 24, End: 157
Job: Job13, Step: 1, Machine: Machine9, Start: 98, End: 214
Job: Job14, Step: 1, Machine: Machine2, Start: 0, End: 37
Job: Job15, Step: 1, Machine: Machine8, Start: 231, End: 357
Job: Job16, Step: 1, Machine: Machine10, Start: 0, End: 130
Job: Job7, Step: 1, Machine: Machine8, Start: 357, End: 490
Job: Job18, Step: 1, Machine: Machine1, Start: 61, End: 216
Job: Job19, Step: 1, Machine: Machine14, Start: 0, End: 94
Job: Job2, Step: 1, Machine: Machine9, Start: 214, End: 393
Job: Job21, Step: 1, Machine: Machine5, Start: 0, End: 79
Job: Job6, Step: 1, Machine: Machine8, Start: 490, End: 673
Job: Job23, Step: 1, Machine: Machine13, Start: 273, End: 455
Job: Job24, Step: 1, Machine: Machine7, Start: 186, End: 230
Job: Job3, Step: 1, Machine: Machine5, Start: 79, End: 211
Job: Job26, Step: 1, Machine: Machine6, Start: 53, End: 208
Job: Job1, Step: 1, Machine: Machine5, Start: 211, End: 294
Job: Job28, Step: 1, Machine: Machine7, Start: 230, End: 308
Job: Job29, Step: 1, Machine: Machine7, Start: 308, End: 501
Job: Job30, Step: 1, Machine: Machine10, Start: 130, End: 132
Job: Job31, Step: 1, Machine: Machine0, Start: 0, End: 16
Job: Job32, Step: 1, Machine: Machine2, Start: 37, End: 49
Job: Job33, Step: 1, Machine: Machine13, Start: 455, End: 496
Job: Job34, Step: 1, Machine: Machine13, Start: 496, End: 605
Job: Job35, Step: 1, Machine: Machine0, Start: 16, End: 134
Job: Job36, Step: 1, Machine: Machine6, Start: 208, End: 327
Job: Job37, Step: 1, Machine: Machine10, Start: 132, End: 219
Job: Job38, Step: 1, Machine: Machine6, Start: 327, End: 448
Job: Job12, Step: 1, Machine: Machine5, Start: 294, End: 486
Job: Job40, Step: 1, Machine: Machine14, Start: 94, End: 216
Job: Job27, Step: 2, Machine: Machine10, Start: 219, End: 416
Job: Job20, Step: 2, Machine: Machine1, Start: 216, End: 339
Job: Job25, Step: 2, Machine: Machine4, Start: 98, End: 186
Job: Job4, Step: 2, Machine: Machine12, Start: 186, End: 237
Job: Job5, Step: 2, Machine: Machine9, Start: 393, End: 473
Job: Job22, Step: 2, Machine: Machine6, Start: 448, End: 564
Job: Job17, Step: 2, Machine: Machine14, Start: 216, End: 387
Job: Job8, Step: 2, Machine: Machine5, Start: 486, End: 569
Job: Job9, Step: 2, Machine: Machine9, Start: 473, End: 493
Job: Job10, Step: 2, Machine: Machine5, Start: 569, End: 611
Job: Job11, Step: 2, Machine: Machine0, Start: 134, End: 250
Job: Job39, Step: 2, Machine: Machine6, Start: 564, End: 625
Job: Job13, Step: 2, Machine: Machine13, Start: 605, End: 706
Job: Job14, Step: 2, Machine: Machine7, Start: 501, End: 631
Job: Job15, Step: 2, Machine: Machine0, Start: 357, End: 390
Job: Job16, Step: 2, Machine: Machine1, Start: 339, End: 422
Job: Job7, Step: 2, Machine: Machine4, Start: 490, End: 679
Job: Job18, Step: 2, Machine: Machine14, Start: 387, End: 512
Job: Job19, Step: 2, Machine: Machine9, Start: 493, End: 680
Job: Job2, Step: 2, Machine: Machine8, Start: 673, End: 853
Job: Job21, Step: 2, Machine: Machine10, Start: 416, End: 615
Job: Job6, Step: 2, Machine: Machine10, Start: 673, End: 679
Job: Job23, Step: 2, Machine: Machine4, Start: 679, End: 692
Job: Job24, Step: 2, Machine: Machine14, Start: 512, End: 684
Job: Job3, Step: 2, Machine: Machine6, Start: 625, End: 713
Job: Job26, Step: 2, Machine: Machine11, Start: 208, End: 329
Job: Job1, Step: 2, Machine: Machine11, Start: 329, End: 457
Job: Job28, Step: 2, Machine: Machine1, Start: 422, End: 495
Job: Job29, Step: 2, Machine: Machine10, Start: 679, End: 878
Job: Job30, Step: 2, Machine: Machine14, Start: 684, End: 799
Job: Job31, Step: 2, Machine: Machine14, Start: 799, End: 981
Job: Job32, Step: 2, Machine: Machine4, Start: 692, End: 755
Job: Job33, Step: 2, Machine: Machine6, Start: 713, End: 766
Job: Job34, Step: 2, Machine: Machine8, Start: 853, End: 969
Job: Job35, Step: 2, Machine: Machine12, Start: 237, End: 315
Job: Job36, Step: 2, Machine: Machine4, Start: 755, End: 854
Job: Job37, Step: 2, Machine: Machine14, Start: 981, End: 1146
Job: Job38, Step: 2, Machine: Machine10, Start: 878, End: 951
Job: Job12, Step: 2, Machine: Machine4, Start: 854, End: 934
Job: Job40, Step: 2, Machine: Machine2, Start: 216, End: 366
Job: Job27, Step: 3, Machine: Machine4, Start: 934, End: 1099
Job: Job20, Step: 3, Machine: Machine8, Start: 969, End: 1070
Job: Job25, Step: 3, Machine: Machine12, Start: 315, End: 320
Job: Job4, Step: 3, Machine: Machine3, Start: 237, End: 305
Job: Job5, Step: 3, Machine: Machine3, Start: 473, End: 503
Job: Job22, Step: 3, Machine: Machine14, Start: 1146, End: 1205
Job: Job17, Step: 3, Machine: Machine7, Start: 631, End: 816
Job: Job8, Step: 3, Machine: Machine6, Start: 766, End: 915
Job: Job9, Step: 3, Machine: Machine11, Start: 493, End: 523
Job: Job10, Step: 3, Machine: Machine3, Start: 611, End: 627
Job: Job11, Step: 3, Machine: Machine12, Start: 320, End: 324
Job: Job39, Step: 3, Machine: Machine10, Start: 951, End: 1049
Job: Job13, Step: 3, Machine: Machine7, Start: 816, End: 993
Job: Job14, Step: 3, Machine: Machine14, Start: 1205, End: 1312
Job: Job15, Step: 3, Machine: Machine10, Start: 1049, End: 1249
Job: Job16, Step: 3, Machine: Machine8, Start: 1070, End: 1226
Job: Job7, Step: 3, Machine: Machine9, Start: 680, End: 868
Job: Job18, Step: 3, Machine: Machine10, Start: 1249, End: 1330
Job: Job19, Step: 3, Machine: Machine3, Start: 680, End: 855
Job: Job2, Step: 3, Machine: Machine5, Start: 853, End: 1015
Job: Job21, Step: 3, Machine: Machine2, Start: 615, End: 741
Job: Job6, Step: 3, Machine: Machine3, Start: 855, End: 966
Job: Job23, Step: 3, Machine: Machine5, Start: 1015, End: 1047
Job: Job24, Step: 3, Machine: Machine0, Start: 684, End: 879
Job: Job3, Step: 3, Machine: Machine13, Start: 713, End: 721
Job: Job26, Step: 3, Machine: Machine9, Start: 868, End: 931
Job: Job1, Step: 3, Machine: Machine3, Start: 966, End: 1062
Job: Job28, Step: 3, Machine: Machine11, Start: 523, End: 718
Job: Job29, Step: 3, Machine: Machine2, Start: 878, End: 1003
Job: Job30, Step: 3, Machine: Machine9, Start: 931, End: 970
Job: Job31, Step: 3, Machine: Machine12, Start: 981, End: 1019
Job: Job32, Step: 3, Machine: Machine0, Start: 879, End: 1024
Job: Job33, Step: 3, Machine: Machine2, Start: 1003, End: 1031
Job: Job34, Step: 3, Machine: Machine0, Start: 1024, End: 1130
Job: Job35, Step: 3, Machine: Machine9, Start: 970, End: 1092
Job: Job36, Step: 3, Machine: Machine14, Start: 1312, End: 1314
Job: Job37, Step: 3, Machine: Machine4, Start: 1146, End: 1338
Job: Job38, Step: 3, Machine: Machine3, Start: 1062, End: 1179
Job: Job12, Step: 3, Machine: Machine9, Start: 1092, End: 1285
Job: Job40, Step: 3, Machine: Machine3, Start: 1179, End: 1201
Job: Job27, Step: 4, Machine: Machine8, Start: 1226, End: 1243
Job: Job20, Step: 4, Machine: Machine13, Start: 1070, End: 1195
Job: Job25, Step: 4, Machine: Machine14, Start: 1314, End: 1475
Job: Job4, Step: 4, Machine: Machine5, Start: 1047, End: 1153
Job: Job5, Step: 4, Machine: Machine8, Start: 1243, End: 1249
Job: Job22, Step: 4, Machine: Machine11, Start: 1205, End: 1210
Job: Job17, Step: 4, Machine: Machine10, Start: 1330, End: 1453
Job: Job8, Step: 4, Machine: Machine3, Start: 1201, End: 1345
Job: Job9, Step: 4, Machine: Machine0, Start: 1130, End: 1132
Job: Job10, Step: 4, Machine: Machine0, Start: 1132, End: 1301
Job: Job11, Step: 4, Machine: Machine4, Start: 1338, End: 1415
Job: Job39, Step: 4, Machine: Machine12, Start: 1049, End: 1240
Job: Job13, Step: 4, Machine: Machine6, Start: 993, End: 1178
Job: Job14, Step: 4, Machine: Machine4, Start: 1415, End: 1493
Job: Job15, Step: 4, Machine: Machine1, Start: 1249, End: 1409
Job: Job16, Step: 4, Machine: Machine5, Start: 1226, End: 1234
Job: Job7, Step: 4, Machine: Machine11, Start: 1210, End: 1239
Job: Job18, Step: 4, Machine: Machine11, Start: 1330, End: 1428
Job: Job19, Step: 4, Machine: Machine11, Start: 1428, End: 1606
Job: Job2, Step: 4, Machine: Machine1, Start: 1409, End: 1424
Job: Job21, Step: 4, Machine: Machine12, Start: 1240, End: 1392
Job: Job6, Step: 4, Machine: Machine4, Start: 1493, End: 1627
Job: Job23, Step: 4, Machine: Machine7, Start: 1047, End: 1194
Job: Job24, Step: 4, Machine: Machine13, Start: 1195, End: 1306
Job: Job3, Step: 4, Machine: Machine9, Start: 1285, End: 1479
Job: Job26, Step: 4, Machine: Machine10, Start: 1453, End: 1460
Job: Job1, Step: 4, Machine: Machine7, Start: 1194, End: 1285
Job: Job28, Step: 4, Machine: Machine4, Start: 1627, End: 1770
Job: Job29, Step: 4, Machine: Machine14, Start: 1475, End: 1557
Job: Job30, Step: 4, Machine: Machine7, Start: 1285, End: 1377
Job: Job31, Step: 4, Machine: Machine5, Start: 1234, End: 1381
Job: Job32, Step: 4, Machine: Machine10, Start: 1460, End: 1567
Job: Job33, Step: 4, Machine: Machine9, Start: 1479, End: 1653
Job: Job34, Step: 4, Machine: Machine14, Start: 1557, End: 1659
Job: Job35, Step: 4, Machine: Machine7, Start: 1377, End: 1446
Job: Job36, Step: 4, Machine: Machine9, Start: 1653, End: 1757
Job: Job37, Step: 4, Machine: Machine7, Start: 1446, End: 1476
Job: Job38, Step: 4, Machine: Machine8, Start: 1249, End: 1419
Job: Job12, Step: 4, Machine: Machine14, Start: 1659, End: 1729
Job: Job40, Step: 4, Machine: Machine1, Start: 1424, End: 1569
Job: Job27, Step: 5, Machine: Machine0, Start: 1301, End: 1493
Job: Job20, Step: 5, Machine: Machine2, Start: 1195, End: 1268
Job: Job25, Step: 5, Machine: Machine0, Start: 1493, End: 1499
Job: Job4, Step: 5, Machine: Machine13, Start: 1306, End: 1484
Job: Job5, Step: 5, Machine: Machine0, Start: 1499, End: 1653
Job: Job22, Step: 5, Machine: Machine2, Start: 1268, End: 1333
Job: Job17, Step: 5, Machine: Machine12, Start: 1453, End: 1492
Job: Job8, Step: 5, Machine: Machine12, Start: 1492, End: 1548
Job: Job9, Step: 5, Machine: Machine12, Start: 1548, End: 1699
Job: Job10, Step: 5, Machine: Machine9, Start: 1757, End: 1791
Job: Job11, Step: 5, Machine: Machine11, Start: 1606, End: 1742
