=== Tabu Search Results for rcmax_50_15_4 ===
Timestamp: 2025-05-07 13:18:42

[Tabu] Iteration 1: New best makespan found: 6805
[Tabu] Iteration 2: New best makespan found: 6763
[Tabu] Iteration 3: New best makespan found: 6704
[Tabu] Iteration 4: New best makespan found: 6692
[Tabu] Iteration 5: New best makespan found: 6669
[Tabu] Iteration 6: New best makespan found: 6640
[Tabu] Iteration 7: New best makespan found: 6612
[Tabu] Iteration 8: New best makespan found: 6594
[Tabu] Iteration 9: New best makespan found: 6590
[Tabu] Iteration 10: New best makespan found: 6543
[Tabu] Iteration 11: New best makespan found: 6513
[Tabu] Iteration 12: New best makespan found: 6509
[Tabu] Iteration 13: New best makespan found: 6449
[Tabu] Iteration 14: New best makespan found: 6421
[Tabu] Iteration 15: New best makespan found: 6400
[Tabu] Iteration 16: New best makespan found: 6396
[Tabu] Iteration 17: New best makespan found: 6395
[Tabu] Iteration 18: New best makespan found: 6357
[Tabu] Iteration 19: New best makespan found: 6340

=== Final Results ===
Minimum Makespan found: 6340
Upper Bound (UB): 5385
Gap to UB: 955
Total iterations: 20
Convergence status: Converged

=== Detailed Schedule ===
Job: Job15, Step: 1, Machine: Machine10, Start: 0, End: 97
Job: Job19, Step: 1, Machine: Machine10, Start: 97, End: 126
Job: Job3, Step: 1, Machine: Machine2, Start: 0, End: 57
Job: Job47, Step: 1, Machine: Machine1, Start: 0, End: 131
Job: Job30, Step: 1, Machine: Machine4, Start: 0, End: 16
Job: Job36, Step: 1, Machine: Machine0, Start: 0, End: 103
Job: Job7, Step: 1, Machine: Machine5, Start: 0, End: 141
Job: Job28, Step: 1, Machine: Machine8, Start: 0, End: 34
Job: Job9, Step: 1, Machine: Machine1, Start: 131, End: 320
Job: Job25, Step: 1, Machine: Machine10, Start: 126, End: 274
Job: Job11, Step: 1, Machine: Machine12, Start: 0, End: 64
Job: Job12, Step: 1, Machine: Machine4, Start: 16, End: 115
Job: Job13, Step: 1, Machine: Machine0, Start: 103, End: 227
Job: Job35, Step: 1, Machine: Machine10, Start: 274, End: 398
Job: Job1, Step: 1, Machine: Machine0, Start: 227, End: 424
Job: Job43, Step: 1, Machine: Machine11, Start: 0, End: 187
Job: Job38, Step: 1, Machine: Machine1, Start: 320, End: 451
Job: Job18, Step: 1, Machine: Machine4, Start: 115, End: 215
Job: Job2, Step: 1, Machine: Machine11, Start: 187, End: 273
