=== Tabu Search Results for rcmax_50_20_9 ===
Timestamp: 2025-05-07 13:34:42

[Tabu] Iteration 1: New best makespan found: 7478
[Tabu] Iteration 2: New best makespan found: 7387
[Tabu] Iteration 3: New best makespan found: 7333
[Tabu] Iteration 4: New best makespan found: 7261
[Tabu] Iteration 5: New best makespan found: 7224
[Tabu] Iteration 6: New best makespan found: 7194
[Tabu] Iteration 7: New best makespan found: 7175
[Tabu] Iteration 8: New best makespan found: 7161
[Tabu] Iteration 9: New best makespan found: 7097
[Tabu] Iteration 10: New best makespan found: 7074
[Tabu] Iteration 11: New best makespan found: 7060

=== Final Results ===
Minimum Makespan found: 7060
Upper Bound (UB): 5747
Gap to UB: 1313
Total iterations: 12
Convergence status: Converged

=== Detailed Schedule ===
Job: Job1, Step: 1, Machine: Machine18, Start: 0, End: 64
Job: Job2, Step: 1, Machine: Machine5, Start: 0, End: 156
Job: Job16, Step: 1, Machine: Machine16, Start: 0, End: 99
Job: Job8, Step: 1, Machine: Machine2, Start: 0, End: 130
Job: Job5, Step: 1, Machine: Machine9, Start: 0, End: 48
Job: Job6, Step: 1, Machine: Machine18, Start: 64, End: 151
Job: Job13, Step: 1, Machine: Machine1, Start: 0, End: 88
Job: Job32, Step: 1, Machine: Machine8, Start: 0, End: 97
Job: Job9, Step: 1, Machine: Machine6, Start: 0, End: 62
Job: Job10, Step: 1, Machine: Machine7, Start: 0, End: 55
Job: Job11, Step: 1, Machine: Machine0, Start: 0, End: 106
Job: Job12, Step: 1, Machine: Machine16, Start: 99, End: 144
Job: Job7, Step: 1, Machine: Machine9, Start: 48, End: 89
Job: Job14, Step: 1, Machine: Machine8, Start: 97, End: 188
Job: Job35, Step: 1, Machine: Machine5, Start: 156, End: 243
Job: Job3, Step: 1, Machine: Machine12, Start: 0, End: 127
Job: Job17, Step: 1, Machine: Machine2, Start: 130, End: 173
Job: Job26, Step: 1, Machine: Machine9, Start: 89, End: 230
Job: Job29, Step: 1, Machine: Machine15, Start: 0, End: 53
Job: Job20, Step: 1, Machine: Machine14, Start: 0, End: 164
Job: Job48, Step: 1, Machine: Machine11, Start: 0, End: 185
Job: Job43, Step: 1, Machine: Machine16, Start: 144, End: 237
Job: Job23, Step: 1, Machine: Machine13, Start: 0, End: 88
Job: Job24, Step: 1, Machine: Machine16, Start: 237, End: 328
Job: Job25, Step: 1, Machine: Machine1, Start: 88, End: 286
Job: Job18, Step: 1, Machine: Machine12, Start: 127, End: 283
Job: Job27, Step: 1, Machine: Machine4, Start: 0, End: 196
Job: Job28, Step: 1, Machine: Machine6, Start: 62, End: 74
Job: Job19, Step: 1, Machine: Machine10, Start: 0, End: 178
Job: Job49, Step: 1, Machine: Machine4, Start: 196, End: 229
Job: Job31, Step: 1, Machine: Machine1, Start: 286, End: 333
Job: Job4, Step: 1, Machine: Machine18, Start: 151, End: 246
Job: Job33, Step: 1, Machine: Machine7, Start: 55, End: 147
Job: Job34, Step: 1, Machine: Machine17, Start: 0, End: 175
Job: Job46, Step: 1, Machine: Machine14, Start: 164, End: 284
Job: Job36, Step: 1, Machine: Machine12, Start: 283, End: 330
Job: Job37, Step: 1, Machine: Machine13, Start: 88, End: 175
Job: Job38, Step: 1, Machine: Machine5, Start: 243, End: 380
Job: Job39, Step: 1, Machine: Machine0, Start: 106, End: 128
Job: Job40, Step: 1, Machine: Machine4, Start: 229, End: 273
Job: Job41, Step: 1, Machine: Machine1, Start: 333, End: 490
Job: Job42, Step: 1, Machine: Machine16, Start: 328, End: 379
Job: Job22, Step: 1, Machine: Machine8, Start: 188, End: 332
Job: Job44, Step: 1, Machine: Machine10, Start: 178, End: 352
Job: Job45, Step: 1, Machine: Machine1, Start: 490, End: 659
Job: Job15, Step: 1, Machine: Machine18, Start: 246, End: 286
Job: Job47, Step: 1, Machine: Machine2, Start: 173, End: 199
Job: Job21, Step: 1, Machine: Machine6, Start: 74, End: 102
Job: Job30, Step: 1, Machine: Machine17, Start: 175, End: 311
Job: Job50, Step: 1, Machine: Machine3, Start: 0, End: 7
Job: Job1, Step: 2, Machine: Machine15, Start: 64, End: 98
Job: Job2, Step: 2, Machine: Machine3, Start: 156, End: 354
Job: Job16, Step: 2, Machine: Machine18, Start: 286, End: 399
Job: Job8, Step: 2, Machine: Machine3, Start: 354, End: 503
Job: Job5, Step: 2, Machine: Machine3, Start: 503, End: 622
Job: Job6, Step: 2, Machine: Machine9, Start: 230, End: 351
Job: Job13, Step: 2, Machine: Machine16, Start: 379, End: 436
Job: Job32, Step: 2, Machine: Machine16, Start: 436, End: 555
Job: Job9, Step: 2, Machine: Machine16, Start: 555, End: 716
Job: Job10, Step: 2, Machine: Machine16, Start: 716, End: 747
Job: Job11, Step: 2, Machine: Machine6, Start: 106, End: 129
Job: Job12, Step: 2, Machine: Machine15, Start: 144, End: 341
Job: Job7, Step: 2, Machine: Machine17, Start: 311, End: 441
Job: Job14, Step: 2, Machine: Machine2, Start: 199, End: 315
Job: Job35, Step: 2, Machine: Machine9, Start: 351, End: 378
Job: Job3, Step: 2, Machine: Machine11, Start: 185, End: 296
Job: Job17, Step: 2, Machine: Machine3, Start: 622, End: 667
Job: Job26, Step: 2, Machine: Machine15, Start: 341, End: 387
Job: Job29, Step: 2, Machine: Machine1, Start: 659, End: 730
Job: Job20, Step: 2, Machine: Machine19, Start: 164, End: 348
Job: Job48, Step: 2, Machine: Machine6, Start: 185, End: 317
Job: Job43, Step: 2, Machine: Machine7, Start: 237, End: 305
Job: Job23, Step: 2, Machine: Machine7, Start: 305, End: 491
Job: Job24, Step: 2, Machine: Machine17, Start: 441, End: 539
Job: Job25, Step: 2, Machine: Machine6, Start: 317, End: 387
Job: Job18, Step: 2, Machine: Machine4, Start: 283, End: 456
Job: Job27, Step: 2, Machine: Machine3, Start: 667, End: 776
Job: Job28, Step: 2, Machine: Machine9, Start: 378, End: 548
Job: Job19, Step: 2, Machine: Machine8, Start: 332, End: 351
Job: Job49, Step: 2, Machine: Machine18, Start: 399, End: 406
Job: Job31, Step: 2, Machine: Machine17, Start: 539, End: 717
Job: Job4, Step: 2, Machine: Machine6, Start: 387, End: 448
