=== Tabu Search Results for rcmax_20_15_5 ===
Timestamp: 2025-05-07 13:04:26

[Tabu] Iteration 1: New best makespan found: 3915
[Tabu] Iteration 2: New best makespan found: 3811
[Tabu] Iteration 3: New best makespan found: 3726
[Tabu] Iteration 4: New best makespan found: 3665
[Tabu] Iteration 5: New best makespan found: 3655
[Tabu] Iteration 6: New best makespan found: 3639

=== Final Results ===
Minimum Makespan found: 3639
Upper Bound (UB): 2350
Gap to UB: 1289
Total iterations: 7
Convergence status: Converged

=== Detailed Schedule ===
Job: Job1, Step: 1, Machine: Machine11, Start: 0, End: 84
Job: Job2, Step: 1, Machine: Machine14, Start: 0, End: 95
Job: Job18, Step: 1, Machine: Machine4, Start: 0, End: 42
Job: Job7, Step: 1, Machine: Machine13, Start: 0, End: 194
Job: Job5, Step: 1, Machine: Machine1, Start: 0, End: 199
Job: Job6, Step: 1, Machine: Machine6, Start: 0, End: 113
Job: Job11, Step: 1, Machine: Machine4, Start: 42, End: 132
Job: Job8, Step: 1, Machine: Machine6, Start: 113, End: 216
Job: Job9, Step: 1, Machine: Machine7, Start: 0, End: 124
Job: Job20, Step: 1, Machine: Machine12, Start: 0, End: 185
Job: Job16, Step: 1, Machine: Machine7, Start: 124, End: 169
Job: Job12, Step: 1, Machine: Machine4, Start: 132, End: 177
Job: Job13, Step: 1, Machine: Machine7, Start: 169, End: 276
Job: Job14, Step: 1, Machine: Machine14, Start: 95, End: 104
Job: Job15, Step: 1, Machine: Machine7, Start: 276, End: 463
Job: Job4, Step: 1, Machine: Machine13, Start: 194, End: 313
Job: Job10, Step: 1, Machine: Machine14, Start: 104, End: 272
Job: Job3, Step: 1, Machine: Machine13, Start: 313, End: 404
Job: Job19, Step: 1, Machine: Machine7, Start: 463, End: 623
Job: Job17, Step: 1, Machine: Machine8, Start: 0, End: 104
Job: Job1, Step: 2, Machine: Machine12, Start: 185, End: 304
Job: Job2, Step: 2, Machine: Machine0, Start: 95, End: 186
Job: Job18, Step: 2, Machine: Machine14, Start: 272, End: 334
Job: Job7, Step: 2, Machine: Machine11, Start: 194, End: 327
Job: Job5, Step: 2, Machine: Machine11, Start: 327, End: 340
Job: Job6, Step: 2, Machine: Machine3, Start: 113, End: 222
Job: Job11, Step: 2, Machine: Machine3, Start: 222, End: 421
Job: Job8, Step: 2, Machine: Machine4, Start: 216, End: 309
Job: Job9, Step: 2, Machine: Machine11, Start: 340, End: 525
Job: Job20, Step: 2, Machine: Machine8, Start: 185, End: 204
Job: Job16, Step: 2, Machine: Machine5, Start: 169, End: 339
Job: Job12, Step: 2, Machine: Machine0, Start: 186, End: 231
Job: Job13, Step: 2, Machine: Machine6, Start: 276, End: 413
Job: Job14, Step: 2, Machine: Machine2, Start: 104, End: 267
Job: Job15, Step: 2, Machine: Machine4, Start: 463, End: 518
Job: Job4, Step: 2, Machine: Machine5, Start: 339, End: 527
Job: Job10, Step: 2, Machine: Machine7, Start: 623, End: 628
Job: Job3, Step: 2, Machine: Machine3, Start: 421, End: 483
Job: Job19, Step: 2, Machine: Machine1, Start: 623, End: 742
Job: Job17, Step: 2, Machine: Machine7, Start: 628, End: 703
Job: Job1, Step: 3, Machine: Machine2, Start: 304, End: 432
Job: Job2, Step: 3, Machine: Machine8, Start: 204, End: 357
Job: Job18, Step: 3, Machine: Machine13, Start: 404, End: 490
Job: Job7, Step: 3, Machine: Machine12, Start: 327, End: 444
Job: Job5, Step: 3, Machine: Machine10, Start: 340, End: 403
Job: Job6, Step: 3, Machine: Machine5, Start: 527, End: 712
Job: Job11, Step: 3, Machine: Machine12, Start: 444, End: 629
Job: Job8, Step: 3, Machine: Machine12, Start: 629, End: 650
Job: Job9, Step: 3, Machine: Machine6, Start: 525, End: 678
Job: Job20, Step: 3, Machine: Machine3, Start: 483, End: 494
Job: Job16, Step: 3, Machine: Machine3, Start: 494, End: 629
Job: Job12, Step: 3, Machine: Machine7, Start: 703, End: 860
Job: Job13, Step: 3, Machine: Machine2, Start: 432, End: 446
Job: Job14, Step: 3, Machine: Machine10, Start: 403, End: 507
Job: Job15, Step: 3, Machine: Machine5, Start: 712, End: 788
Job: Job4, Step: 3, Machine: Machine3, Start: 629, End: 672
Job: Job10, Step: 3, Machine: Machine4, Start: 628, End: 645
Job: Job3, Step: 3, Machine: Machine4, Start: 645, End: 818
Job: Job19, Step: 3, Machine: Machine14, Start: 742, End: 835
Job: Job17, Step: 3, Machine: Machine0, Start: 703, End: 886
Job: Job1, Step: 4, Machine: Machine3, Start: 672, End: 816
Job: Job2, Step: 4, Machine: Machine6, Start: 678, End: 787
Job: Job18, Step: 4, Machine: Machine0, Start: 886, End: 1004
Job: Job7, Step: 4, Machine: Machine14, Start: 835, End: 848
Job: Job5, Step: 4, Machine: Machine8, Start: 403, End: 461
Job: Job6, Step: 4, Machine: Machine8, Start: 712, End: 771
Job: Job11, Step: 4, Machine: Machine8, Start: 771, End: 865
Job: Job8, Step: 4, Machine: Machine10, Start: 650, End: 798
Job: Job9, Step: 4, Machine: Machine5, Start: 788, End: 931
Job: Job20, Step: 4, Machine: Machine7, Start: 860, End: 947
Job: Job16, Step: 4, Machine: Machine6, Start: 787, End: 859
Job: Job12, Step: 4, Machine: Machine14, Start: 860, End: 873
Job: Job13, Step: 4, Machine: Machine9, Start: 446, End: 559
Job: Job14, Step: 4, Machine: Machine13, Start: 507, End: 527
Job: Job15, Step: 4, Machine: Machine2, Start: 788, End: 844
Job: Job4, Step: 4, Machine: Machine8, Start: 865, End: 883
Job: Job10, Step: 4, Machine: Machine9, Start: 645, End: 831
Job: Job3, Step: 4, Machine: Machine11, Start: 818, End: 885
Job: Job19, Step: 4, Machine: Machine3, Start: 835, End: 857
Job: Job17, Step: 4, Machine: Machine14, Start: 886, End: 1038
Job: Job1, Step: 5, Machine: Machine8, Start: 883, End: 1060
Job: Job2, Step: 5, Machine: Machine2, Start: 844, End: 1026
Job: Job18, Step: 5, Machine: Machine12, Start: 1004, End: 1132
Job: Job7, Step: 5, Machine: Machine7, Start: 947, End: 1058
Job: Job5, Step: 5, Machine: Machine4, Start: 818, End: 873
Job: Job6, Step: 5, Machine: Machine1, Start: 771, End: 774
Job: Job11, Step: 5, Machine: Machine6, Start: 865, End: 905
Job: Job8, Step: 5, Machine: Machine5, Start: 931, End: 997
Job: Job9, Step: 5, Machine: Machine0, Start: 1004, End: 1034
Job: Job20, Step: 5, Machine: Machine11, Start: 947, End: 1118
Job: Job16, Step: 5, Machine: Machine11, Start: 1118, End: 1174
Job: Job12, Step: 5, Machine: Machine1, Start: 873, End: 999
Job: Job13, Step: 5, Machine: Machine1, Start: 999, End: 1137
Job: Job14, Step: 5, Machine: Machine0, Start: 1034, End: 1055
Job: Job15, Step: 5, Machine: Machine1, Start: 1137, End: 1196
Job: Job4, Step: 5, Machine: Machine12, Start: 1132, End: 1155
Job: Job10, Step: 5, Machine: Machine6, Start: 905, End: 1038
Job: Job3, Step: 5, Machine: Machine0, Start: 1055, End: 1191
Job: Job19, Step: 5, Machine: Machine8, Start: 1060, End: 1228
Job: Job17, Step: 5, Machine: Machine2, Start: 1038, End: 1204
Job: Job1, Step: 6, Machine: Machine0, Start: 1191, End: 1342
Job: Job2, Step: 6, Machine: Machine10, Start: 1026, End: 1073
Job: Job18, Step: 6, Machine: Machine2, Start: 1204, End: 1357
Job: Job7, Step: 6, Machine: Machine2, Start: 1357, End: 1483
Job: Job5, Step: 6, Machine: Machine9, Start: 873, End: 955
Job: Job6, Step: 6, Machine: Machine9, Start: 955, End: 979
Job: Job11, Step: 6, Machine: Machine0, Start: 1342, End: 1434
Job: Job8, Step: 6, Machine: Machine3, Start: 997, End: 1026
Job: Job9, Step: 6, Machine: Machine8, Start: 1228, End: 1255
Job: Job20, Step: 6, Machine: Machine4, Start: 1118, End: 1132
Job: Job16, Step: 6, Machine: Machine0, Start: 1434, End: 1580
Job: Job12, Step: 6, Machine: Machine11, Start: 1174, End: 1218
Job: Job13, Step: 6, Machine: Machine8, Start: 1255, End: 1437
Job: Job14, Step: 6, Machine: Machine3, Start: 1055, End: 1103
Job: Job15, Step: 6, Machine: Machine12, Start: 1196, End: 1207
Job: Job4, Step: 6, Machine: Machine14, Start: 1155, End: 1213
Job: Job10, Step: 6, Machine: Machine0, Start: 1580, End: 1615
Job: Job3, Step: 6, Machine: Machine10, Start: 1191, End: 1331
Job: Job19, Step: 6, Machine: Machine12, Start: 1228, End: 1366
Job: Job17, Step: 6, Machine: Machine10, Start: 1331, End: 1341
Job: Job1, Step: 7, Machine: Machine9, Start: 1342, End: 1480
Job: Job2, Step: 7, Machine: Machine7, Start: 1073, End: 1171
Job: Job18, Step: 7, Machine: Machine8, Start: 1437, End: 1571
Job: Job7, Step: 7, Machine: Machine8, Start: 1571, End: 1672
Job: Job5, Step: 7, Machine: Machine5, Start: 997, End: 1019
Job: Job6, Step: 7, Machine: Machine0, Start: 1615, End: 1686
Job: Job11, Step: 7, Machine: Machine2, Start: 1483, End: 1629
Job: Job8, Step: 7, Machine: Machine1, Start: 1196, End: 1207
Job: Job9, Step: 7, Machine: Machine2, Start: 1629, End: 1698
Job: Job20, Step: 7, Machine: Machine13, Start: 1132, End: 1197
Job: Job16, Step: 7, Machine: Machine8, Start: 1672, End: 1862
Job: Job12, Step: 7, Machine: Machine5, Start: 1218, End: 1370
Job: Job13, Step: 7, Machine: Machine4, Start: 1437, End: 1616
Job: Job14, Step: 7, Machine: Machine1, Start: 1207, End: 1338
Job: Job15, Step: 7, Machine: Machine13, Start: 1207, End: 1281
Job: Job4, Step: 7, Machine: Machine2, Start: 1698, End: 1834
Job: Job10, Step: 7, Machine: Machine13, Start: 1615, End: 1716
Job: Job3, Step: 7, Machine: Machine12, Start: 1366, End: 1481
Job: Job19, Step: 7, Machine: Machine13, Start: 1716, End: 1878
Job: Job17, Step: 7, Machine: Machine11, Start: 1341, End: 1463
Job: Job1, Step: 8, Machine: Machine6, Start: 1480, End: 1496
Job: Job2, Step: 8, Machine: Machine11, Start: 1463, End: 1517
Job: Job18, Step: 8, Machine: Machine6, Start: 1571, End: 1727
Job: Job7, Step: 8, Machine: Machine6, Start: 1727, End: 1765
Job: Job5, Step: 8, Machine: Machine12, Start: 1481, End: 1664
Job: Job6, Step: 8, Machine: Machine14, Start: 1686, End: 1784
Job: Job11, Step: 8, Machine: Machine7, Start: 1629, End: 1719
Job: Job8, Step: 8, Machine: Machine9, Start: 1480, End: 1484
Job: Job9, Step: 8, Machine: Machine9, Start: 1698, End: 1828
Job: Job20, Step: 8, Machine: Machine1, Start: 1338, End: 1399
Job: Job16, Step: 8, Machine: Machine2, Start: 1862, End: 1919
Job: Job12, Step: 8, Machine: Machine10, Start: 1370, End: 1518
Job: Job13, Step: 8, Machine: Machine11, Start: 1616, End: 1723
Job: Job14, Step: 8, Machine: Machine11, Start: 1723, End: 1732
Job: Job15, Step: 8, Machine: Machine8, Start: 1862, End: 1864
Job: Job4, Step: 8, Machine: Machine0, Start: 1834, End: 1888
Job: Job10, Step: 8, Machine: Machine8, Start: 1864, End: 2036
Job: Job3, Step: 8, Machine: Machine2, Start: 1919, End: 2102
Job: Job19, Step: 8, Machine: Machine5, Start: 1878, End: 1943
Job: Job17, Step: 8, Machine: Machine13, Start: 1878, End: 1910
Job: Job1, Step: 9, Machine: Machine14, Start: 1784, End: 1979
Job: Job2, Step: 9, Machine: Machine4, Start: 1616, End: 1775
Job: Job18, Step: 9, Machine: Machine11, Start: 1732, End: 1812
Job: Job7, Step: 9, Machine: Machine0, Start: 1888, End: 2072
Job: Job5, Step: 9, Machine: Machine3, Start: 1664, End: 1707
Job: Job6, Step: 9, Machine: Machine13, Start: 1910, End: 1942
Job: Job11, Step: 9, Machine: Machine9, Start: 1828, End: 1959
Job: Job8, Step: 9, Machine: Machine13, Start: 1942, End: 1970
Job: Job9, Step: 9, Machine: Machine12, Start: 1828, End: 1881
Job: Job20, Step: 9, Machine: Machine0, Start: 2072, End: 2106
Job: Job16, Step: 9, Machine: Machine13, Start: 1970, End: 2118
Job: Job12, Step: 9, Machine: Machine2, Start: 2102, End: 2224
Job: Job13, Step: 9, Machine: Machine13, Start: 2118, End: 2236
Job: Job14, Step: 9, Machine: Machine6, Start: 1765, End: 1890
Job: Job15, Step: 9, Machine: Machine3, Start: 1864, End: 2058
Job: Job4, Step: 9, Machine: Machine6, Start: 1890, End: 2084
