=== Tabu Search Results for rcmax_20_15_8 ===
Timestamp: 2025-05-07 13:04:30

[Tabu] Iteration 1: New best makespan found: 3969
[Tabu] Iteration 2: New best makespan found: 3826
[Tabu] Iteration 3: New best makespan found: 3742
[Tabu] Iteration 4: New best makespan found: 3603
[Tabu] Iteration 5: New best makespan found: 3524
[Tabu] Iteration 6: New best makespan found: 3487
[Tabu] Iteration 7: New best makespan found: 3478

=== Final Results ===
Minimum Makespan found: 3478
Upper Bound (UB): 2332
Gap to UB: 1146
Total iterations: 8
Convergence status: Converged

=== Detailed Schedule ===
Job: Job16, Step: 1, Machine: Machine10, Start: 0, End: 65
Job: Job18, Step: 1, Machine: Machine0, Start: 0, End: 72
Job: Job3, Step: 1, Machine: Machine2, Start: 0, End: 20
Job: Job4, Step: 1, Machine: Machine5, Start: 0, End: 63
Job: Job12, Step: 1, Machine: Machine12, Start: 0, End: 93
Job: Job17, Step: 1, Machine: Machine11, Start: 0, End: 52
Job: Job7, Step: 1, Machine: Machine3, Start: 0, End: 137
Job: Job8, Step: 1, Machine: Machine11, Start: 52, End: 240
Job: Job9, Step: 1, Machine: Machine11, Start: 240, End: 306
Job: Job10, Step: 1, Machine: Machine5, Start: 63, End: 76
Job: Job20, Step: 1, Machine: Machine9, Start: 0, End: 9
Job: Job14, Step: 1, Machine: Machine3, Start: 137, End: 299
Job: Job13, Step: 1, Machine: Machine8, Start: 0, End: 14
Job: Job5, Step: 1, Machine: Machine6, Start: 0, End: 55
Job: Job15, Step: 1, Machine: Machine7, Start: 0, End: 126
Job: Job1, Step: 1, Machine: Machine8, Start: 14, End: 199
Job: Job2, Step: 1, Machine: Machine14, Start: 0, End: 126
Job: Job6, Step: 1, Machine: Machine0, Start: 72, End: 262
Job: Job19, Step: 1, Machine: Machine6, Start: 55, End: 138
Job: Job11, Step: 1, Machine: Machine3, Start: 299, End: 487
Job: Job16, Step: 2, Machine: Machine1, Start: 65, End: 107
Job: Job18, Step: 2, Machine: Machine1, Start: 107, End: 154
Job: Job3, Step: 2, Machine: Machine12, Start: 93, End: 232
Job: Job4, Step: 2, Machine: Machine6, Start: 138, End: 174
Job: Job12, Step: 2, Machine: Machine10, Start: 93, End: 292
Job: Job17, Step: 2, Machine: Machine2, Start: 52, End: 243
Job: Job7, Step: 2, Machine: Machine0, Start: 262, End: 436
Job: Job8, Step: 2, Machine: Machine9, Start: 240, End: 346
Job: Job9, Step: 2, Machine: Machine8, Start: 306, End: 399
