=== Tabu Search Results for rcmax_30_15_4 ===
Timestamp: 2025-05-07 13:05:20

[Tabu] Iteration 1: New best makespan found: 4712
[Tabu] Iteration 2: New best makespan found: 4554
[Tabu] Iteration 3: New best makespan found: 4432
[Tabu] Iteration 4: New best makespan found: 4396
[Tabu] Iteration 5: New best makespan found: 4385
[Tabu] Iteration 6: New best makespan found: 4368
[Tabu] Iteration 7: New best makespan found: 4332
[Tabu] Iteration 8: New best makespan found: 4320
[Tabu] Iteration 9: New best makespan found: 4294
[Tabu] Iteration 10: New best makespan found: 4266
[Tabu] Iteration 11: New best makespan found: 4259
[Tabu] Iteration 12: New best makespan found: 4254
[Tabu] Iteration 13: New best makespan found: 4251
[Tabu] Iteration 14: New best makespan found: 4246
[Tabu] Iteration 15: New best makespan found: 4228
[Tabu] Iteration 16: New best makespan found: 4225

=== Final Results ===
Minimum Makespan found: 4225
Upper Bound (UB): 3394
Gap to UB: 831
Total iterations: 17
Convergence status: Converged

=== Detailed Schedule ===
Job: Job8, Step: 1, Machine: Machine2, Start: 0, End: 52
Job: Job20, Step: 1, Machine: Machine8, Start: 0, End: 22
Job: Job17, Step: 1, Machine: Machine12, Start: 0, End: 30
Job: Job2, Step: 1, Machine: Machine8, Start: 22, End: 47
Job: Job9, Step: 1, Machine: Machine0, Start: 0, End: 27
Job: Job6, Step: 1, Machine: Machine2, Start: 52, End: 131
Job: Job7, Step: 1, Machine: Machine13, Start: 0, End: 158
Job: Job25, Step: 1, Machine: Machine7, Start: 0, End: 114
Job: Job1, Step: 1, Machine: Machine5, Start: 0, End: 51
Job: Job29, Step: 1, Machine: Machine6, Start: 0, End: 23
Job: Job11, Step: 1, Machine: Machine7, Start: 114, End: 309
Job: Job27, Step: 1, Machine: Machine3, Start: 0, End: 136
Job: Job10, Step: 1, Machine: Machine14, Start: 0, End: 123
Job: Job3, Step: 1, Machine: Machine9, Start: 0, End: 82
Job: Job15, Step: 1, Machine: Machine2, Start: 131, End: 174
Job: Job16, Step: 1, Machine: Machine8, Start: 47, End: 59
Job: Job28, Step: 1, Machine: Machine5, Start: 51, End: 142
Job: Job30, Step: 1, Machine: Machine4, Start: 0, End: 1
Job: Job19, Step: 1, Machine: Machine7, Start: 309, End: 485
Job: Job13, Step: 1, Machine: Machine9, Start: 82, End: 282
Job: Job21, Step: 1, Machine: Machine11, Start: 0, End: 183
Job: Job22, Step: 1, Machine: Machine7, Start: 485, End: 669
Job: Job23, Step: 1, Machine: Machine11, Start: 183, End: 246
Job: Job18, Step: 1, Machine: Machine5, Start: 142, End: 148
Job: Job5, Step: 1, Machine: Machine10, Start: 0, End: 159
Job: Job26, Step: 1, Machine: Machine5, Start: 148, End: 278
Job: Job12, Step: 1, Machine: Machine2, Start: 174, End: 298
Job: Job14, Step: 1, Machine: Machine4, Start: 1, End: 99
Job: Job24, Step: 1, Machine: Machine3, Start: 136, End: 199
Job: Job4, Step: 1, Machine: Machine9, Start: 282, End: 438
Job: Job8, Step: 2, Machine: Machine8, Start: 59, End: 124
Job: Job20, Step: 2, Machine: Machine3, Start: 199, End: 315
Job: Job17, Step: 2, Machine: Machine9, Start: 438, End: 443
Job: Job2, Step: 2, Machine: Machine10, Start: 159, End: 242
Job: Job9, Step: 2, Machine: Machine10, Start: 242, End: 442
Job: Job6, Step: 2, Machine: Machine9, Start: 443, End: 511
Job: Job7, Step: 2, Machine: Machine14, Start: 158, End: 235
Job: Job25, Step: 2, Machine: Machine0, Start: 114, End: 236
Job: Job1, Step: 2, Machine: Machine11, Start: 246, End: 385
Job: Job29, Step: 2, Machine: Machine5, Start: 278, End: 368
Job: Job11, Step: 2, Machine: Machine3, Start: 315, End: 421
Job: Job27, Step: 2, Machine: Machine2, Start: 298, End: 474
Job: Job10, Step: 2, Machine: Machine11, Start: 385, End: 524
Job: Job3, Step: 2, Machine: Machine2, Start: 474, End: 492
Job: Job15, Step: 2, Machine: Machine5, Start: 368, End: 485
Job: Job16, Step: 2, Machine: Machine5, Start: 485, End: 650
Job: Job28, Step: 2, Machine: Machine2, Start: 492, End: 560
Job: Job30, Step: 2, Machine: Machine6, Start: 23, End: 73
Job: Job19, Step: 2, Machine: Machine4, Start: 485, End: 562
Job: Job13, Step: 2, Machine: Machine4, Start: 562, End: 593
Job: Job21, Step: 2, Machine: Machine1, Start: 183, End: 226
Job: Job22, Step: 2, Machine: Machine9, Start: 669, End: 677
Job: Job23, Step: 2, Machine: Machine10, Start: 442, End: 564
Job: Job18, Step: 2, Machine: Machine8, Start: 148, End: 295
Job: Job5, Step: 2, Machine: Machine8, Start: 295, End: 458
Job: Job26, Step: 2, Machine: Machine12, Start: 278, End: 384
Job: Job12, Step: 2, Machine: Machine11, Start: 524, End: 671
Job: Job14, Step: 2, Machine: Machine7, Start: 669, End: 844
Job: Job24, Step: 2, Machine: Machine6, Start: 199, End: 225
Job: Job4, Step: 2, Machine: Machine6, Start: 438, End: 599
Job: Job8, Step: 3, Machine: Machine0, Start: 236, End: 424
Job: Job20, Step: 3, Machine: Machine11, Start: 671, End: 862
Job: Job17, Step: 3, Machine: Machine4, Start: 593, End: 656
Job: Job2, Step: 3, Machine: Machine2, Start: 560, End: 654
Job: Job9, Step: 3, Machine: Machine6, Start: 599, End: 710
Job: Job6, Step: 3, Machine: Machine12, Start: 511, End: 560
Job: Job7, Step: 3, Machine: Machine0, Start: 424, End: 590
