=== Tabu Search Results for rcmax_30_20_8 ===
Timestamp: 2025-05-07 13:07:01

[Tabu] Iteration 1: New best makespan found: 5715
[Tabu] Iteration 2: New best makespan found: 5490
[Tabu] Iteration 3: New best makespan found: 5373
[Tabu] Iteration 4: New best makespan found: 5296
[Tabu] Iteration 5: New best makespan found: 5219
[Tabu] Iteration 6: New best makespan found: 5187
[Tabu] Iteration 7: New best makespan found: 5167
[Tabu] Iteration 8: New best makespan found: 5142

=== Final Results ===
Minimum Makespan found: 5142
Upper Bound (UB): 3408
Gap to UB: 1734
Total iterations: 9
Convergence status: Converged

=== Detailed Schedule ===
Job: Job5, Step: 1, Machine: Machine15, Start: 0, End: 40
Job: Job20, Step: 1, Machine: Machine7, Start: 0, End: 133
Job: Job3, Step: 1, Machine: Machine5, Start: 0, End: 183
Job: Job4, Step: 1, Machine: Machine6, Start: 0, End: 7
Job: Job1, Step: 1, Machine: Machine10, Start: 0, End: 103
Job: Job28, Step: 1, Machine: Machine3, Start: 0, End: 7
Job: Job16, Step: 1, Machine: Machine11, Start: 0, End: 110
Job: Job8, Step: 1, Machine: Machine18, Start: 0, End: 49
Job: Job9, Step: 1, Machine: Machine5, Start: 183, End: 338
Job: Job10, Step: 1, Machine: Machine19, Start: 0, End: 179
Job: Job11, Step: 1, Machine: Machine10, Start: 103, End: 196
Job: Job12, Step: 1, Machine: Machine0, Start: 0, End: 26
Job: Job13, Step: 1, Machine: Machine5, Start: 338, End: 436
Job: Job26, Step: 1, Machine: Machine6, Start: 7, End: 136
Job: Job15, Step: 1, Machine: Machine17, Start: 0, End: 95
Job: Job29, Step: 1, Machine: Machine3, Start: 7, End: 154
Job: Job17, Step: 1, Machine: Machine2, Start: 0, End: 56
Job: Job27, Step: 1, Machine: Machine0, Start: 26, End: 114
Job: Job19, Step: 1, Machine: Machine0, Start: 114, End: 166
Job: Job2, Step: 1, Machine: Machine6, Start: 136, End: 192
Job: Job21, Step: 1, Machine: Machine9, Start: 0, End: 183
Job: Job22, Step: 1, Machine: Machine12, Start: 0, End: 3
Job: Job23, Step: 1, Machine: Machine6, Start: 192, End: 365
Job: Job24, Step: 1, Machine: Machine9, Start: 183, End: 288
Job: Job25, Step: 1, Machine: Machine1, Start: 0, End: 35
Job: Job30, Step: 1, Machine: Machine13, Start: 0, End: 118
