=== Tabu Search Results for rcmax_50_15_2 ===
Timestamp: 2025-05-07 13:14:56

[Tabu] Iteration 1: New best makespan found: 6692
[Tabu] Iteration 2: New best makespan found: 6655
[Tabu] Iteration 3: New best makespan found: 6591
[Tabu] Iteration 4: New best makespan found: 6493
[Tabu] Iteration 5: New best makespan found: 6483
[Tabu] Iteration 6: New best makespan found: 6468
[Tabu] Iteration 7: New best makespan found: 6409
[Tabu] Iteration 8: New best makespan found: 6357
[Tabu] Iteration 9: New best makespan found: 6322
[Tabu] Iteration 10: New best makespan found: 6307
[Tabu] Iteration 11: New best makespan found: 6259
[Tabu] Iteration 12: New best makespan found: 6248

=== Final Results ===
Minimum Makespan found: 6248
Upper Bound (UB): 5681
Gap to UB: 567
Total iterations: 13
Convergence status: Converged

=== Detailed Schedule ===
Job: Job27, Step: 1, Machine: Machine11, Start: 0, End: 38
Job: Job30, Step: 1, Machine: Machine11, Start: 38, End: 185
Job: Job3, Step: 1, Machine: Machine7, Start: 0, End: 148
Job: Job23, Step: 1, Machine: Machine8, Start: 0, End: 26
Job: Job5, Step: 1, Machine: Machine10, Start: 0, End: 134
Job: Job18, Step: 1, Machine: Machine6, Start: 0, End: 149
Job: Job7, Step: 1, Machine: Machine10, Start: 134, End: 227
Job: Job8, Step: 1, Machine: Machine13, Start: 0, End: 49
Job: Job9, Step: 1, Machine: Machine3, Start: 0, End: 142
Job: Job38, Step: 1, Machine: Machine13, Start: 49, End: 249
Job: Job11, Step: 1, Machine: Machine10, Start: 227, End: 420
Job: Job32, Step: 1, Machine: Machine4, Start: 0, End: 14
Job: Job13, Step: 1, Machine: Machine8, Start: 26, End: 124
Job: Job14, Step: 1, Machine: Machine2, Start: 0, End: 95
Job: Job41, Step: 1, Machine: Machine4, Start: 14, End: 142
Job: Job16, Step: 1, Machine: Machine11, Start: 185, End: 207
Job: Job17, Step: 1, Machine: Machine9, Start: 0, End: 58
Job: Job6, Step: 1, Machine: Machine4, Start: 142, End: 223
Job: Job24, Step: 1, Machine: Machine7, Start: 148, End: 200
Job: Job20, Step: 1, Machine: Machine14, Start: 0, End: 35
Job: Job50, Step: 1, Machine: Machine2, Start: 95, End: 237
Job: Job22, Step: 1, Machine: Machine4, Start: 223, End: 350
Job: Job4, Step: 1, Machine: Machine1, Start: 0, End: 33
Job: Job19, Step: 1, Machine: Machine1, Start: 33, End: 143
Job: Job25, Step: 1, Machine: Machine13, Start: 249, End: 339
Job: Job26, Step: 1, Machine: Machine7, Start: 200, End: 270
Job: Job1, Step: 1, Machine: Machine0, Start: 0, End: 128
Job: Job28, Step: 1, Machine: Machine6, Start: 149, End: 246
Job: Job29, Step: 1, Machine: Machine3, Start: 142, End: 179
Job: Job21, Step: 1, Machine: Machine9, Start: 58, End: 235
Job: Job31, Step: 1, Machine: Machine2, Start: 237, End: 436
Job: Job12, Step: 1, Machine: Machine10, Start: 420, End: 496
Job: Job33, Step: 1, Machine: Machine12, Start: 0, End: 158
Job: Job34, Step: 1, Machine: Machine7, Start: 270, End: 458
Job: Job35, Step: 1, Machine: Machine0, Start: 128, End: 328
Job: Job36, Step: 1, Machine: Machine1, Start: 143, End: 221
Job: Job37, Step: 1, Machine: Machine12, Start: 158, End: 234
Job: Job10, Step: 1, Machine: Machine1, Start: 221, End: 361
Job: Job39, Step: 1, Machine: Machine7, Start: 458, End: 608
Job: Job40, Step: 1, Machine: Machine0, Start: 328, End: 363
Job: Job49, Step: 1, Machine: Machine7, Start: 608, End: 771
Job: Job42, Step: 1, Machine: Machine3, Start: 179, End: 318
Job: Job43, Step: 1, Machine: Machine10, Start: 496, End: 642
Job: Job44, Step: 1, Machine: Machine6, Start: 246, End: 431
Job: Job45, Step: 1, Machine: Machine4, Start: 350, End: 499
Job: Job46, Step: 1, Machine: Machine12, Start: 234, End: 368
Job: Job47, Step: 1, Machine: Machine13, Start: 339, End: 408
Job: Job48, Step: 1, Machine: Machine3, Start: 318, End: 498
Job: Job2, Step: 1, Machine: Machine9, Start: 235, End: 353
Job: Job15, Step: 1, Machine: Machine8, Start: 124, End: 190
Job: Job27, Step: 2, Machine: Machine12, Start: 368, End: 560
Job: Job30, Step: 2, Machine: Machine10, Start: 642, End: 772
Job: Job3, Step: 2, Machine: Machine1, Start: 361, End: 413
Job: Job23, Step: 2, Machine: Machine0, Start: 363, End: 491
Job: Job5, Step: 2, Machine: Machine2, Start: 436, End: 528
Job: Job18, Step: 2, Machine: Machine11, Start: 207, End: 237
Job: Job7, Step: 2, Machine: Machine11, Start: 237, End: 354
Job: Job8, Step: 2, Machine: Machine3, Start: 498, End: 641
Job: Job9, Step: 2, Machine: Machine12, Start: 560, End: 646
Job: Job38, Step: 2, Machine: Machine6, Start: 431, End: 432
Job: Job11, Step: 2, Machine: Machine4, Start: 499, End: 587
