=== Tabu Search Results for rcmax_50_20_6 ===
Timestamp: 2025-05-07 13:24:30

[Tabu] Iteration 1: New best makespan found: 8045
[Tabu] Iteration 2: New best makespan found: 7945
[Tabu] Iteration 3: New best makespan found: 7813
[Tabu] Iteration 4: New best makespan found: 7767
[Tabu] Iteration 5: New best makespan found: 7743
[Tabu] Iteration 6: New best makespan found: 7699
[Tabu] Iteration 7: New best makespan found: 7660
[Tabu] Iteration 8: New best makespan found: 7612
[Tabu] Iteration 9: New best makespan found: 7593
[Tabu] Iteration 10: New best makespan found: 7586
[Tabu] Iteration 11: New best makespan found: 7549
[Tabu] Iteration 12: New best makespan found: 7544
[Tabu] Iteration 13: New best makespan found: 7536
[Tabu] Iteration 14: New best makespan found: 7530
[Tabu] Iteration 15: New best makespan found: 7515
[Tabu] Iteration 16: New best makespan found: 7502
[Tabu] Iteration 17: New best makespan found: 7498

=== Final Results ===
Minimum Makespan found: 7498
Upper Bound (UB): 5713
Gap to UB: 1785
Total iterations: 18
Convergence status: Converged

=== Detailed Schedule ===
Job: Job7, Step: 1, Machine: Machine16, Start: 0, End: 57
Job: Job18, Step: 1, Machine: Machine12, Start: 0, End: 18
Job: Job20, Step: 1, Machine: Machine6, Start: 0, End: 63
Job: Job17, Step: 1, Machine: Machine18, Start: 0, End: 123
Job: Job5, Step: 1, Machine: Machine7, Start: 0, End: 42
Job: Job44, Step: 1, Machine: Machine13, Start: 0, End: 69
Job: Job1, Step: 1, Machine: Machine12, Start: 18, End: 111
Job: Job8, Step: 1, Machine: Machine9, Start: 0, End: 126
Job: Job23, Step: 1, Machine: Machine3, Start: 0, End: 86
Job: Job42, Step: 1, Machine: Machine15, Start: 0, End: 33
Job: Job29, Step: 1, Machine: Machine17, Start: 0, End: 165
Job: Job12, Step: 1, Machine: Machine17, Start: 165, End: 339
Job: Job13, Step: 1, Machine: Machine17, Start: 339, End: 386
Job: Job14, Step: 1, Machine: Machine18, Start: 123, End: 262
Job: Job50, Step: 1, Machine: Machine18, Start: 262, End: 319
Job: Job16, Step: 1, Machine: Machine0, Start: 0, End: 97
Job: Job2, Step: 1, Machine: Machine0, Start: 97, End: 137
Job: Job28, Step: 1, Machine: Machine9, Start: 126, End: 190
Job: Job40, Step: 1, Machine: Machine12, Start: 111, End: 212
Job: Job3, Step: 1, Machine: Machine7, Start: 42, End: 151
Job: Job21, Step: 1, Machine: Machine8, Start: 0, End: 125
Job: Job34, Step: 1, Machine: Machine16, Start: 57, End: 132
Job: Job9, Step: 1, Machine: Machine8, Start: 125, End: 224
Job: Job24, Step: 1, Machine: Machine19, Start: 0, End: 28
Job: Job25, Step: 1, Machine: Machine5, Start: 0, End: 36
Job: Job26, Step: 1, Machine: Machine5, Start: 36, End: 44
Job: Job27, Step: 1, Machine: Machine11, Start: 0, End: 29
Job: Job46, Step: 1, Machine: Machine2, Start: 0, End: 175
Job: Job11, Step: 1, Machine: Machine0, Start: 137, End: 166
Job: Job30, Step: 1, Machine: Machine3, Start: 86, End: 105
Job: Job31, Step: 1, Machine: Machine14, Start: 0, End: 34
Job: Job32, Step: 1, Machine: Machine1, Start: 0, End: 17
Job: Job33, Step: 1, Machine: Machine10, Start: 0, End: 197
Job: Job48, Step: 1, Machine: Machine10, Start: 197, End: 324
Job: Job19, Step: 1, Machine: Machine18, Start: 319, End: 504
Job: Job36, Step: 1, Machine: Machine7, Start: 151, End: 281
Job: Job37, Step: 1, Machine: Machine1, Start: 17, End: 47
Job: Job38, Step: 1, Machine: Machine10, Start: 324, End: 463
Job: Job39, Step: 1, Machine: Machine9, Start: 190, End: 296
Job: Job35, Step: 1, Machine: Machine14, Start: 34, End: 167
Job: Job41, Step: 1, Machine: Machine9, Start: 296, End: 460
Job: Job10, Step: 1, Machine: Machine12, Start: 212, End: 326
Job: Job43, Step: 1, Machine: Machine4, Start: 0, End: 44
Job: Job6, Step: 1, Machine: Machine9, Start: 460, End: 519
Job: Job15, Step: 1, Machine: Machine16, Start: 132, End: 315
Job: Job4, Step: 1, Machine: Machine7, Start: 281, End: 417
Job: Job47, Step: 1, Machine: Machine17, Start: 386, End: 491
Job: Job22, Step: 1, Machine: Machine0, Start: 166, End: 273
Job: Job49, Step: 1, Machine: Machine19, Start: 28, End: 182
Job: Job45, Step: 1, Machine: Machine15, Start: 33, End: 128
Job: Job7, Step: 2, Machine: Machine1, Start: 57, End: 230
Job: Job18, Step: 2, Machine: Machine11, Start: 29, End: 122
Job: Job20, Step: 2, Machine: Machine2, Start: 175, End: 315
Job: Job17, Step: 2, Machine: Machine5, Start: 123, End: 145
Job: Job5, Step: 2, Machine: Machine16, Start: 315, End: 443
Job: Job44, Step: 2, Machine: Machine2, Start: 315, End: 460
Job: Job1, Step: 2, Machine: Machine17, Start: 491, End: 690
Job: Job8, Step: 2, Machine: Machine11, Start: 126, End: 155
Job: Job23, Step: 2, Machine: Machine17, Start: 690, End: 715
Job: Job42, Step: 2, Machine: Machine5, Start: 145, End: 210
Job: Job29, Step: 2, Machine: Machine2, Start: 460, End: 491
Job: Job12, Step: 2, Machine: Machine13, Start: 339, End: 361
Job: Job13, Step: 2, Machine: Machine8, Start: 386, End: 441
Job: Job14, Step: 2, Machine: Machine5, Start: 262, End: 364
Job: Job50, Step: 2, Machine: Machine17, Start: 715, End: 848
Job: Job16, Step: 2, Machine: Machine9, Start: 519, End: 716
Job: Job2, Step: 2, Machine: Machine7, Start: 417, End: 463
Job: Job28, Step: 2, Machine: Machine19, Start: 190, End: 252
Job: Job40, Step: 2, Machine: Machine8, Start: 441, End: 554
Job: Job3, Step: 2, Machine: Machine5, Start: 364, End: 562
Job: Job21, Step: 2, Machine: Machine5, Start: 562, End: 644
Job: Job34, Step: 2, Machine: Machine3, Start: 132, End: 281
Job: Job9, Step: 2, Machine: Machine18, Start: 504, End: 626
Job: Job24, Step: 2, Machine: Machine10, Start: 463, End: 467
Job: Job25, Step: 2, Machine: Machine1, Start: 230, End: 369
Job: Job26, Step: 2, Machine: Machine1, Start: 369, End: 518
Job: Job27, Step: 2, Machine: Machine9, Start: 716, End: 762
Job: Job46, Step: 2, Machine: Machine11, Start: 175, End: 312
Job: Job11, Step: 2, Machine: Machine1, Start: 518, End: 697
Job: Job30, Step: 2, Machine: Machine6, Start: 105, End: 138
Job: Job31, Step: 2, Machine: Machine6, Start: 138, End: 250
Job: Job32, Step: 2, Machine: Machine8, Start: 554, End: 572
Job: Job33, Step: 2, Machine: Machine0, Start: 273, End: 352
Job: Job48, Step: 2, Machine: Machine6, Start: 324, End: 487
Job: Job19, Step: 2, Machine: Machine9, Start: 762, End: 850
Job: Job36, Step: 2, Machine: Machine9, Start: 850, End: 945
Job: Job37, Step: 2, Machine: Machine17, Start: 848, End: 976
Job: Job38, Step: 2, Machine: Machine1, Start: 697, End: 893
Job: Job39, Step: 2, Machine: Machine10, Start: 467, End: 621
Job: Job35, Step: 2, Machine: Machine9, Start: 945, End: 1087
Job: Job41, Step: 2, Machine: Machine19, Start: 460, End: 515
Job: Job10, Step: 2, Machine: Machine16, Start: 443, End: 518
Job: Job43, Step: 2, Machine: Machine5, Start: 644, End: 743
Job: Job6, Step: 2, Machine: Machine17, Start: 976, End: 1092
Job: Job15, Step: 2, Machine: Machine12, Start: 326, End: 379
Job: Job4, Step: 2, Machine: Machine14, Start: 417, End: 510
Job: Job47, Step: 2, Machine: Machine16, Start: 518, End: 586
Job: Job22, Step: 2, Machine: Machine8, Start: 572, End: 656
Job: Job49, Step: 2, Machine: Machine3, Start: 281, End: 405
Job: Job45, Step: 2, Machine: Machine7, Start: 463, End: 538
Job: Job7, Step: 3, Machine: Machine7, Start: 538, End: 544
Job: Job18, Step: 3, Machine: Machine7, Start: 544, End: 672
Job: Job20, Step: 3, Machine: Machine4, Start: 315, End: 323
Job: Job17, Step: 3, Machine: Machine1, Start: 893, End: 1028
Job: Job5, Step: 3, Machine: Machine2, Start: 491, End: 661
Job: Job44, Step: 3, Machine: Machine4, Start: 460, End: 464
Job: Job1, Step: 3, Machine: Machine13, Start: 690, End: 716
Job: Job8, Step: 3, Machine: Machine15, Start: 155, End: 172
Job: Job23, Step: 3, Machine: Machine19, Start: 715, End: 824
Job: Job42, Step: 3, Machine: Machine19, Start: 824, End: 933
Job: Job29, Step: 3, Machine: Machine7, Start: 672, End: 688
Job: Job12, Step: 3, Machine: Machine11, Start: 361, End: 503
Job: Job13, Step: 3, Machine: Machine7, Start: 688, End: 824
Job: Job14, Step: 3, Machine: Machine4, Start: 464, End: 645
Job: Job50, Step: 3, Machine: Machine10, Start: 848, End: 972
Job: Job16, Step: 3, Machine: Machine1, Start: 1028, End: 1155
Job: Job2, Step: 3, Machine: Machine18, Start: 626, End: 678
Job: Job28, Step: 3, Machine: Machine1, Start: 1155, End: 1158
Job: Job40, Step: 3, Machine: Machine9, Start: 1087, End: 1125
Job: Job3, Step: 3, Machine: Machine15, Start: 562, End: 695
Job: Job21, Step: 3, Machine: Machine2, Start: 661, End: 812
Job: Job34, Step: 3, Machine: Machine8, Start: 656, End: 696
Job: Job9, Step: 3, Machine: Machine11, Start: 626, End: 675
Job: Job24, Step: 3, Machine: Machine16, Start: 586, End: 677
Job: Job25, Step: 3, Machine: Machine17, Start: 1092, End: 1158
Job: Job26, Step: 3, Machine: Machine8, Start: 696, End: 864
Job: Job27, Step: 3, Machine: Machine7, Start: 824, End: 988
Job: Job46, Step: 3, Machine: Machine3, Start: 405, End: 479
Job: Job11, Step: 3, Machine: Machine7, Start: 988, End: 1097
Job: Job30, Step: 3, Machine: Machine13, Start: 716, End: 877
Job: Job31, Step: 3, Machine: Machine7, Start: 1097, End: 1251
Job: Job32, Step: 3, Machine: Machine3, Start: 572, End: 737
Job: Job33, Step: 3, Machine: Machine17, Start: 1158, End: 1322
Job: Job48, Step: 3, Machine: Machine19, Start: 933, End: 1085
Job: Job19, Step: 3, Machine: Machine13, Start: 877, End: 1012
Job: Job36, Step: 3, Machine: Machine3, Start: 945, End: 983
Job: Job37, Step: 3, Machine: Machine12, Start: 976, End: 1168
Job: Job38, Step: 3, Machine: Machine6, Start: 893, End: 1028
Job: Job39, Step: 3, Machine: Machine1, Start: 1158, End: 1269
Job: Job35, Step: 3, Machine: Machine4, Start: 1087, End: 1202
Job: Job41, Step: 3, Machine: Machine8, Start: 864, End: 1040
Job: Job10, Step: 3, Machine: Machine15, Start: 695, End: 761
Job: Job43, Step: 3, Machine: Machine19, Start: 1085, End: 1105
Job: Job6, Step: 3, Machine: Machine16, Start: 1092, End: 1160
Job: Job15, Step: 3, Machine: Machine2, Start: 812, End: 814
Job: Job4, Step: 3, Machine: Machine12, Start: 1168, End: 1291
Job: Job47, Step: 3, Machine: Machine2, Start: 814, End: 1009
Job: Job22, Step: 3, Machine: Machine2, Start: 1009, End: 1079
Job: Job49, Step: 3, Machine: Machine5, Start: 743, End: 941
Job: Job45, Step: 3, Machine: Machine13, Start: 1012, End: 1077
