job,step,machine,start,end,precedence
Job1,1,Machine3,0,9,
Job1,2,Machine13,9,20,After Job1 Step 1
Job1,3,Machine5,20,37,After Job1 Step 2
Job1,4,Machine6,37,39,After Job1 Step 3
Job1,5,Machine8,39,63,After Job1 Step 4
Job1,6,Machine1,63,77,After Job1 Step 5
Job1,7,Machine18,77,95,After Job1 Step 6
Job1,8,Machine10,95,114,After Job1 Step 7
Job1,9,Machine12,114,137,After Job1 Step 8
Job1,10,Machine19,137,145,After Job1 Step 9
Job1,11,Machine0,145,163,After Job1 Step 10
Job1,12,Machine7,163,167,After Job1 Step 11
Job1,13,Machine11,167,178,After Job1 Step 12
Job1,14,Machine2,178,189,After Job1 Step 13
Job1,15,Machine16,189,208,After Job1 Step 14
Job1,16,Machine14,208,223,After Job1 Step 15
Job1,17,Machine17,223,231,After Job1 Step 16
Job1,18,Machine9,231,235,After Job1 Step 17
Job1,19,Machine15,235,249,After Job1 Step 18
Job1,20,Machine4,249,255,After Job1 Step 19
Job10,1,Machine17,1630,1643,
Job10,2,Machine18,1711,1730,After Job10 Step 1
Job10,3,Machine5,1730,1731,After Job10 Step 2
Job10,4,Machine16,1731,1746,After Job10 Step 3
Job10,5,Machine11,1746,1757,After Job10 Step 4
Job10,6,Machine4,1757,1774,After Job10 Step 5
Job10,7,Machine0,1774,1794,After Job10 Step 6
Job10,8,Machine3,1794,1810,After Job10 Step 7
Job10,9,Machine19,1810,1824,After Job10 Step 8
Job10,10,Machine13,1824,1834,After Job10 Step 9
Job10,11,Machine15,1834,1843,After Job10 Step 10
Job10,12,Machine1,1843,1857,After Job10 Step 11
Job10,13,Machine6,1857,1861,After Job10 Step 12
Job10,14,Machine14,1861,1861,After Job10 Step 13
Job10,15,Machine10,1861,1862,After Job10 Step 14
Job10,16,Machine12,1862,1885,After Job10 Step 15
Job10,17,Machine7,1885,1901,After Job10 Step 16
Job10,18,Machine9,1901,1907,After Job10 Step 17
Job10,19,Machine8,1907,1909,After Job10 Step 18
Job10,20,Machine2,1909,1911,After Job10 Step 19
Job11,1,Machine10,1862,1876,
Job11,2,Machine0,1876,1881,After Job11 Step 1
Job11,3,Machine11,1881,1899,After Job11 Step 2
Job11,4,Machine17,1899,1908,After Job11 Step 3
Job11,5,Machine16,1908,1917,After Job11 Step 4
Job11,6,Machine2,1917,1932,After Job11 Step 5
Job11,7,Machine5,1932,1946,After Job11 Step 6
Job11,8,Machine4,1946,1947,After Job11 Step 7
Job11,9,Machine1,1947,1959,After Job11 Step 8
Job11,10,Machine14,1959,1975,After Job11 Step 9
Job11,11,Machine9,1975,1994,After Job11 Step 10
Job11,12,Machine3,1994,1995,After Job11 Step 11
Job11,13,Machine7,1995,2013,After Job11 Step 12
Job11,14,Machine19,2013,2038,After Job11 Step 13
Job11,15,Machine8,2038,2043,After Job11 Step 14
Job11,16,Machine12,2043,2052,After Job11 Step 15
Job11,17,Machine6,2052,2056,After Job11 Step 16
Job11,18,Machine13,2056,2062,After Job11 Step 17
Job11,19,Machine15,2062,2071,After Job11 Step 18
Job11,20,Machine18,2071,2084,After Job11 Step 19
Job12,1,Machine12,2052,2063,
Job12,2,Machine0,2063,2067,After Job12 Step 1
Job12,3,Machine4,2067,2077,After Job12 Step 2
Job12,4,Machine17,2077,2083,After Job12 Step 3
Job12,5,Machine9,2083,2093,After Job12 Step 4
Job12,6,Machine15,2093,2095,After Job12 Step 5
Job12,7,Machine19,2095,2098,After Job12 Step 6
Job12,8,Machine14,2098,2114,After Job12 Step 7
Job12,9,Machine18,2114,2116,After Job12 Step 8
Job12,10,Machine1,2116,2117,After Job12 Step 9
Job12,11,Machine11,2117,2126,After Job12 Step 10
Job12,12,Machine3,2126,2133,After Job12 Step 11
Job12,13,Machine8,2133,2150,After Job12 Step 12
Job12,14,Machine7,2150,2168,After Job12 Step 13
Job12,15,Machine2,2168,2175,After Job12 Step 14
Job12,16,Machine16,2175,2193,After Job12 Step 15
Job12,17,Machine6,2193,2210,After Job12 Step 16
Job12,18,Machine13,2210,2218,After Job12 Step 17
Job12,19,Machine10,2218,2237,After Job12 Step 18
