job,step,machine,start,end,precedence
Job1,1,Machine11,0,84,
Job10,1,Machine14,0,168,None  <-- Conflict with Job2!
Job11,1,Machine4,0,90,
Job12,1,Machine4,0,45,None  <-- Conflict with Job11!
Job13,1,Machine7,0,107,None  <-- Conflict with Job9!
Job14,1,Machine14,0,9,None  <-- Conflict with Job2 and Job10!
Job15,1,Machine7,0,187,None  <-- Conflict with Job9 and Job13!
Job16,1,Machine7,0,45,None  <-- Conflict with Job9
Job17,1,Machine8,0,104,
Job18,1,Machine4,0,42,None  <-- Conflict with Job11 and Job12!
Job19,1,Machine7,0,160,None  <-- Conflict with Job9
Job2,1,Machine14,0,95,
Job20,1,Machine12,0,185,
Job3,1,Machine13,0,91,
Job4,1,Machine13,0,119,None  <-- Conflict with Job3!
Job5,1,Machine1,0,199,
Job6,1,Machine6,0,113,
Job7,1,Machine13,0,194,None  <-- Conflict with Job3 and Job4!
Job8,1,Machine6,0,103,None  <-- Conflict with Job6!
Job9,1,Machine7,0,124,
