job,step,machine,start,end,precedence
Job1,1,Machine5,0,7,
Job1,2,Machine11,7,26,After Job1 Step 1
Job1,3,Machine13,26,33,After Job1 Step 2
Job1,4,Machine1,33,44,After Job1 Step 3
Job1,5,Machine14,44,67,After Job1 Step 4
Job1,6,Machine2,67,83,After Job1 Step 5
Job1,7,Machine10,83,94,After Job1 Step 6
Job1,8,Machine6,94,119,After Job1 Step 7
Job1,9,Machine9,119,131,After Job1 Step 8
Job1,10,Machine12,131,133,After Job1 Step 9
Job1,11,Machine4,133,145,After Job1 Step 10
Job1,12,Machine8,145,163,After Job1 Step 11
Job1,13,Machine3,163,173,After Job1 Step 12
Job1,14,Machine0,173,179,After Job1 Step 13
Job1,15,Machine7,179,181,After Job1 Step 14
Job10,1,Machine14,1483,1500,
Job10,2,Machine11,1568,1587,After Job10 Step 1
Job10,3,Machine4,1587,1590,After Job10 Step 2
Job10,4,Machine1,1590,1608,After Job10 Step 3
Job10,5,Machine0,1608,1618,After Job10 Step 4
Job10,6,Machine3,1618,1628,After Job10 Step 5
Job10,7,Machine5,1628,1645,After Job10 Step 6
Job10,8,Machine2,1645,1649,After Job10 Step 7
Job10,9,Machine13,1649,1657,After Job10 Step 8
Job10,10,Machine9,1657,1681,After Job10 Step 9
Job10,11,Machine7,1681,1687,After Job10 Step 10
Job10,12,Machine8,1687,1703,After Job10 Step 11
Job10,13,Machine12,1703,1722,After Job10 Step 12
Job10,14,Machine6,1722,1750,After Job10 Step 13
Job10,15,Machine10,1750,1762,After Job10 Step 14
Job11,1,Machine7,1687,1714,
Job11,2,Machine3,1714,1729,After Job11 Step 1
Job11,3,Machine0,1729,1737,After Job11 Step 2
Job11,4,Machine4,1737,1743,After Job11 Step 3
Job11,5,Machine6,1750,1765,After Job11 Step 4
Job11,6,Machine11,1765,1789,After Job11 Step 5
Job11,7,Machine2,1789,1807,After Job11 Step 6
Job11,8,Machine5,1807,1811,After Job11 Step 7
Job11,9,Machine8,1811,1818,After Job11 Step 8
Job11,10,Machine1,1818,1840,After Job11 Step 9
Job11,11,Machine13,1840,1866,After Job11 Step 10
Job11,12,Machine9,1866,1871,After Job11 Step 11
Job11,13,Machine12,1871,1874,After Job11 Step 12
Job11,14,Machine10,1874,1880,After Job11 Step 13
Job11,15,Machine14,1880,1883,After Job11 Step 14
Job12,1,Machine2,1807,1825,
Job12,2,Machine11,1825,1845,After Job12 Step 1
Job12,3,Machine12,1874,1879,After Job12 Step 2
