job,step,machine,start,end,precedence
Job1,1,Machine0,0,15,
Job1,2,Machine8,15,30,After Job1 Step 1
Job1,3,Machine7,30,31,After Job1 Step 2
Job1,4,Machine9,31,37,After Job1 Step 3
Job1,5,Machine10,37,46,After Job1 Step 4
Job1,6,Machine11,46,68,After Job1 Step 5
Job1,7,Machine5,68,83,After Job1 Step 6
Job1,8,Machine3,83,107,After Job1 Step 7
Job1,9,Machine14,107,115,After Job1 Step 8
Job1,10,Machine1,115,131,After Job1 Step 9
Job1,11,Machine12,131,138,After Job1 Step 10
Job1,12,Machine13,138,150,After Job1 Step 11
Job1,13,Machine2,150,174,After Job1 Step 12
Job1,14,Machine6,174,193,After Job1 Step 13
Job1,15,Machine4,193,212,After Job1 Step 14
Job10,1,Machine1,1118,1135,
Job10,2,Machine9,1160,1167,After Job10 Step 1
Job10,3,Machine2,1167,1190,After Job10 Step 2
Job10,4,Machine10,1193,1211,After Job10 Step 3
Job10,5,Machine13,1211,1217,After Job10 Step 4
Job10,6,Machine4,1252,1272,After Job10 Step 5
Job10,7,Machine7,1272,1290,After Job10 Step 6
Job10,8,Machine8,1290,1314,After Job10 Step 7
Job10,9,Machine6,1314,1320,After Job10 Step 8
Job10,10,Machine3,1320,1330,After Job10 Step 9
Job10,11,Machine14,1330,1345,After Job10 Step 10
Job10,12,Machine5,1345,1365,After Job10 Step 11
Job10,13,Machine0,1365,1369,After Job10 Step 12
Job10,14,Machine11,1369,1376,After Job10 Step 13
Job10,15,Machine12,1376,1397,After Job10 Step 14
Job11,1,Machine10,1211,1234,
Job11,2,Machine4,1272,1283,After Job11 Step 1
Job11,3,Machine5,1365,1369,After Job11 Step 2
Job11,4,Machine12,1397,1412,After Job11 Step 3
Job11,5,Machine2,1412,1426,After Job11 Step 4
Job11,6,Machine6,1426,1449,After Job11 Step 5
Job11,7,Machine14,1449,1467,After Job11 Step 6
Job11,8,Machine9,1467,1478,After Job11 Step 7
Job11,9,Machine3,1478,1487,After Job11 Step 8
Job11,10,Machine1,1487,1510,After Job11 Step 9
Job11,11,Machine0,1510,1513,After Job11 Step 10
Job11,12,Machine13,1513,1526,After Job11 Step 11
Job11,13,Machine8,1526,1528,After Job11 Step 12
Job11,14,Machine11,1528,1549,After Job11 Step 13
Job11,15,Machine7,1549,1556,After Job11 Step 14
Job12,1,Machine10,1234,1243,
Job12,2,Machine1,1510,1521,After Job12 Step 1
Job12,3,Machine4,1521,1523,After Job12 Step 2
Job12,4,Machine13,1526,1532,After Job12 Step 3
Job12,5,Machine6,1532,1551,After Job12 Step 4
Job12,6,Machine2,1551,1575,After Job12 Step 5
Job12,7,Machine8,1575,1582,After Job12 Step 6
Job12,8,Machine14,1582,1582,After Job12 Step 7
Job12,9,Machine12,1582,1595,After Job12 Step 8
Job12,10,Machine7,1595,1604,After Job12 Step 9
Job12,11,Machine11,1604,1618,After Job12 Step 10
Job12,12,Machine5,1618,1634,After Job12 Step 11
Job12,13,Machine0,1634,1639,After Job12 Step 12
Job12,14,Machine9,1639,1660,After Job12 Step 13
Job12,15,Machine3,1660,1673,After Job12 Step 14
Job13,1,Machine8,1582,1594,
Job13,2,Machine13,1594,1615,After Job13 Step 1
Job13,3,Machine4,1615,1633,After Job13 Step 2
Job13,4,Machine3,1673,1693,After Job13 Step 3
Job13,5,Machine5,1693,1699,After Job13 Step 4
Job13,6,Machine12,1699,1701,After Job13 Step 5
Job13,7,Machine9,1701,1702,After Job13 Step 6
Job13,8,Machine10,1702,1723,After Job13 Step 7
Job13,9,Machine2,1723,1735,After Job13 Step 8
Job13,10,Machine6,1735,1744,After Job13 Step 9
Job13,11,Machine1,1744,1751,After Job13 Step 10
Job13,12,Machine0,1751,1763,After Job13 Step 11
Job13,13,Machine14,1763,1764,After Job13 Step 12
Job13,14,Machine11,1764,1768,After Job13 Step 13
Job13,15,Machine7,1768,1793,After Job13 Step 14
Job14,1,Machine2,1735,1747,
Job14,2,Machine6,1747,1754,After Job14 Step 1
Job14,3,Machine10,1754,1772,After Job14 Step 2
Job14,4,Machine8,1772,1772,After Job14 Step 3
Job14,5,Machine7,1793,1815,After Job14 Step 4
Job14,6,Machine14,1815,1817,After Job14 Step 5
Job14,7,Machine12,1817,1835,After Job14 Step 6
Job14,8,Machine0,1835,1843,After Job14 Step 7
Job14,9,Machine4,1843,1859,After Job14 Step 8
Job14,10,Machine9,1859,1865,After Job14 Step 9
Job14,11,Machine13,1865,1867,After Job14 Step 10
Job14,12,Machine3,1867,1881,After Job14 Step 11
Job14,13,Machine5,1881,1881,After Job14 Step 12
Job14,14,Machine1,1881,1884,After Job14 Step 13
Job14,15,Machine11,1884,1904,After Job14 Step 14
Job15,1,Machine8,1772,1780,
Job15,2,Machine11,1904,1915,After Job15 Step 1
Job15,3,Machine3,1915,1922,After Job15 Step 2
Job15,4,Machine7,1922,1946,After Job15 Step 3
Job15,5,Machine13,1946,1969,After Job15 Step 4
Job15,6,Machine10,1969,1987,After Job15 Step 5
Job15,7,Machine6,1987,1989,After Job15 Step 6
Job15,8,Machine9,1989,1992,After Job15 Step 7
Job15,9,Machine0,1992,2008,After Job15 Step 8
Job15,10,Machine12,2008,2010,After Job15 Step 9
Job15,11,Machine5,2010,2026,After Job15 Step 10
Job15,12,Machine2,2026,2032,After Job15 Step 11
Job15,13,Machine1,2032,2055,After Job15 Step 12
Job15,14,Machine14,2055,2077,After Job15 Step 13
Job15,15,Machine4,2077,2088,After Job15 Step 14
Job16,1,Machine11,1915,1917,
Job16,2,Machine13,1969,1977,After Job16 Step 1
Job16,3,Machine5,2026,2037,After Job16 Step 2
Job16,4,Machine0,2037,2044,After Job16 Step 3
Job16,5,Machine14,2077,2079,After Job16 Step 4
Job16,6,Machine6,2079,2079,After Job16 Step 5
Job16,7,Machine9,2079,2084,After Job16 Step 6
Job16,8,Machine3,2084,2102,After Job16 Step 7
Job16,9,Machine7,2102,2113,After Job16 Step 8
Job16,10,Machine1,2113,2118,After Job16 Step 9
Job16,11,Machine10,2118,2141,After Job16 Step 10
Job16,12,Machine2,2141,2152,After Job16 Step 11
Job16,13,Machine4,2152,2163,After Job16 Step 12
Job16,14,Machine8,2163,2174,After Job16 Step 13
Job16,15,Machine12,2174,2196,After Job16 Step 14
Job17,1,Machine9,2084,2091,
Job17,2,Machine14,2091,2109,After Job17 Step 1
Job17,3,Machine12,2196,2203,After Job17 Step 2
Job17,4,Machine3,2203,2207,After Job17 Step 3
Job17,5,Machine5,2207,2229,After Job17 Step 4
Job17,6,Machine1,2229,2236,After Job17 Step 5
Job17,7,Machine0,2236,2250,After Job17 Step 6
Job17,8,Machine6,2250,2257,After Job17 Step 7
Job17,9,Machine8,2257,2260,After Job17 Step 8
Job17,10,Machine11,2260,2276,After Job17 Step 9
Job17,11,Machine10,2276,2281,After Job17 Step 10
Job17,12,Machine4,2281,2303,After Job17 Step 11
Job17,13,Machine2,2303,2323,After Job17 Step 12
Job17,14,Machine13,2323,2340,After Job17 Step 13
Job17,15,Machine7,2340,2342,After Job17 Step 14
Job18,1,Machine6,2257,2275,
Job18,2,Machine11,2276,2280,After Job18 Step 1
Job18,3,Machine9,2280,2281,After Job18 Step 2
Job18,4,Machine3,2281,2300,After Job18 Step 3
Job18,5,Machine12,2300,2315,After Job18 Step 4
Job18,6,Machine1,2315,2321,After Job18 Step 5
Job18,7,Machine8,2321,2330,After Job18 Step 6
Job18,8,Machine14,2330,2348,After Job18 Step 7
