job,step,machine,start,end,precedence
Job1,1,Machine4,0,15,
Job1,2,Machine6,15,35,After Job1 Step 1
Job1,3,Machine17,35,46,After Job1 Step 2
Job1,4,Machine5,46,50,After Job1 Step 3
Job1,5,Machine9,50,50,After Job1 Step 4
Job1,6,Machine13,50,55,After Job1 Step 5
Job1,7,Machine18,55,75,After Job1 Step 6
Job1,8,Machine14,75,94,After Job1 Step 7
Job1,9,Machine15,94,112,After Job1 Step 8
Job1,10,Machine1,112,116,After Job1 Step 9
Job1,11,Machine16,116,127,After Job1 Step 10
Job1,12,Machine11,127,134,After Job1 Step 11
Job1,13,Machine3,134,153,After Job1 Step 12
Job1,14,Machine8,153,162,After Job1 Step 13
Job1,15,Machine0,162,173,After Job1 Step 14
Job1,16,Machine7,173,180,After Job1 Step 15
Job1,17,Machine2,180,193,After Job1 Step 16
Job1,18,Machine10,193,205,After Job1 Step 17
Job1,19,Machine12,205,208,After Job1 Step 18
Job1,20,Machine19,208,215,After Job1 Step 19
Job10,1,Machine8,1553,1571,
Job10,2,Machine17,1571,1583,After Job10 Step 1
Job10,3,Machine9,1644,1653,After Job10 Step 2
Job10,4,Machine14,1669,1688,After Job10 Step 3
Job10,5,Machine0,1688,1704,After Job10 Step 4
Job10,6,Machine1,1704,1708,After Job10 Step 5
Job10,7,Machine6,1708,1715,After Job10 Step 6
Job10,8,Machine13,1715,1732,After Job10 Step 7
Job10,9,Machine19,1732,1736,After Job10 Step 8
Job10,10,Machine11,1736,1747,After Job10 Step 9
Job10,11,Machine4,1747,1768,After Job10 Step 10
Job10,12,Machine10,1768,1782,After Job10 Step 11
Job10,13,Machine5,1782,1791,After Job10 Step 12
Job10,14,Machine18,1791,1808,After Job10 Step 13
Job10,15,Machine16,1808,1819,After Job10 Step 14
Job10,16,Machine2,1819,1821,After Job10 Step 15
Job10,17,Machine12,1821,1836,After Job10 Step 16
Job10,18,Machine3,1836,1856,After Job10 Step 17
Job10,19,Machine15,1856,1876,After Job10 Step 18
Job10,20,Machine7,1876,1887,After Job10 Step 19
Job11,1,Machine11,1747,1754,
Job11,2,Machine17,1754,1760,After Job11 Step 1
Job11,3,Machine13,1760,1770,After Job11 Step 2
Job11,4,Machine4,1770,1784,After Job11 Step 3
Job11,5,Machine19,1784,1801,After Job11 Step 4
Job11,6,Machine2,1821,1843,After Job11 Step 5
Job11,7,Machine5,1843,1856,After Job11 Step 6
Job11,8,Machine10,1856,1862,After Job11 Step 7
Job11,9,Machine1,1862,1883,After Job11 Step 8
Job11,10,Machine14,1883,1892,After Job11 Step 9
Job11,11,Machine18,1892,1911,After Job11 Step 10
Job11,12,Machine7,1911,1926,After Job11 Step 11
Job11,13,Machine3,1926,1941,After Job11 Step 12
Job11,14,Machine9,1941,1949,After Job11 Step 13
Job11,15,Machine0,1949,1968,After Job11 Step 14
Job11,16,Machine8,1968,1986,After Job11 Step 15
Job11,17,Machine12,1986,1995,After Job11 Step 16
Job11,18,Machine16,1995,2011,After Job11 Step 17
Job11,19,Machine15,2011,2033,After Job11 Step 18
Job11,20,Machine6,2033,2051,After Job11 Step 19
Job12,1,Machine10,1862,1875,
Job12,2,Machine2,1875,1892,After Job12 Step 1
Job12,3,Machine8,1986,2008,After Job12 Step 2
Job12,4,Machine13,2008,2020,After Job12 Step 3
Job12,5,Machine7,2020,2024,After Job12 Step 4
Job12,6,Machine12,2024,2043,After Job12 Step 5
Job12,7,Machine3,2043,2059,After Job12 Step 6
Job12,8,Machine9,2059,2077,After Job12 Step 7
Job12,9,Machine19,2077,2092,After Job12 Step 8
Job12,10,Machine15,2092,2097,After Job12 Step 9
Job12,11,Machine6,2097,2102,After Job12 Step 10
Job12,12,Machine18,2102,2115,After Job12 Step 11
Job12,13,Machine5,2115,2122,After Job12 Step 12
Job12,14,Machine0,2122,2136,After Job12 Step 13
Job12,15,Machine4,2136,2145,After Job12 Step 14
Job12,16,Machine16,2145,2160,After Job12 Step 15
Job12,17,Machine1,2160,2178,After Job12 Step 16
Job12,18,Machine11,2178,2185,After Job12 Step 17
Job12,19,Machine17,2185,2204,After Job12 Step 18
Job12,20,Machine14,2204,2214,After Job12 Step 19
Job13,1,Machine4,2145,2164,
Job13,2,Machine7,2164,2187,After Job13 Step 1
Job13,3,Machine2,2187,2210,After Job13 Step 2
Job13,4,Machine15,2210,2231,After Job13 Step 3
Job13,5,Machine16,2231,2247,After Job13 Step 4
Job13,6,Machine1,2247,2249,After Job13 Step 5
Job13,7,Machine8,2249,2259,After Job13 Step 6
Job13,8,Machine19,2259,2270,After Job13 Step 7
Job13,9,Machine13,2270,2279,After Job13 Step 8
Job13,10,Machine9,2279,2298,After Job13 Step 9
Job13,11,Machine6,2298,2320,After Job13 Step 10
Job13,12,Machine3,2320,2323,After Job13 Step 11
Job13,13,Machine18,2323,2345,After Job13 Step 12
Job13,14,Machine10,2345,2358,After Job13 Step 13
Job13,15,Machine17,2358,2368,After Job13 Step 14
Job13,16,Machine11,2368,2386,After Job13 Step 15
Job13,17,Machine14,2386,2405,After Job13 Step 16
Job13,18,Machine12,2405,2415,After Job13 Step 17
Job13,19,Machine5,2415,2432,After Job13 Step 18
Job13,20,Machine0,2432,2433,After Job13 Step 19
Job14,1,Machine3,2323,2327,
Job14,2,Machine0,2433,2452,After Job14 Step 1
Job14,3,Machine18,2452,2457,After Job14 Step 2
Job14,4,Machine5,2457,2460,After Job14 Step 3
Job14,5,Machine8,2460,2463,After Job14 Step 4
Job14,6,Machine16,2463,2467,After Job14 Step 5
Job14,7,Machine6,2467,2485,After Job14 Step 6
Job14,8,Machine9,2485,2494,After Job14 Step 7
Job14,9,Machine10,2494,2504,After Job14 Step 8
Job14,10,Machine12,2504,2520,After Job14 Step 9
Job14,11,Machine13,2520,2542,After Job14 Step 10
Job14,12,Machine2,2542,2548,After Job14 Step 11
Job14,13,Machine1,2548,2570,After Job14 Step 12
Job14,14,Machine4,2570,2593,After Job14 Step 13
Job14,15,Machine17,2593,2598,After Job14 Step 14
Job14,16,Machine19,2598,2606,After Job14 Step 15
Job14,17,Machine11,2606,2612,After Job14 Step 16
Job14,18,Machine14,2612,2633,After Job14 Step 17
Job14,19,Machine15,2633,2654,After Job14 Step 18
Job14,20,Machine7,2654,2658,After Job14 Step 19
Job15,1,Machine9,2494,2511,
Job15,2,Machine6,2511,2526,After Job15 Step 1
Job15,3,Machine19,2606,2608,After Job15 Step 2
Job15,4,Machine15,2654,2670,After Job15 Step 3
Job15,5,Machine17,2670,2693,After Job15 Step 4
Job15,6,Machine7,2693,2699,After Job15 Step 5
Job15,7,Machine16,2699,2702,After Job15 Step 6
Job15,8,Machine3,2702,2722,After Job15 Step 7
Job15,9,Machine12,2722,2724,After Job15 Step 8
Job15,10,Machine18,2724,2738,After Job15 Step 9
Job15,11,Machine10,2738,2742,After Job15 Step 10
Job15,12,Machine1,2742,2765,After Job15 Step 11
Job15,13,Machine13,2765,2772,After Job15 Step 12
Job15,14,Machine4,2772,2786,After Job15 Step 13
Job15,15,Machine5,2786,2808,After Job15 Step 14
