job,step,machine,start,end,precedence
Job1,1,Machine0,0,2,
Job1,2,Machine9,3,7,After Job1 Step 1
Job1,3,Machine2,8,12,After Job1 Step 2
Job1,4,Machine13,12,14,After Job1 Step 3
Job1,5,Machine10,15,20,After Job1 Step 4
Job1,6,Machine8,21,25,After Job1 Step 5
Job1,7,Machine6,26,29,After Job1 Step 6
Job1,8,Machine4,29,33,After Job1 Step 7
Job1,9,Machine11,34,39,After Job1 Step 8
Job1,10,Machine12,40,44,After Job1 Step 9
Job1,11,Machine1,45,48,After Job1 Step 10
Job1,12,Machine14,49,53,After Job1 Step 11
Job1,13,Machine3,53,57,After Job1 Step 12
Job1,14,Machine5,58,61,After Job1 Step 13
Job1,15,Machine7,61,63,After Job1 Step 14
Job2,1,Machine9,485,486,
Job2,2,Machine10,514,516,After Job2 Step 1
Job2,3,Machine14,517,519,After Job2 Step 2
Job2,4,Machine5,519,521,After Job2 Step 3
Job2,5,Machine4,521,524,After Job2 Step 4
Job2,6,Machine6,525,530,After Job2 Step 5
Job2,7,Machine0,530,534,After Job2 Step 6
Job2,8,Machine7,534,539,After Job2 Step 7
Job2,9,Machine13,539,542,After Job2 Step 8
Job2,10,Machine11,542,545,After Job2 Step 9
Job2,11,Machine1,545,548,After Job2 Step 10
Job2,12,Machine3,549,551,After Job2 Step 11
Job2,13,Machine2,552,557,After Job2 Step 12
Job2,14,Machine12,557,559,After Job2 Step 13
Job2,15,Machine8,560,563,After Job2 Step 14
Job3,1,Machine3,591,594,
Job3,2,Machine8,595,597,After Job3 Step 1
Job3,3,Machine11,597,600,After Job3 Step 2
Job3,4,Machine13,601,606,After Job3 Step 3
Job3,5,Machine10,612,616,After Job3 Step 4
Job3,6,Machine14,617,619,After Job3 Step 5
Job3,7,Machine5,619,624,After Job3 Step 6
Job3,8,Machine9,625,627,After Job3 Step 7
Job3,9,Machine0,628,631,After Job3 Step 8
Job3,10,Machine1,632,636,After Job3 Step 9
Job3,11,Machine4,637,639,After Job3 Step 10
Job3,12,Machine2,640,644,After Job3 Step 11
Job3,13,Machine7,645,650,After Job3 Step 12
Job3,14,Machine6,650,653,After Job3 Step 13
Job3,15,Machine12,653,657,After Job3 Step 14
Job4,1,Machine14,619,622,
Job4,2,Machine3,622,627,After Job4 Step 1
Job4,3,Machine2,645,649,After Job4 Step 2
Job4,4,Machine12,658,660,After Job4 Step 3
Job4,5,Machine4,660,664,After Job4 Step 4
Job4,6,Machine13,664,666,After Job4 Step 5
Job4,7,Machine1,666,667,After Job4 Step 6
Job4,8,Machine6,668,671,After Job4 Step 7
Job4,9,Machine9,671,673,After Job4 Step 8
Job4,10,Machine7,673,675,After Job4 Step 9
Job4,11,Machine10,676,680,After Job4 Step 10
Job4,12,Machine0,680,685,After Job4 Step 11
Job4,13,Machine5,686,690,After Job4 Step 12
Job4,14,Machine8,691,694,After Job4 Step 13
Job4,15,Machine11,695,700,After Job4 Step 14
Job5,1,Machine12,661,665,
Job5,2,Machine14,665,667,After Job5 Step 1
Job5,3,Machine1,668,672,After Job5 Step 2
Job5,4,Machine7,675,677,After Job5 Step 3
Job5,5,Machine8,695,699,After Job5 Step 4
Job5,6,Machine11,700,703,After Job5 Step 5
Job5,7,Machine6,703,706,After Job5 Step 6
Job5,8,Machine4,707,709,After Job5 Step 7
Job5,9,Machine0,710,715,After Job5 Step 8
Job5,10,Machine2,715,720,After Job5 Step 9
Job5,11,Machine3,721,725,After Job5 Step 10
Job5,12,Machine10,726,730,After Job5 Step 11
Job5,13,Machine5,730,732,After Job5 Step 12
Job5,14,Machine13,732,737,After Job5 Step 13
Job5,15,Machine9,737,739,After Job5 Step 14
Job6,1,Machine10,730,733,
Job6,2,Machine12,734,738,After Job6 Step 1
Job6,3,Machine8,739,740,After Job6 Step 2
Job6,4,Machine14,740,744,After Job6 Step 3
Job6,5,Machine9,744,745,After Job6 Step 4
Job6,6,Machine6,746,749,After Job6 Step 5
Job6,7,Machine5,749,751,After Job6 Step 6
Job6,8,Machine4,751,753,After Job6 Step 7
Job6,9,Machine2,754,757,After Job6 Step 8
Job6,10,Machine11,758,761,After Job6 Step 9
Job6,11,Machine7,762,765,After Job6 Step 10
Job6,12,Machine3,766,769,After Job6 Step 11
Job6,13,Machine13,770,772,After Job6 Step 12
Job6,14,Machine0,773,776,After Job6 Step 13
Job6,15,Machine1,777,780,After Job6 Step 14
Job7,1,Machine6,750,754,
Job7,2,Machine8,755,760,After Job7 Step 1
Job7,3,Machine0,776,778,After Job7 Step 2
Job7,4,Machine12,778,782,After Job7 Step 3
Job7,5,Machine10,782,785,After Job7 Step 4
Job7,6,Machine9,785,788,After Job7 Step 5
Job7,7,Machine2,789,793,After Job7 Step 6
Job7,8,Machine4,794,798,After Job7 Step 7
Job7,9,Machine3,799,800,After Job7 Step 8
Job7,10,Machine13,801,803,After Job7 Step 9
Job7,11,Machine14,803,806,After Job7 Step 10
Job7,12,Machine11,806,809,After Job7 Step 11
Job7,13,Machine5,809,811,After Job7 Step 12
Job7,14,Machine7,812,817,After Job7 Step 13
Job7,15,Machine1,817,820,After Job7 Step 14
Job8,1,Machine11,809,811,
