job,step,machine,start,end,precedence
Job1,1,Machine5,0,2,
Job1,2,Machine3,4,21,After Job1 Step 1
Job1,3,Machine0,23,39,After Job1 Step 2
Job1,4,Machine2,40,49,After Job1 Step 3
Job1,5,Machine6,49,51,After Job1 Step 4
Job1,6,Machine4,53,67,After Job1 Step 5
Job1,7,Machine1,71,89,After Job1 Step 6
Job1,8,Machine9,94,112,After Job1 Step 7
Job1,9,Machine8,115,129,After Job1 Step 8
Job1,10,Machine13,132,149,After Job1 Step 9
Job1,11,Machine11,150,155,After Job1 Step 10
Job1,12,Machine10,158,176,After Job1 Step 11
Job1,13,Machine12,180,193,After Job1 Step 12
Job1,14,Machine14,194,205,After Job1 Step 13
Job1,15,Machine7,208,219,After Job1 Step 14
Job2,1,Machine3,690,698,
Job2,2,Machine4,700,706,After Job2 Step 1
Job2,3,Machine2,711,727,After Job2 Step 2
Job2,4,Machine0,727,728,After Job2 Step 3
Job2,5,Machine5,731,746,After Job2 Step 4
Job2,6,Machine1,751,769,After Job2 Step 5
Job2,7,Machine6,775,796,After Job2 Step 6
Job2,8,Machine14,1114,1117,After Job2 Step 7
Job2,9,Machine11,1135,1156,After Job2 Step 8
Job2,10,Machine9,1157,1164,After Job2 Step 9
Job2,11,Machine10,1164,1165,After Job2 Step 10
Job2,12,Machine13,1169,1186,After Job2 Step 11
Job2,13,Machine7,1187,1190,After Job2 Step 12
Job2,14,Machine8,1192,1206,After Job2 Step 13
Job2,15,Machine12,1208,1222,After Job2 Step 14
Job3,1,Machine1,773,785,
Job3,2,Machine2,804,811,After Job3 Step 1
Job3,3,Machine0,842,848,After Job3 Step 2
Job3,4,Machine6,849,853,After Job3 Step 3
Job3,5,Machine3,854,865,After Job3 Step 4
Job3,6,Machine4,869,888,After Job3 Step 5
Job3,7,Machine5,889,889,After Job3 Step 6
Job3,8,Machine14,1267,1283,After Job3 Step 7
Job3,9,Machine11,1285,1293,After Job3 Step 8
Job3,10,Machine9,1321,1326,After Job3 Step 9
Job3,11,Machine10,1327,1343,After Job3 Step 10
Job3,12,Machine13,1346,1363,After Job3 Step 11
Job3,13,Machine8,1364,1376,After Job3 Step 12
Job3,14,Machine12,1381,1397,After Job3 Step 13
Job3,15,Machine7,1397,1399,After Job3 Step 14
Job4,1,Machine2,813,824,
Job4,2,Machine4,889,894,After Job4 Step 1
Job4,3,Machine3,895,900,After Job4 Step 2
Job4,4,Machine0,903,915,After Job4 Step 3
Job4,5,Machine1,918,940,After Job4 Step 4
Job4,6,Machine5,943,961,After Job4 Step 5
Job4,7,Machine6,964,985,After Job4 Step 6
Job4,8,Machine14,1283,1284,After Job4 Step 7
Job4,9,Machine12,1399,1410,After Job4 Step 8
Job4,10,Machine10,1413,1430,After Job4 Step 9
Job4,11,Machine9,1434,1451,After Job4 Step 10
Job4,12,Machine8,1455,1468,After Job4 Step 11
Job4,13,Machine7,1471,1488,After Job4 Step 12
Job4,14,Machine13,1492,1511,After Job4 Step 13
Job4,15,Machine11,1514,1537,After Job4 Step 14
Job5,1,Machine2,825,828,
Job5,2,Machine0,917,931,After Job5 Step 1
Job5,3,Machine3,933,944,After Job5 Step 2
Job5,4,Machine4,946,955,After Job5 Step 3
Job5,5,Machine6,988,999,After Job5 Step 4
Job5,6,Machine5,1000,1005,After Job5 Step 5
Job5,7,Machine1,1005,1006,After Job5 Step 6
Job5,8,Machine11,1537,1539,After Job5 Step 7
Job5,9,Machine8,1541,1558,After Job5 Step 8
Job5,10,Machine14,1560,1579,After Job5 Step 9
Job5,11,Machine13,1579,1585,After Job5 Step 10
Job5,12,Machine12,1585,1589,After Job5 Step 11
Job5,13,Machine9,1591,1598,After Job5 Step 12
Job5,14,Machine7,1602,1618,After Job5 Step 13
Job5,15,Machine10,1624,1646,After Job5 Step 14
Job6,1,Machine4,956,967,
Job6,2,Machine5,1007,1018,After Job6 Step 1
Job6,3,Machine2,1020,1035,After Job6 Step 2
Job6,4,Machine0,1037,1057,After Job6 Step 3
Job6,5,Machine6,1058,1058,After Job6 Step 4
Job6,6,Machine3,1060,1073,After Job6 Step 5
Job6,7,Machine1,1074,1080,After Job6 Step 6
Job6,8,Machine9,1603,1622,After Job6 Step 7
Job6,9,Machine8,1626,1641,After Job6 Step 8
Job6,10,Machine10,1646,1649,After Job6 Step 9
