job,step,machine,start,end,precedence
Job1,1,Machine17,0,1,
Job1,2,Machine2,2,5,After Job1 Step 1
Job1,3,Machine11,5,9,After Job1 Step 2
Job1,4,Machine4,10,15,After Job1 Step 3
Job1,5,Machine12,16,19,After Job1 Step 4
Job1,6,Machine13,19,21,After Job1 Step 5
Job1,7,Machine7,22,26,After Job1 Step 6
Job1,8,Machine0,28,32,After Job1 Step 7
Job1,9,Machine3,32,34,After Job1 Step 8
Job1,10,Machine15,34,35,After Job1 Step 9
Job1,11,Machine18,36,42,After Job1 Step 10
Job1,12,Machine10,43,47,After Job1 Step 11
Job1,13,Machine14,48,50,After Job1 Step 12
Job1,14,Machine8,51,53,After Job1 Step 13
Job1,15,Machine1,54,58,After Job1 Step 14
Job1,16,Machine6,59,60,After Job1 Step 15
Job1,17,Machine19,61,66,After Job1 Step 16
Job1,18,Machine5,67,72,After Job1 Step 17
Job1,19,Machine9,73,76,After Job1 Step 18
Job1,20,Machine16,77,78,After Job1 Step 19
Job2,1,Machine8,652,654,
Job2,2,Machine6,655,657,After Job2 Step 1
Job2,3,Machine14,657,659,After Job2 Step 2
Job2,4,Machine5,659,662,After Job2 Step 3
Job2,5,Machine10,663,664,After Job2 Step 4
Job2,6,Machine2,665,670,After Job2 Step 5
Job2,7,Machine11,670,672,After Job2 Step 6
Job2,8,Machine19,672,674,After Job2 Step 7
Job2,9,Machine13,674,676,After Job2 Step 8
Job2,10,Machine18,677,678,After Job2 Step 9
Job2,11,Machine3,678,679,After Job2 Step 10
Job2,12,Machine4,680,682,After Job2 Step 11
Job2,13,Machine16,683,686,After Job2 Step 12
Job2,14,Machine1,686,689,After Job2 Step 13
Job2,15,Machine0,690,691,After Job2 Step 14
Job2,16,Machine15,692,697,After Job2 Step 15
Job2,17,Machine17,697,701,After Job2 Step 16
Job2,18,Machine12,702,706,After Job2 Step 17
Job2,19,Machine7,707,710,After Job2 Step 18
Job2,20,Machine9,710,715,After Job2 Step 19
Job3,1,Machine4,760,764,
Job3,2,Machine3,765,768,After Job3 Step 1
Job3,3,Machine8,769,772,After Job3 Step 2
Job3,4,Machine17,773,778,After Job3 Step 3
Job3,5,Machine0,779,782,After Job3 Step 4
Job3,6,Machine14,783,784,After Job3 Step 5
Job3,7,Machine1,785,789,After Job3 Step 6
Job3,8,Machine10,790,792,After Job3 Step 7
Job3,9,Machine13,792,793,After Job3 Step 8
Job3,10,Machine6,794,796,After Job3 Step 9
Job3,11,Machine18,797,799,After Job3 Step 10
Job3,12,Machine9,799,801,After Job3 Step 11
Job3,13,Machine11,802,805,After Job3 Step 12
Job3,14,Machine7,806,809,After Job3 Step 13
