job,step,machine,start,end
Job1,Step 1,Machine2,0,1
Job1,Step 2,Machine3,1,2
Job1,Step 3,Machine9,3,4
Job1,Step 4,Machine4,4,6
Job1,Step 5,Machine0,6,8
Job1,Step 6,Machine6,8,11
Job1,Step 7,Machine8,11,13
Job1,Step 8,Machine7,13,15
Job1,Step 9,Machine1,15,18
Job1,Step 10,Machine5,18,21
Job1,Step 11,Machine11,21,22
Job1,Step 12,Machine14,23,24
Job1,Step 13,Machine13,24,27
Job1,Step 14,Machine10,27,29
Job1,Step 15,Machine12,29,31
Job2,Step 1,Machine6,31,34
Job2,Step 2,Machine3,34,35
Job2,Step 3,Machine12,35,37
Job2,Step 4,Machine11,37,38
Job2,Step 5,Machine1,39,41
Job2,Step 6,Machine13,41,42
Job2,Step 7,Machine10,42,44
Job2,Step 8,Machine2,45,48
Job2,Step 9,Machine5,48,50
Job2,Step 10,Machine7,50,52
Job2,Step 11,Machine0,52,53
Job2,Step 12,Machine8,53,55
Job2,Step 13,Machine14,55,57
Job2,Step 14,Machine9,57,59
Job2,Step 15,Machine4,59,61
Job3,Step 1,Machine6,61,64
Job3,Step 2,Machine0,64,66
Job3,Step 3,Machine13,66,68
Job3,Step 4,Machine7,68,71
Job3,Step 5,Machine2,71,73
Job3,Step 6,Machine3,73,74
Job3,Step 7,Machine12,74,75
Job3,Step 8,Machine10,76,77
Job3,Step 9,Machine9,77,79
Job3,Step 10,Machine1,79,80
Job3,Step 11,Machine5,80,81
Job3,Step 12,Machine11,82,84
Job3,Step 13,Machine8,84,85
Job3,Step 14,Machine4,86,88
Job3,Step 15,Machine14,88,89
Job4,Step 1,Machine9,89,91
Job4,Step 2,Machine6,91,94
Job4,Step 3,Machine1,94,95
Job4,Step 4,Machine7,96,97
Job4,Step 5,Machine12,97,100
Job4,Step 6,Machine4,100,103
Job4,Step 7,Machine0,103,106
Job4,Step 8,Machine5,106,107
Job4,Step 9,Machine11,107,110
Job4,Step 10,Machine10,110,112
Job4,Step 11,Machine14,112,114
Job4,Step 12,Machine2,114,117
Job4,Step 13,Machine3,117,118
Job4,Step 14,Machine8,118,119
Job4,Step 15,Machine13,119,121
Job5,Step 1,Machine11,121,123
