job,step,machine,start,end
Job1,Step 1,Machine3,0,9
Job1,Step 2,Machine1,9,14
Job1,Step 3,Machine2,15,24
Job1,Step 4,Machine6,25,29
Job1,Step 5,Machine0,29,30
Job1,Step 6,Machine4,30,36
Job1,Step 7,Machine5,37,42
Job1,Step 8,Machine8,43,44
Job1,Step 9,Machine12,44,45
Job1,Step 10,Machine13,45,45
Job1,Step 11,Machine11,46,47
Job1,Step 12,Machine9,48,58
Job1,Step 13,Machine7,58,61
Job1,Step 14,Machine14,61,69
Job1,Step 15,Machine10,69,76
Job2,Step 1,Machine5,76,76
Job2,Step 2,Machine3,77,86
Job2,Step 3,Machine6,87,92
Job2,Step 4,Machine1,93,102
Job2,Step 5,Machine2,103,112
Job2,Step 6,Machine4,112,121
Job2,Step 7,Machine0,121,122
Job2,Step 8,Machine11,122,130
Job2,Step 9,Machine10,131,135
Job2,Step 10,Machine8,136,143
Job2,Step 11,Machine9,143,146
Job2,Step 12,Machine13,146,149
Job2,Step 13,Machine12,149,154
Job2,Step 14,Machine7,154,159
Job2,Step 15,Machine14,159,164
Job3,Step 1,Machine1,164,168
Job3,Step 2,Machine6,168,171
Job3,Step 3,Machine4,172,175
Job3,Step 4,Machine2,177,185
Job3,Step 5,Machine0,185,188
Job3,Step 6,Machine5,188,192
Job3,Step 7,Machine3,192,193
Job3,Step 8,Machine9,194,202
Job3,Step 9,Machine14,202,208
Job3,Step 10,Machine7,208,212
Job3,Step 11,Machine11,212,220
Job3,Step 12,Machine12,220,222
Job3,Step 13,Machine8,223,232
Job3,Step 14,Machine10,233,235
Job3,Step 15,Machine13,235,238
Job4,Step 1,Machine3,238,243
Job4,Step 2,Machine5,243,244
Job4,Step 3,Machine6,245,250
Job4,Step 4,Machine2,251,259
Job4,Step 5,Machine0,260,266
Job4,Step 6,Machine1,267,272
Job4,Step 7,Machine4,273,281
Job4,Step 8,Machine10,282,286
Job4,Step 9,Machine12,286,286
Job4,Step 10,Machine7,287,291
Job4,Step 11,Machine8,292,294
Job4,Step 12,Machine11,295,304
Job4,Step 13,Machine14,305,309
Job4,Step 14,Machine13,310,318
Job4,Step 15,Machine9,319,329
Job5,Step 1,Machine2,329,332
Job5,Step 2,Machine1,332,332
Job5,Step 3,Machine3,332,334
Job5,Step 4,Machine6,334,339
Job5,Step 5,Machine5,339,347
Job5,Step 6,Machine4,349,357
Job5,Step 7,Machine0,358,368
Job5,Step 8,Machine9,369,378
Job5,Step 9,Machine7,378,381
Job5,Step 10,Machine11,381,383
Job5,Step 11,Machine10,384,394
Job5,Step 12,Machine8,394,397
Job5,Step 13,Machine14,397,404
Job5,Step 14,Machine13,404,404
Job5,Step 15,Machine12,404,405
Job6,Step 1,Machine3,405,412
Job6,Step 2,Machine6,413,415
Job6,Step 3,Machine5,415,417
Job6,Step 4,Machine4,417,417
Job6,Step 5,Machine1,418,421
Job6,Step 6,Machine2,421,422
Job6,Step 7,Machine0,422,426
Job6,Step 8,Machine10,427,430
Job6,Step 9,Machine11,431,435
Job6,Step 10,Machine9,435,440
Job6,Step 11,Machine8,440,441
Job6,Step 12,Machine13,441,442
Job6,Step 13,Machine12,442,443
Job6,Step 14,Machine7,443,447
Job6,Step 15,Machine14,448,456
Job7,Step 1,Machine0,456,464
Job7,Step 2,Machine4,464,466
Job7,Step 3,Machine2,466,472
Job7,Step 4,Machine6,472,475
Job7,Step 5,Machine5,475,475
Job7,Step 6,Machine1,476,482
Job7,Step 7,Machine3,483,493
Job7,Step 8,Machine14,494,501
Job7,Step 9,Machine10,501,510
Job7,Step 10,Machine7,510,519
Job7,Step 11,Machine13,519,528
Job7,Step 12,Machine9,529,539
Job7,Step 13,Machine8,539,543
Job7,Step 14,Machine11,543,548
Job7,Step 15,Machine12,550,559
Job8,Step 1,Machine6,559,569
Job8,Step 2,Machine4,570,572
Job8,Step 3,Machine2,573,580
Job8,Step 4,Machine0,581,587
Job8,Step 5,Machine1,587,596
Job8,Step 6,Machine3,597,604
Job8,Step 7,Machine5,604,605
Job8,Step 8,Machine7,606,611
Job8,Step 9,Machine13,611,617
Job8,Step 10,Machine11,617,622
Job8,Step 11,Machine12,623,632
Job8,Step 12,Machine14,632,639
Job8,Step 13,Machine10,639,640
Job8,Step 14,Machine8,640,641
Job8,Step 15,Machine9,641,644
Job9,Step 1,Machine4,644,649
Job9,Step 2,Machine0,650,654
Job9,Step 3,Machine3,654,659
Job9,Step 4,Machine5,660,668
Job9,Step 5,Machine2,669,677
Job9,Step 6,Machine6,677,680
Job9,Step 7,Machine1,681,685
Job9,Step 8,Machine10,685,695
Job9,Step 9,Machine8,695,704
Job9,Step 10,Machine7,704,707
Job9,Step 11,Machine13,707,710
Job9,Step 12,Machine9,711,716
Job9,Step 13,Machine11,716,720
Job9,Step 14,Machine12,720,728
Job9,Step 15,Machine14,729,738
Job10,Step 1,Machine2,738,740
Job10,Step 2,Machine5,740,744
Job10,Step 3,Machine0,745,748
Job10,Step 4,Machine4,748,748
Job10,Step 5,Machine3,749,756
Job10,Step 6,Machine6,756,758
Job10,Step 7,Machine1,759,768
Job10,Step 8,Machine8,768,770
Job10,Step 9,Machine14,771,777
Job10,Step 10,Machine12,778,788
Job10,Step 11,Machine10,790,800
Job10,Step 12,Machine11,802,807
Job10,Step 13,Machine13,808,816
Job10,Step 14,Machine9,816,818
Job10,Step 15,Machine7,819,829
Job11,Step 1,Machine3,829,833
Job11,Step 2,Machine1,834,835
Job11,Step 3,Machine4,835,837
Job11,Step 4,Machine6,838,845
Job11,Step 5,Machine2,845,846
Job11,Step 6,Machine0,847,854
Job11,Step 7,Machine5,854,855
Job11,Step 8,Machine12,856,861
