job,step,machine,start,end
Job1,Step 1,Machine13,0,3
Job1,Step 2,Machine16,3,5
Job1,Step 3,Machine17,5,7
Job1,Step 4,Machine8,7,10
Job1,Step 5,Machine1,10,12
Job1,Step 6,Machine14,13,16
Job1,Step 7,Machine19,16,17
Job1,Step 8,Machine4,18,20
Job1,Step 9,Machine7,20,22
Job1,Step 10,Machine3,23,25
Job1,Step 11,Machine6,25,26
Job1,Step 12,Machine5,26,29
Job1,Step 13,Machine0,29,30
Job1,Step 14,Machine9,30,33
Job1,Step 15,Machine2,33,36
Job1,Step 16,Machine15,36,37
Job1,Step 17,Machine18,37,40
Job1,Step 18,Machine10,41,42
Job1,Step 19,Machine12,42,45
Job1,Step 20,Machine11,45,47
Job2,Step 1,Machine1,47,50
Job2,Step 2,Machine11,50,52
Job2,Step 3,Machine12,52,54
Job2,Step 4,Machine6,54,56
Job2,Step 5,Machine16,56,58
Job2,Step 6,Machine13,58,61
Job2,Step 7,Machine10,61,64
Job2,Step 8,Machine7,64,65
Job2,Step 9,Machine3,66,67
Job2,Step 10,Machine4,67,70
Job2,Step 11,Machine18,70,72
Job2,Step 12,Machine2,72,73
Job2,Step 13,Machine17,73,74
Job2,Step 14,Machine9,74,76
Job2,Step 15,Machine15,76,79
Job2,Step 16,Machine5,79,81
Job2,Step 17,Machine8,81,82
Job2,Step 18,Machine14,82,83
Job2,Step 19,Machine0,83,87
Job2,Step 20,Machine19,87,89
Job3,Step 1,Machine9,89,91
Job3,Step 2,Machine8,92,92
Job3,Step 3,Machine14,93,96
Job3,Step 4,Machine2,96,98
Job3,Step 5,Machine13,99,102
Job3,Step 6,Machine7,102,105
Job3,Step 7,Machine1,105,108
Job3,Step 8,Machine18,108,110
Job3,Step 9,Machine6,110,113
Job3,Step 10,Machine3,113,115
Job3,Step 11,Machine10,115,118
Job3,Step 12,Machine5,118,120
Job3,Step 13,Machine17,120,122
Job3,Step 14,Machine0,122,123
Job3,Step 15,Machine19,123,124
Job3,Step 16,Machine16,125,128
Job3,Step 17,Machine12,128,131
Job3,Step 18,Machine11,131,133
Job3,Step 19,Machine4,133,134
Job3,Step 20,Machine15,134,137
Job4,Step 1,Machine2,137,139
Job4,Step 2,Machine4,140,141
Job4,Step 3,Machine11,141,144
Job4,Step 4,Machine5,144,146
Job4,Step 5,Machine13,146,148
Job4,Step 6,Machine6,148,150
Job4,Step 7,Machine12,150,153
Job4,Step 8,Machine0,153,155
Job4,Step 9,Machine1,155,157
Job4,Step 10,Machine7,157,160
Job4,Step 11,Machine17,160,163
Job4,Step 12,Machine14,163,167
Job4,Step 13,Machine10,167,169
Job4,Step 14,Machine3,169,172
Job4,Step 15,Machine15,172,174
Job4,Step 16,Machine16,174,176
Job4,Step 17,Machine8,176,179
Job4,Step 18,Machine9,179,181
Job4,Step 19,Machine18,181,184
Job4,Step 20,Machine19,184,187
Job5,Step 1,Machine7,187,189
Job5,Step 2,Machine9,189,191
Job5,Step 3,Machine4,191,193
Job5,Step 4,Machine3,193,196
Job5,Step 5,Machine19,196,198
Job5,Step 6,Machine15,198,200
Job5,Step 7,Machine17,200,203
Job5,Step 8,Machine0,203,204
Job5,Step 9,Machine6,204,208
Job5,Step 10,Machine1,208,210
Job5,Step 11,Machine12,211,214
Job5,Step 12,Machine2,214,215
Job5,Step 13,Machine16,215,218
Job5,Step 14,Machine10,218,220
Job5,Step 15,Machine14,220,222
Job5,Step 16,Machine5,222,225
