job,step,machine,start,end,precedence
Job1,1,Machine12,0,8,
Job1,2,Machine17,8,25,After Job1 Step 1
Job1,3,Machine13,25,27,After Job1 Step 2
Job1,4,Machine0,27,32,After Job1 Step 3
Job1,5,Machine9,32,47,After Job1 Step 4
Job1,6,Machine2,47,62,After Job1 Step 5
Job1,7,Machine14,62,65,After Job1 Step 6
Job1,8,Machine16,65,69,After Job1 Step 7
Job1,9,Machine11,69,70,After Job1 Step 8
Job1,10,Machine4,70,82,After Job1 Step 9
Job1,11,Machine6,82,99,After Job1 Step 10
Job1,12,Machine8,99,108,After Job1 Step 11
Job1,13,Machine15,108,116,After Job1 Step 12
Job1,14,Machine1,116,120,After Job1 Step 13
Job1,15,Machine18,120,136,After Job1 Step 14
Job1,16,Machine10,136,152,After Job1 Step 15
Job1,17,Machine3,152,161,After Job1 Step 16
Job1,18,Machine19,161,174,After Job1 Step 17
Job1,19,Machine7,174,189,After Job1 Step 18
Job1,20,Machine5,189,194,After Job1 Step 19
Job10,1,Machine12,1325,1335,
Job10,2,Machine16,1335,1341,After Job10 Step 1
Job10,3,Machine15,1349,1355,After Job10 Step 2
Job10,4,Machine9,1355,1370,After Job10 Step 3
Job10,5,Machine6,1370,1376,After Job10 Step 4
Job10,6,Machine2,1376,1381,After Job10 Step 5
Job10,7,Machine10,1381,1392,After Job10 Step 6
Job10,8,Machine11,1392,1397,After Job10 Step 7
Job10,9,Machine5,1397,1402,After Job10 Step 8
Job10,10,Machine0,1402,1419,After Job10 Step 9
Job10,11,Machine8,1419,1425,After Job10 Step 10
Job10,12,Machine1,1425,1435,After Job10 Step 11
Job10,13,Machine13,1435,1448,After Job10 Step 12
Job10,14,Machine4,1448,1462,After Job10 Step 13
Job10,15,Machine18,1462,1467,After Job10 Step 14
Job10,16,Machine17,1467,1475,After Job10 Step 15
Job10,17,Machine19,1475,1477,After Job10 Step 16
Job10,18,Machine3,1477,1478,After Job10 Step 17
Job10,19,Machine7,1478,1491,After Job10 Step 18
Job10,20,Machine14,1491,1505,After Job10 Step 19
Job11,1,Machine0,1419,1422,
Job11,2,Machine1,1435,1451,After Job11 Step 1
Job11,3,Machine7,1491,1501,After Job11 Step 2
Job11,4,Machine4,1501,1503,After Job11 Step 3
Job11,5,Machine18,1503,1511,After Job11 Step 4
Job11,6,Machine10,1511,1518,After Job11 Step 5
Job11,7,Machine9,1518,1527,After Job11 Step 6
Job11,8,Machine15,1527,1540,After Job11 Step 7
Job11,9,Machine5,1540,1547,After Job11 Step 8
Job11,10,Machine19,1547,1552,After Job11 Step 9
Job11,11,Machine2,1552,1565,After Job11 Step 10
Job11,12,Machine17,1565,1566,After Job11 Step 11
Job11,13,Machine16,1566,1571,After Job11 Step 12
Job11,14,Machine13,1571,1572,After Job11 Step 13
Job11,15,Machine12,1572,1584,After Job11 Step 14
Job11,16,Machine3,1584,1593,After Job11 Step 15
Job11,17,Machine14,1593,1607,After Job11 Step 16
Job11,18,Machine6,1607,1624,After Job11 Step 17
Job11,19,Machine11,1624,1638,After Job11 Step 18
Job11,20,Machine8,1638,1650,After Job11 Step 19
Job12,1,Machine17,1566,1582,
Job12,2,Machine13,1582,1583,After Job12 Step 1
Job12,3,Machine11,1638,1651,After Job12 Step 2
Job12,4,Machine8,1651,1653,After Job12 Step 3
Job12,5,Machine14,1653,1658,After Job12 Step 4
Job12,6,Machine10,1658,1666,After Job12 Step 5
Job12,7,Machine5,1666,1670,After Job12 Step 6
Job12,8,Machine4,1670,1683,After Job12 Step 7
Job12,9,Machine12,1683,1687,After Job12 Step 8
Job12,10,Machine18,1687,1690,After Job12 Step 9
Job12,11,Machine9,1690,1704,After Job12 Step 10
Job12,12,Machine2,1704,1704,After Job12 Step 11
Job12,13,Machine7,1704,1722,After Job12 Step 12
Job12,14,Machine19,1722,1730,After Job12 Step 13
Job12,15,Machine0,1730,1730,After Job12 Step 14
Job12,16,Machine3,1730,1743,After Job12 Step 15
Job12,17,Machine1,1743,1753,After Job12 Step 16
Job12,18,Machine16,1753,1753,After Job12 Step 17
Job12,19,Machine6,1753,1761,After Job12 Step 18
Job12,20,Machine15,1761,1770,After Job12 Step 19
Job13,1,Machine17,1582,1586,
Job13,2,Machine8,1653,1658,After Job13 Step 1
Job13,3,Machine7,1722,1734,After Job13 Step 2
Job13,4,Machine9,1734,1738,After Job13 Step 3
Job13,5,Machine1,1753,1759,After Job13 Step 4
