job,step,machine,start,end,precedence
Job1,1,Machine12,0,9,
Job1,2,Machine17,9,29,After Job1 Step 1
Job1,3,Machine13,29,31,After Job1 Step 2
Job1,4,Machine0,31,36,After Job1 Step 3
Job1,5,Machine9,36,53,After Job1 Step 4
Job1,6,Machine2,53,71,After Job1 Step 5
Job1,7,Machine14,71,74,After Job1 Step 6
Job1,8,Machine16,74,78,After Job1 Step 7
Job1,9,Machine11,78,79,After Job1 Step 8
Job1,10,Machine4,79,93,After Job1 Step 9
Job1,11,Machine6,93,113,After Job1 Step 10
Job1,12,Machine8,113,123,After Job1 Step 11
Job1,13,Machine15,123,132,After Job1 Step 12
Job1,14,Machine1,132,136,After Job1 Step 13
Job1,15,Machine18,136,154,After Job1 Step 14
Job1,16,Machine10,154,172,After Job1 Step 15
Job1,17,Machine3,172,183,After Job1 Step 16
Job1,18,Machine19,183,198,After Job1 Step 17
Job1,19,Machine7,198,215,After Job1 Step 18
Job1,20,Machine5,215,221,After Job1 Step 19
Job10,1,Machine12,1506,1518,
Job10,2,Machine16,1518,1525,After Job10 Step 1
Job10,3,Machine15,1534,1541,After Job10 Step 2
Job10,4,Machine9,1541,1558,After Job10 Step 3
Job10,5,Machine6,1558,1565,After Job10 Step 4
Job10,6,Machine2,1565,1570,After Job10 Step 5
Job10,7,Machine10,1570,1583,After Job10 Step 6
Job10,8,Machine11,1583,1589,After Job10 Step 7
Job10,9,Machine5,1589,1595,After Job10 Step 8
Job10,10,Machine0,1595,1613,After Job10 Step 9
Job10,11,Machine8,1613,1621,After Job10 Step 10
Job10,12,Machine1,1621,1631,After Job10 Step 11
Job10,13,Machine13,1631,1647,After Job10 Step 12
Job10,14,Machine4,1647,1662,After Job10 Step 13
Job10,15,Machine18,1662,1668,After Job10 Step 14
Job10,16,Machine17,1668,1677,After Job10 Step 15
Job10,17,Machine19,1677,1679,After Job10 Step 16
Job10,18,Machine3,1679,1681,After Job10 Step 17
Job10,19,Machine7,1681,1696,After Job10 Step 18
Job10,20,Machine14,1696,1711,After Job10 Step 19
Job11,1,Machine0,1613,1616,
Job11,2,Machine1,1631,1649,After Job11 Step 1
Job11,3,Machine7,1696,1706,After Job11 Step 2
Job11,4,Machine4,1706,1709,After Job11 Step 3
Job11,5,Machine18,1709,1719,After Job11 Step 4
Job11,6,Machine10,1719,1726,After Job11 Step 5
Job11,7,Machine9,1726,1737,After Job11 Step 6
Job11,8,Machine15,1737,1751,After Job11 Step 7
Job11,9,Machine5,1751,1759,After Job11 Step 8
Job11,10,Machine19,1759,1765,After Job11 Step 9
Job11,11,Machine2,1765,1779,After Job11 Step 10
Job11,12,Machine17,1779,1781,After Job11 Step 11
Job11,13,Machine16,1781,1786,After Job11 Step 12
Job11,14,Machine13,1786,1787,After Job11 Step 13
Job11,15,Machine12,1787,1801,After Job11 Step 14
Job11,16,Machine3,1801,1811,After Job11 Step 15
Job11,17,Machine14,1811,1827,After Job11 Step 16
Job11,18,Machine6,1827,1847,After Job11 Step 17
Job11,19,Machine11,1847,1863,After Job11 Step 18
Job11,20,Machine8,1863,1876,After Job11 Step 19
Job12,1,Machine17,1781,1798,
Job12,2,Machine13,1798,1800,After Job12 Step 1
Job12,3,Machine11,1863,1877,After Job12 Step 2
Job12,4,Machine8,1877,1880,After Job12 Step 3
Job12,5,Machine14,1880,1885,After Job12 Step 4
Job12,6,Machine10,1885,1895,After Job12 Step 5
Job12,7,Machine5,1895,1899,After Job12 Step 6
Job12,8,Machine4,1899,1913,After Job12 Step 7
Job12,9,Machine12,1913,1918,After Job12 Step 8
Job12,10,Machine18,1918,1922,After Job12 Step 9
Job12,11,Machine9,1922,1938,After Job12 Step 10
Job12,12,Machine2,1938,1938,After Job12 Step 11
Job12,13,Machine7,1938,1958,After Job12 Step 12
Job12,14,Machine19,1958,1967,After Job12 Step 13
Job12,15,Machine0,1967,1967,After Job12 Step 14
Job12,16,Machine3,1967,1981,After Job12 Step 15
Job12,17,Machine1,1981,1993,After Job12 Step 16
Job12,18,Machine16,1993,1993,After Job12 Step 17
Job12,19,Machine6,1993,2003,After Job12 Step 18
Job12,20,Machine15,2003,2013,After Job12 Step 19
Job13,1,Machine17,1798,1803,
Job13,2,Machine8,1880,1885,After Job13 Step 1
Job13,3,Machine7,1958,1971,After Job13 Step 2
Job13,4,Machine9,1971,1976,After Job13 Step 3
Job13,5,Machine1,1993,2001,After Job13 Step 4
Job13,6,Machine4,2001,2004,After Job13 Step 5
Job13,7,Machine15,2013,2023,After Job13 Step 6
Job13,8,Machine14,2023,2037,After Job13 Step 7
Job13,9,Machine0,2037,2041,After Job13 Step 8
Job13,10,Machine10,2041,2045,After Job13 Step 9
Job13,11,Machine16,2045,2061,After Job13 Step 10
Job13,12,Machine19,2061,2070,After Job13 Step 11
Job13,13,Machine5,2070,2081,After Job13 Step 12
Job13,14,Machine13,2081,2083,After Job13 Step 13
Job13,15,Machine2,2083,2089,After Job13 Step 14
Job13,16,Machine11,2089,2098,After Job13 Step 15
Job13,17,Machine12,2098,2117,After Job13 Step 16
Job13,18,Machine6,2117,2122,After Job13 Step 17
Job13,19,Machine18,2122,2129,After Job13 Step 18
Job13,20,Machine3,2129,2144,After Job13 Step 19
Job14,1,Machine18,2129,2143,
Job14,2,Machine5,2143,2153,After Job14 Step 1
Job14,3,Machine4,2153,2171,After Job14 Step 2
Job14,4,Machine7,2171,2173,After Job14 Step 3
Job14,5,Machine13,2173,2188,After Job14 Step 4
Job14,6,Machine8,2188,2190,After Job14 Step 5
Job14,7,Machine16,2190,2200,After Job14 Step 6
Job14,8,Machine11,2200,2209,After Job14 Step 7
Job14,9,Machine3,2209,2218,After Job14 Step 8
Job14,10,Machine14,2218,2233,After Job14 Step 9
Job14,11,Machine15,2233,2248,After Job14 Step 10
Job14,12,Machine10,2248,2266,After Job14 Step 11
Job14,13,Machine9,2266,2281,After Job14 Step 12
Job14,14,Machine2,2281,2292,After Job14 Step 13
Job14,15,Machine12,2292,2306,After Job14 Step 14
Job14,16,Machine6,2306,2316,After Job14 Step 15
Job14,17,Machine19,2316,2333,After Job14 Step 16
Job14,18,Machine17,2333,2335,After Job14 Step 17
Job14,19,Machine1,2335,2351,After Job14 Step 18
Job14,20,Machine0,2351,2352,After Job14 Step 19
Job15,1,Machine16,2200,2218,
Job15,2,Machine12,2306,2311,After Job15 Step 1
Job15,3,Machine2,2311,2311,After Job15 Step 2
Job15,4,Machine15,2311,2314,After Job15 Step 3
Job15,5,Machine1,2351,2370,After Job15 Step 4
Job15,6,Machine9,2370,2372,After Job15 Step 5
Job15,7,Machine18,2372,2372,After Job15 Step 6
Job15,8,Machine7,2372,2382,After Job15 Step 7
Job15,9,Machine3,2382,2386,After Job15 Step 8
Job15,10,Machine5,2386,2395,After Job15 Step 9
Job15,11,Machine4,2395,2408,After Job15 Step 10
Job15,12,Machine6,2408,2420,After Job15 Step 11
Job15,13,Machine0,2420,2431,After Job15 Step 12
Job15,14,Machine8,2431,2440,After Job15 Step 13
Job15,15,Machine13,2440,2452,After Job15 Step 14
Job15,16,Machine11,2452,2464,After Job15 Step 15
Job15,17,Machine19,2464,2482,After Job15 Step 16
Job15,18,Machine17,2482,2494,After Job15 Step 17
Job15,19,Machine14,2494,2500,After Job15 Step 18
Job15,20,Machine10,2500,2514,After Job15 Step 19
Job16,1,Machine0,2431,2440,
Job16,2,Machine9,2440,2460,After Job16 Step 1
