job,step,machine,start,end,precedence
Job1,1,Machine3,0,9,
Job1,2,Machine13,9,20,After Job1 Step 1
Job1,3,Machine5,20,37,After Job1 Step 2
Job1,4,Machine6,37,38,After Job1 Step 3
Job1,5,Machine8,38,63,After Job1 Step 4
Job1,6,Machine1,63,76,After Job1 Step 5
Job1,7,Machine18,76,94,After Job1 Step 6
Job1,8,Machine10,94,113,After Job1 Step 7
Job1,9,Machine12,113,136,After Job1 Step 8
Job1,10,Machine19,136,143,After Job1 Step 9
Job1,11,Machine0,143,161,After Job1 Step 10
Job1,12,Machine7,161,166,After Job1 Step 11
Job1,13,Machine11,166,176,After Job1 Step 12
Job1,14,Machine2,176,187,After Job1 Step 13
Job1,15,Machine16,187,206,After Job1 Step 14
Job1,16,Machine14,206,221,After Job1 Step 15
Job1,17,Machine17,221,228,After Job1 Step 16
Job1,18,Machine9,228,233,After Job1 Step 17
Job1,19,Machine15,233,246,After Job1 Step 18
Job1,20,Machine4,246,252,After Job1 Step 19
Job10,1,Machine17,1614,1626,
Job10,2,Machine18,1694,1712,After Job10 Step 1
Job10,3,Machine5,1712,1713,After Job10 Step 2
Job10,4,Machine16,1713,1728,After Job10 Step 3
Job10,5,Machine11,1728,1739,After Job10 Step 4
Job10,6,Machine4,1739,1756,After Job10 Step 5
Job10,7,Machine0,1756,1776,After Job10 Step 6
Job10,8,Machine3,1776,1792,After Job10 Step 7
Job10,9,Machine19,1792,1805,After Job10 Step 8
Job10,10,Machine13,1805,1816,After Job10 Step 9
Job10,11,Machine15,1816,1825,After Job10 Step 10
Job10,12,Machine1,1825,1839,After Job10 Step 11
Job10,13,Machine6,1839,1843,After Job10 Step 12
Job10,14,Machine14,1843,1843,After Job10 Step 13
Job10,15,Machine10,1843,1844,After Job10 Step 14
Job10,16,Machine12,1844,1867,After Job10 Step 15
Job10,17,Machine7,1867,1882,After Job10 Step 16
Job10,18,Machine9,1882,1888,After Job10 Step 17
Job10,19,Machine8,1888,1891,After Job10 Step 18
Job10,20,Machine2,1891,1892,After Job10 Step 19
Job11,1,Machine10,1844,1858,
Job11,2,Machine0,1858,1863,After Job11 Step 1
Job11,3,Machine11,1863,1880,After Job11 Step 2
Job11,4,Machine17,1880,1889,After Job11 Step 3
Job11,5,Machine16,1889,1898,After Job11 Step 4
Job11,6,Machine2,1898,1913,After Job11 Step 5
Job11,7,Machine5,1913,1927,After Job11 Step 6
Job11,8,Machine4,1927,1928,After Job11 Step 7
Job11,9,Machine1,1928,1940,After Job11 Step 8
Job11,10,Machine14,1940,1955,After Job11 Step 9
Job11,11,Machine9,1955,1974,After Job11 Step 10
Job11,12,Machine3,1974,1975,After Job11 Step 11
Job11,13,Machine7,1975,1993,After Job11 Step 12
Job11,14,Machine19,1993,2017,After Job11 Step 13
Job11,15,Machine8,2017,2022,After Job11 Step 14
Job11,16,Machine12,2022,2032,After Job11 Step 15
Job11,17,Machine6,2032,2036,After Job11 Step 16
Job11,18,Machine13,2036,2041,After Job11 Step 17
Job11,19,Machine15,2041,2050,After Job11 Step 18
Job11,20,Machine18,2050,2064,After Job11 Step 19
Job12,1,Machine12,2032,2042,
Job12,2,Machine0,2042,2047,After Job12 Step 1
Job12,3,Machine4,2047,2057,After Job12 Step 2
Job12,4,Machine17,2057,2062,After Job12 Step 3
Job12,5,Machine9,2062,2073,After Job12 Step 4
Job12,6,Machine15,2073,2074,After Job12 Step 5
Job12,7,Machine19,2074,2077,After Job12 Step 6
Job12,8,Machine14,2077,2092,After Job12 Step 7
Job12,9,Machine18,2092,2095,After Job12 Step 8
Job12,10,Machine1,2095,2096,After Job12 Step 9
Job12,11,Machine11,2096,2105,After Job12 Step 10
Job12,12,Machine3,2105,2112,After Job12 Step 11
Job12,13,Machine8,2112,2129,After Job12 Step 12
Job12,14,Machine7,2129,2147,After Job12 Step 13
Job12,15,Machine2,2147,2153,After Job12 Step 14
Job12,16,Machine16,2153,2171,After Job12 Step 15
Job12,17,Machine6,2171,2188,After Job12 Step 16
Job12,18,Machine13,2188,2196,After Job12 Step 17
Job12,19,Machine10,2196,2215,After Job12 Step 18
