job,step,machine,start,end,precedence
Job1,1,Machine10,0,12,
Job1,2,Machine0,12,22,After Job1 Step 1
Job1,3,Machine7,22,33,After Job1 Step 2
Job1,4,Machine14,33,54,After Job1 Step 3
Job1,5,Machine4,54,75,After Job1 Step 4
Job1,6,Machine16,75,84,After Job1 Step 5
Job1,7,Machine18,84,106,After Job1 Step 6
Job1,8,Machine17,106,113,After Job1 Step 7
Job1,9,Machine12,113,119,After Job1 Step 8
Job1,10,Machine11,119,136,After Job1 Step 9
Job1,11,Machine13,136,146,After Job1 Step 10
Job1,12,Machine3,146,168,After Job1 Step 11
Job1,13,Machine2,168,175,After Job1 Step 12
Job1,14,Machine1,175,176,After Job1 Step 13
Job1,15,Machine8,176,181,After Job1 Step 14
Job1,16,Machine19,181,187,After Job1 Step 15
Job1,17,Machine9,187,206,After Job1 Step 16
Job1,18,Machine15,206,218,After Job1 Step 17
Job1,19,Machine6,218,235,After Job1 Step 18
Job1,20,Machine5,235,247,After Job1 Step 19
Job10,1,Machine19,1726,1749,
Job10,2,Machine1,1749,1758,After Job10 Step 1
Job10,3,Machine14,1758,1764,After Job10 Step 2
Job10,4,Machine3,1764,1782,After Job10 Step 3
Job10,5,Machine13,1782,1802,After Job10 Step 4
Job10,6,Machine12,1802,1809,After Job10 Step 5
Job10,7,Machine0,1809,1830,After Job10 Step 6
Job10,8,Machine8,1830,1832,After Job10 Step 7
Job10,9,Machine7,1832,1842,After Job10 Step 8
Job10,10,Machine4,1842,1853,After Job10 Step 9
Job10,11,Machine17,1853,1865,After Job10 Step 10
Job10,12,Machine2,1865,1867,After Job10 Step 11
Job10,13,Machine10,1867,1879,After Job10 Step 12
Job10,14,Machine11,1879,1890,After Job10 Step 13
Job10,15,Machine9,1890,1911,After Job10 Step 14
Job10,16,Machine5,1911,1924,After Job10 Step 15
Job10,17,Machine16,1924,1944,After Job10 Step 16
Job10,18,Machine18,1944,1946,After Job10 Step 17
Job10,19,Machine6,1946,1960,After Job10 Step 18
Job10,20,Machine15,1960,1968,After Job10 Step 19
Job11,1,Machine10,1879,1891,
Job11,2,Machine1,1891,1911,After Job11 Step 1
Job11,3,Machine3,1911,1914,After Job11 Step 2
Job11,4,Machine4,1914,1934,After Job11 Step 3
Job11,5,Machine5,1934,1958,After Job11 Step 4
Job11,6,Machine8,1958,1978,After Job11 Step 5
Job11,7,Machine14,1978,1980,After Job11 Step 6
Job11,8,Machine2,1980,1997,After Job11 Step 7
Job11,9,Machine17,1997,2018,After Job11 Step 8
Job11,10,Machine11,2018,2031,After Job11 Step 9
Job11,11,Machine18,2031,2046,After Job11 Step 10
Job11,12,Machine15,2046,2068,After Job11 Step 11
Job11,13,Machine19,2068,2070,After Job11 Step 12
Job11,14,Machine13,2070,2073,After Job11 Step 13
Job11,15,Machine6,2073,2087,After Job11 Step 14
Job11,16,Machine12,2087,2102,After Job11 Step 15
Job11,17,Machine7,2102,2112,After Job11 Step 16
Job11,18,Machine16,2112,2112,After Job11 Step 17
Job11,19,Machine0,2112,2125,After Job11 Step 18
Job11,20,Machine9,2125,2135,After Job11 Step 19
Job12,1,Machine0,2125,2128,
Job12,2,Machine2,2128,2135,After Job12 Step 1
Job12,3,Machine11,2135,2135,After Job12 Step 2
Job12,4,Machine5,2135,2157,After Job12 Step 3
Job12,5,Machine12,2157,2161,After Job12 Step 4
Job12,6,Machine18,2161,2167,After Job12 Step 5
Job12,7,Machine19,2167,2183,After Job12 Step 6
Job12,8,Machine6,2183,2197,After Job12 Step 7
Job12,9,Machine3,2197,2208,After Job12 Step 8
Job12,10,Machine9,2208,2219,After Job12 Step 9
Job12,11,Machine16,2219,2232,After Job12 Step 10
Job12,12,Machine15,2232,2237,After Job12 Step 11
Job12,13,Machine7,2237,2252,After Job12 Step 12
Job12,14,Machine1,2252,2257,After Job12 Step 13
Job12,15,Machine14,2257,2272,After Job12 Step 14
Job12,16,Machine17,2272,2290,After Job12 Step 15
Job12,17,Machine8,2290,2309,After Job12 Step 16
Job12,18,Machine13,2309,2327,After Job12 Step 17
Job12,19,Machine4,2327,2349,After Job12 Step 18
Job12,20,Machine10,2349,2350,After Job12 Step 19
Job13,1,Machine5,2157,2169,
Job13,2,Machine16,2232,2235,After Job13 Step 1
Job13,3,Machine13,2327,2342,After Job13 Step 2
Job13,4,Machine11,2342,2364,After Job13 Step 3
Job13,5,Machine10,2364,2371,After Job13 Step 4
Job13,6,Machine17,2371,2389,After Job13 Step 5
Job13,7,Machine1,2389,2395,After Job13 Step 6
Job13,8,Machine18,2395,2416,After Job13 Step 7
Job13,9,Machine6,2416,2431,After Job13 Step 8
Job13,10,Machine9,2431,2439,After Job13 Step 9
Job13,11,Machine15,2439,2442,After Job13 Step 10
Job13,12,Machine4,2442,2454,After Job13 Step 11
Job13,13,Machine19,2454,2458,After Job13 Step 12
Job13,14,Machine0,2458,2467,After Job13 Step 13
Job13,15,Machine2,2467,2488,After Job13 Step 14
Job13,16,Machine8,2488,2488,After Job13 Step 15
Job13,17,Machine7,2488,2493,After Job13 Step 16
Job13,18,Machine12,2493,2497,After Job13 Step 17
Job13,19,Machine14,2497,2511,After Job13 Step 18
Job13,20,Machine3,2511,2513,After Job13 Step 19
Job14,1,Machine17,2389,2399,
Job14,2,Machine8,2488,2510,After Job14 Step 1
Job14,3,Machine18,2510,2534,After Job14 Step 2
Job14,4,Machine10,2534,2541,After Job14 Step 3
Job14,5,Machine14,2541,2560,After Job14 Step 4
Job14,6,Machine5,2560,2571,After Job14 Step 5
Job14,7,Machine7,2571,2578,After Job14 Step 6
Job14,8,Machine12,2578,2581,After Job14 Step 7
Job14,9,Machine13,2581,2592,After Job14 Step 8
Job14,10,Machine3,2592,2615,After Job14 Step 9
Job14,11,Machine0,2615,2615,After Job14 Step 10
Job14,12,Machine1,2615,2633,After Job14 Step 11
Job14,13,Machine11,2633,2635,After Job14 Step 12
Job14,14,Machine6,2635,2636,After Job14 Step 13
Job14,15,Machine15,2636,2648,After Job14 Step 14
Job14,16,Machine9,2648,2668,After Job14 Step 15
Job14,17,Machine16,2668,2676,After Job14 Step 16
Job14,18,Machine4,2676,2694,After Job14 Step 17
Job14,19,Machine19,2694,2701,After Job14 Step 18
Job14,20,Machine2,2701,2709,After Job14 Step 19
Job15,1,Machine17,2399,2411,
Job15,2,Machine8,2510,2534,After Job15 Step 1
Job15,3,Machine16,2676,2691,After Job15 Step 2
Job15,4,Machine14,2691,2701,After Job15 Step 3
Job15,5,Machine12,2701,2716,After Job15 Step 4
Job15,6,Machine3,2716,2718,After Job15 Step 5
Job15,7,Machine13,2718,2734,After Job15 Step 6
Job15,8,Machine9,2734,2751,After Job15 Step 7
Job15,9,Machine18,2751,2762,After Job15 Step 8
Job15,10,Machine15,2762,2776,After Job15 Step 9
Job15,11,Machine11,2776,2786,After Job15 Step 10
Job15,12,Machine19,2786,2790,After Job15 Step 11
Job15,13,Machine7,2790,2794,After Job15 Step 12
Job15,14,Machine6,2794,2811,After Job15 Step 13
Job15,15,Machine0,2811,2834,After Job15 Step 14
Job15,16,Machine10,2834,2849,After Job15 Step 15
Job15,17,Machine2,2849,2852,After Job15 Step 16
Job15,18,Machine4,2852,2856,After Job15 Step 17
Job15,19,Machine1,2856,2868,After Job15 Step 18
Job15,20,Machine5,2868,2871,After Job15 Step 19
Job16,1,Machine11,2786,2800,
Job16,2,Machine17,2800,2821,After Job16 Step 1
Job16,3,Machine15,2821,2823,After Job16 Step 2
Job16,4,Machine14,2823,2844,After Job16 Step 3
Job16,5,Machine16,2844,2868,After Job16 Step 4
Job16,6,Machine19,2868,2881,After Job16 Step 5
Job16,7,Machine6,2881,2900,After Job16 Step 6
Job16,8,Machine13,2900,2913,After Job16 Step 7
Job16,9,Machine5,2913,2934,After Job16 Step 8
Job16,10,Machine7,2934,2951,After Job16 Step 9
Job16,11,Machine2,2951,2961,After Job16 Step 10
Job16,12,Machine12,2961,2982,After Job16 Step 11
Job16,13,Machine18,2982,3003,After Job16 Step 12
Job16,14,Machine8,3003,3007,After Job16 Step 13
Job16,15,Machine0,3007,3018,After Job16 Step 14
Job16,16,Machine1,3018,3025,After Job16 Step 15
Job16,17,Machine3,3025,3040,After Job16 Step 16
Job16,18,Machine10,3040,3046,After Job16 Step 17
Job16,19,Machine4,3046,3047,After Job16 Step 18
Job16,20,Machine9,3047,3060,After Job16 Step 19
Job17,1,Machine2,2961,2968,
Job17,2,Machine13,2968,2986,After Job17 Step 1
Job17,3,Machine17,2986,2994,After Job17 Step 2
Job17,4,Machine0,3018,3026,After Job17 Step 3
Job17,5,Machine1,3026,3047,After Job17 Step 4
Job17,6,Machine10,3047,3047,After Job17 Step 5
Job17,7,Machine9,3060,3064,After Job17 Step 6
Job17,8,Machine19,3064,3068,After Job17 Step 7
Job17,9,Machine12,3068,3091,After Job17 Step 8
Job17,10,Machine14,3091,3115,After Job17 Step 9
Job17,11,Machine18,3115,3121,After Job17 Step 10
Job17,12,Machine4,3121,3131,After Job17 Step 11
Job17,13,Machine15,3131,3144,After Job17 Step 12
Job17,14,Machine6,3144,3159,After Job17 Step 13
Job17,15,Machine11,3159,3179,After Job17 Step 14
Job17,16,Machine8,3179,3198,After Job17 Step 15
Job17,17,Machine3,3198,3199,After Job17 Step 16
Job17,18,Machine5,3199,3207,After Job17 Step 17
Job17,19,Machine7,3207,3210,After Job17 Step 18
Job17,20,Machine16,3210,3212,After Job17 Step 19
Job18,1,Machine13,2986,2990,
Job18,2,Machine2,2990,2998,After Job18 Step 1
Job18,3,Machine16,3212,3224,After Job18 Step 2
Job18,4,Machine10,3224,3245,After Job18 Step 3
Job18,5,Machine15,3245,3270,After Job18 Step 4
Job18,6,Machine12,3270,3292,After Job18 Step 5
Job18,7,Machine7,3292,3312,After Job18 Step 6
Job18,8,Machine19,3312,3318,After Job18 Step 7
Job18,9,Machine6,3318,3319,After Job18 Step 8
Job18,10,Machine9,3319,3329,After Job18 Step 9
Job18,11,Machine4,3329,3335,After Job18 Step 10
Job18,12,Machine1,3335,3347,After Job18 Step 11
Job18,13,Machine14,3347,3349,After Job18 Step 12
Job18,14,Machine5,3349,3368,After Job18 Step 13
Job18,15,Machine17,3368,3390,After Job18 Step 14
Job18,16,Machine18,3390,3393,After Job18 Step 15
Job18,17,Machine8,3393,3408,After Job18 Step 16
Job18,18,Machine3,3408,3422,After Job18 Step 17
Job18,19,Machine11,3422,3445,After Job18 Step 18
Job18,20,Machine0,3445,3454,After Job18 Step 19
Job19,1,Machine0,3454,3461,
Job19,2,Machine14,3461,3468,After Job19 Step 1
Job19,3,Machine8,3468,3472,After Job19 Step 2
Job19,4,Machine3,3472,3496,After Job19 Step 3
Job19,5,Machine18,3496,3516,After Job19 Step 4
