job,step,machine,start,end,precedence
Job1,1,Machine5,1,7,
Job1,2,Machine11,11,31,After Job1 Step 1
Job1,3,Machine13,32,40,After Job1 Step 2
Job1,4,Machine1,43,54,After Job1 Step 3
Job1,5,Machine14,58,81,After Job1 Step 4
Job1,6,Machine2,83,100,After Job1 Step 5
Job1,7,Machine10,102,115,After Job1 Step 6
Job1,8,Machine6,118,143,After Job1 Step 7
Job1,9,Machine9,147,159,After Job1 Step 8
Job1,10,Machine12,159,161,After Job1 Step 9
Job1,11,Machine4,164,177,After Job1 Step 10
Job1,12,Machine8,181,200,After Job1 Step 11
Job1,13,Machine3,201,211,After Job1 Step 12
Job1,14,Machine0,213,219,After Job1 Step 13
Job1,15,Machine7,220,223,After Job1 Step 14
Job10,1,Machine14,82,100,
Job10,2,Machine11,105,125,After Job10 Step 1
Job10,3,Machine4,177,180,After Job10 Step 2
Job10,4,Machine1,183,203,After Job10 Step 3
Job10,5,Machine0,222,232,After Job10 Step 4
Job10,6,Machine3,234,244,After Job10 Step 5
Job10,7,Machine5,249,267,After Job10 Step 6
Job10,8,Machine2,267,272,After Job10 Step 7
Job10,9,Machine13,274,281,After Job10 Step 8
Job10,10,Machine9,289,313,After Job10 Step 9
Job10,11,Machine7,314,321,After Job10 Step 10
Job10,12,Machine8,326,342,After Job10 Step 11
Job10,13,Machine12,347,367,After Job10 Step 12
Job10,14,Machine6,374,402,After Job10 Step 13
Job10,15,Machine10,406,418,After Job10 Step 14
Job11,1,Machine7,326,354,
Job11,2,Machine3,359,374,After Job11 Step 1
Job11,3,Machine0,376,385,After Job11 Step 2
Job11,4,Machine4,385,392,After Job11 Step 3
Job11,5,Machine6,404,421,After Job11 Step 4
Job11,6,Machine11,423,447,After Job11 Step 5
Job11,7,Machine2,451,470,After Job11 Step 6
Job11,8,Machine5,472,475,After Job11 Step 7
Job11,9,Machine8,477,484,After Job11 Step 8
Job11,10,Machine1,487,510,After Job11 Step 9
Job11,11,Machine13,516,543,After Job11 Step 10
Job11,12,Machine9,545,550,After Job11 Step 11
Job11,13,Machine12,550,554,After Job11 Step 12
Job11,14,Machine10,555,562,After Job11 Step 13
Job11,15,Machine14,563,565,After Job11 Step 14
Job12,1,Machine2,474,493,
Job12,2,Machine11,497,517,After Job12 Step 1
Job12,3,Machine12,555,560,After Job12 Step 2
Job12,4,Machine9,564,578,After Job12 Step 3
Job12,5,Machine13,581,601,After Job12 Step 4
Job12,6,Machine14,602,612,After Job12 Step 5
Job12,7,Machine0,619,647,After Job12 Step 6
Job12,8,Machine1,648,653,After Job12 Step 7
Job12,9,Machine4,653,658,After Job12 Step 8
Job12,10,Machine7,663,690,After Job12 Step 9
Job12,11,Machine3,694,720,After Job12 Step 10
Job12,12,Machine5,725,749,After Job12 Step 11
Job12,13,Machine6,751,757,After Job12 Step 12
Job12,14,Machine8,760,771,After Job12 Step 13
Job12,15,Machine10,777,801,After Job12 Step 14
Job13,1,Machine9,583,612,
Job13,2,Machine4,659,664,After Job13 Step 1
Job13,3,Machine10,804,831,After Job13 Step 2
Job13,4,Machine11,834,858,After Job13 Step 3
Job13,5,Machine14,860,862,After Job13 Step 4
Job13,6,Machine0,866,888,After Job13 Step 5
Job13,7,Machine3,889,894,After Job13 Step 6
Job13,8,Machine12,894,898,After Job13 Step 7
Job13,9,Machine7,900,916,After Job13 Step 8
Job13,10,Machine5,919,937,After Job13 Step 9
Job13,11,Machine1,941,956,After Job13 Step 10
Job13,12,Machine13,957,971,After Job13 Step 11
Job13,13,Machine6,974,1001,After Job13 Step 12
Job13,14,Machine2,1002,1009,After Job13 Step 13
Job13,15,Machine8,1009,1011,After Job13 Step 14
Job14,1,Machine4,667,681,
Job14,2,Machine7,922,947,After Job14 Step 1
Job14,3,Machine13,971,975,After Job14 Step 2
Job14,4,Machine1,983,1011,After Job14 Step 3
Job14,5,Machine6,1012,1015,After Job14 Step 4
Job14,6,Machine10,1021,1048,After Job14 Step 5
Job14,7,Machine0,1050,1065,After Job14 Step 6
Job14,8,Machine5,1068,1078,After Job14 Step 7
Job14,9,Machine2,1078,1082,After Job14 Step 8
Job14,10,Machine12,1088,1112,After Job14 Step 9
Job14,11,Machine9,1115,1131,After Job14 Step 10
Job14,12,Machine8,1131,1134,After Job14 Step 11
Job14,13,Machine14,1138,1160,After Job14 Step 12
Job14,14,Machine11,1162,1171,After Job14 Step 13
Job14,15,Machine3,1174,1188,After Job14 Step 14
Job15,1,Machine2,1083,1089,
Job15,2,Machine5,1093,1110,After Job15 Step 1
Job15,3,Machine13,1115,1133,After Job15 Step 2
Job15,4,Machine6,1135,1149,After Job15 Step 3
Job15,5,Machine11,1173,1188,After Job15 Step 4
Job15,6,Machine9,1190,1193,After Job15 Step 5
Job15,7,Machine0,1197,1221,After Job15 Step 6
Job15,8,Machine10,1224,1242,After Job15 Step 7
Job15,9,Machine8,1245,1275,After Job15 Step 8
Job15,10,Machine4,1282,1308,After Job15 Step 9
Job15,11,Machine12,1308,1310,After Job15 Step 10
Job15,12,Machine1,1311,1317,After Job15 Step 11
Job15,13,Machine14,1318,1323,After Job15 Step 12
Job15,14,Machine3,1329,1356,After Job15 Step 13
Job15,15,Machine7,1363,1393,After Job15 Step 14
Job16,1,Machine8,1276,1277,
Job16,2,Machine5,1280,1304,After Job16 Step 1
Job16,3,Machine3,1358,1371,After Job16 Step 2
Job16,4,Machine1,1372,1375,After Job16 Step 3
Job16,5,Machine13,1377,1389,After Job16 Step 4
Job16,6,Machine7,1395,1410,After Job16 Step 5
Job16,7,Machine2,1413,1437,After Job16 Step 6
Job16,8,Machine0,1437,1438,After Job16 Step 7
Job16,9,Machine10,1440,1447,After Job16 Step 8
Job16,10,Machine12,1452,1481,After Job16 Step 9
Job16,11,Machine9,1484,1497,After Job16 Step 10
Job16,12,Machine11,1498,1502,After Job16 Step 11
Job16,13,Machine14,1503,1514,After Job16 Step 12
Job16,14,Machine6,1516,1532,After Job16 Step 13
Job16,15,Machine4,1535,1541,After Job16 Step 14
Job17,1,Machine12,1481,1485,
Job17,2,Machine9,1497,1497,After Job17 Step 1
Job17,3,Machine4,1544,1554,After Job17 Step 2
Job17,4,Machine0,1555,1568,After Job17 Step 3
Job17,5,Machine11,1568,1569,After Job17 Step 4
Job17,6,Machine7,1573,1592,After Job17 Step 5
Job17,7,Machine3,1596,1615,After Job17 Step 6
Job17,8,Machine10,1616,1625,After Job17 Step 7
Job17,9,Machine1,1629,1648,After Job17 Step 8
Job17,10,Machine6,1650,1668,After Job17 Step 9
Job17,11,Machine8,1668,1669,After Job17 Step 10
Job17,12,Machine5,1671,1676,After Job17 Step 11
Job17,13,Machine14,1679,1707,After Job17 Step 12
Job17,14,Machine2,1710,1725,After Job17 Step 13
Job17,15,Machine13,1728,1740,After Job17 Step 14
Job18,1,Machine5,1677,1678,
Job18,2,Machine8,1685,1706,After Job18 Step 1
Job18,3,Machine10,1709,1731,After Job18 Step 2
Job18,4,Machine6,1737,1756,After Job18 Step 3
Job18,5,Machine0,1757,1771,After Job18 Step 4
Job18,6,Machine1,1772,1783,After Job18 Step 5
Job18,7,Machine3,1789,1808,After Job18 Step 6
Job18,8,Machine2,1810,1823,After Job18 Step 7
Job18,9,Machine9,1830,1857,After Job18 Step 8
Job18,10,Machine11,1858,1867,After Job18 Step 9
Job18,11,Machine4,1871,1893,After Job18 Step 10
Job18,12,Machine7,1896,1910,After Job18 Step 11
Job18,13,Machine13,1912,1918,After Job18 Step 12
Job18,14,Machine14,1918,1924,After Job18 Step 13
Job18,15,Machine12,1928,1956,After Job18 Step 14
Job19,1,Machine7,1918,1943,
Job19,2,Machine4,1946,1957,After Job19 Step 1
Job19,3,Machine10,1957,1961,After Job19 Step 2
Job19,4,Machine14,1966,1986,After Job19 Step 3
Job19,5,Machine13,1988,1995,After Job19 Step 4
Job19,6,Machine11,1995,1998,After Job19 Step 5
Job19,7,Machine12,1999,2003,After Job19 Step 6
Job19,8,Machine9,2008,2025,After Job19 Step 7
Job19,9,Machine6,2026,2035,After Job19 Step 8
Job19,10,Machine5,2039,2056,After Job19 Step 9
Job19,11,Machine0,2058,2064,After Job19 Step 10
Job19,12,Machine3,2065,2069,After Job19 Step 11
Job19,13,Machine2,2069,2071,After Job19 Step 12
Job19,14,Machine8,2077,2102,After Job19 Step 13
Job19,15,Machine1,2110,2137,After Job19 Step 14
Job2,1,Machine8,2103,2107,
Job2,2,Machine10,2110,2121,After Job2 Step 1
Job2,3,Machine2,2125,2139,After Job2 Step 2
Job2,4,Machine12,2143,2160,After Job2 Step 3
Job2,5,Machine5,2162,2170,After Job2 Step 4
Job2,6,Machine4,2177,2205,After Job2 Step 5
