job,step,machine,start,end,precedence
Job1,1,Machine8,0,25,
Job1,2,Machine10,25,29,After Job1 Step 1
Job1,3,Machine3,29,43,After Job1 Step 2
Job1,4,Machine2,43,49,After Job1 Step 3
Job1,5,Machine4,49,64,After Job1 Step 4
Job1,6,Machine0,64,73,After Job1 Step 5
Job1,7,Machine12,73,83,After Job1 Step 6
Job1,8,Machine7,83,96,After Job1 Step 7
Job1,9,Machine11,96,103,After Job1 Step 8
Job1,10,Machine13,103,112,After Job1 Step 9
Job1,11,Machine5,112,138,After Job1 Step 10
Job1,12,Machine1,138,157,After Job1 Step 11
Job1,13,Machine9,157,168,After Job1 Step 12
Job1,14,Machine6,168,189,After Job1 Step 13
Job1,15,Machine14,189,195,After Job1 Step 14
Job10,1,Machine5,1452,1454,
Job10,2,Machine3,1454,1461,After Job10 Step 1
Job10,3,Machine12,1486,1510,After Job10 Step 2
Job10,4,Machine6,1510,1528,After Job10 Step 3
Job10,5,Machine14,1528,1530,After Job10 Step 4
Job10,6,Machine7,1530,1539,After Job10 Step 5
Job10,7,Machine1,1540,1558,After Job10 Step 6
Job10,8,Machine0,1558,1561,After Job10 Step 7
Job10,9,Machine8,1561,1563,After Job10 Step 8
Job10,10,Machine13,1563,1579,After Job10 Step 9
Job10,11,Machine4,1579,1599,After Job10 Step 10
Job10,12,Machine10,1599,1613,After Job10 Step 11
Job10,13,Machine2,1613,1624,After Job10 Step 12
Job10,14,Machine9,1624,1647,After Job10 Step 13
Job10,15,Machine11,1647,1655,After Job10 Step 14
Job11,1,Machine3,1461,1486,
Job11,2,Machine12,1510,1512,After Job11 Step 1
Job11,3,Machine7,1539,1547,After Job11 Step 2
Job11,4,Machine9,1647,1659,After Job11 Step 3
Job11,5,Machine6,1659,1685,After Job11 Step 4
Job11,6,Machine11,1685,1690,After Job11 Step 5
Job11,7,Machine1,1690,1697,After Job11 Step 6
Job11,8,Machine5,1697,1699,After Job11 Step 7
Job11,9,Machine14,1699,1704,After Job11 Step 8
Job11,10,Machine13,1704,1723,After Job11 Step 9
Job11,11,Machine8,1723,1723,After Job11 Step 10
Job11,12,Machine10,1723,1739,After Job11 Step 11
Job11,13,Machine4,1739,1752,After Job11 Step 12
Job11,14,Machine0,1752,1762,After Job11 Step 13
Job11,15,Machine2,1762,1773,After Job11 Step 14
Job12,1,Machine12,1512,1524,
Job12,2,Machine10,1739,1766,After Job12 Step 1
Job12,3,Machine0,1766,1773,After Job12 Step 2
Job12,4,Machine14,1773,1796,After Job12 Step 3
Job12,5,Machine9,1796,1821,After Job12 Step 4
Job12,6,Machine11,1821,1835,After Job12 Step 5
Job12,7,Machine5,1835,1843,After Job12 Step 6
Job12,8,Machine3,1843,1851,After Job12 Step 7
Job12,9,Machine13,1851,1867,After Job12 Step 8
Job12,10,Machine7,1867,1890,After Job12 Step 9
Job12,11,Machine1,1890,1896,After Job12 Step 10
Job12,12,Machine8,1896,1900,After Job12 Step 11
Job12,13,Machine6,1900,1908,After Job12 Step 12
Job12,14,Machine2,1908,1922,After Job12 Step 13
Job12,15,Machine4,1922,1923,After Job12 Step 14
Job13,1,Machine8,1900,1902,
Job13,2,Machine7,1902,1928,After Job13 Step 1
Job13,3,Machine5,1928,1949,After Job13 Step 2
Job13,4,Machine2,1949,1956,After Job13 Step 3
Job13,5,Machine1,1956,1961,After Job13 Step 4
