job,step,machine,start,end,precedence
Job1,1,Machine11,0,12,
Job1,2,Machine12,12,29,After Job1 Step 1
Job1,3,Machine2,29,48,After Job1 Step 2
Job1,4,Machine3,48,69,After Job1 Step 3
Job1,5,Machine8,69,95,After Job1 Step 4
Job1,6,Machine0,95,117,After Job1 Step 5
Job1,7,Machine9,117,137,After Job1 Step 6
Job1,8,Machine6,137,139,After Job1 Step 7
Job1,9,Machine14,139,168,After Job1 Step 8
Job1,10,Machine5,168,181,After Job1 Step 9
Job1,11,Machine13,181,197,After Job1 Step 10
Job1,12,Machine1,197,200,After Job1 Step 11
Job1,13,Machine10,200,220,After Job1 Step 12
Job1,14,Machine4,220,234,After Job1 Step 13
Job1,15,Machine7,234,237,After Job1 Step 14
Job10,1,Machine14,1693,1717,
Job10,2,Machine7,1730,1731,After Job10 Step 1
Job10,3,Machine4,1731,1733,After Job10 Step 2
Job10,4,Machine9,1733,1761,After Job10 Step 3
Job10,5,Machine6,1761,1780,After Job10 Step 4
Job10,6,Machine0,1780,1785,After Job10 Step 5
Job10,7,Machine13,1785,1800,After Job10 Step 6
Job10,8,Machine8,1800,1825,After Job10 Step 7
Job10,9,Machine3,1825,1833,After Job10 Step 8
Job10,10,Machine10,1833,1852,After Job10 Step 9
Job10,11,Machine2,1852,1862,After Job10 Step 10
Job10,12,Machine1,1862,1876,After Job10 Step 11
Job10,13,Machine12,1876,1886,After Job10 Step 12
Job10,14,Machine11,1886,1902,After Job10 Step 13
Job10,15,Machine5,1902,1920,After Job10 Step 14
Job11,1,Machine4,1733,1747,
Job11,2,Machine3,1833,1862,After Job11 Step 1
Job11,3,Machine12,1886,1913,After Job11 Step 2
Job11,4,Machine8,1923,1937,After Job11 Step 3
Job11,5,Machine6,1937,1942,After Job11 Step 4
Job11,6,Machine0,1942,1956,After Job11 Step 5
Job11,7,Machine2,1956,1977,After Job11 Step 6
Job11,8,Machine7,1977,1990,After Job11 Step 7
Job11,9,Machine9,1990,2009,After Job11 Step 8
Job11,10,Machine5,2009,2018,After Job11 Step 9
Job11,11,Machine13,2018,2037,After Job11 Step 10
Job11,12,Machine11,2037,2065,After Job11 Step 11
Job11,13,Machine1,2065,2093,After Job11 Step 12
Job11,14,Machine10,2093,2101,After Job11 Step 13
