job,step,machine,start,end,precedence
Job1,1,Machine18,0,4,
Job1,2,Machine15,4,7,After Job1 Step 1
Job1,3,Machine17,7,21,After Job1 Step 2
Job1,4,Machine13,21,30,After Job1 Step 3
Job1,5,Machine19,30,36,After Job1 Step 4
Job1,6,Machine3,36,37,After Job1 Step 5
Job1,7,Machine6,37,52,After Job1 Step 6
Job1,8,Machine1,52,60,After Job1 Step 7
Job1,9,Machine16,60,73,After Job1 Step 8
Job1,10,Machine14,73,79,After Job1 Step 9
Job1,11,Machine0,79,81,After Job1 Step 10
Job1,12,Machine7,81,88,After Job1 Step 11
Job1,13,Machine9,88,92,After Job1 Step 12
Job1,14,Machine4,92,104,After Job1 Step 13
Job1,15,Machine12,104,107,After Job1 Step 14
Job1,16,Machine8,107,109,After Job1 Step 15
Job1,17,Machine2,109,124,After Job1 Step 16
Job1,18,Machine5,124,133,After Job1 Step 17
Job1,19,Machine10,133,144,After Job1 Step 18
Job1,20,Machine11,144,150,After Job1 Step 19
Job10,1,Machine7,1348,1353,
Job10,2,Machine16,1356,1358,After Job10 Step 1
Job10,3,Machine0,1358,1372,After Job10 Step 2
Job10,4,Machine4,1372,1379,After Job10 Step 3
Job10,5,Machine13,1379,1386,After Job10 Step 4
Job10,6,Machine19,1386,1395,After Job10 Step 5
Job10,7,Machine8,1395,1401,After Job10 Step 6
Job10,8,Machine17,1401,1408,After Job10 Step 7
Job10,9,Machine1,1408,1422,After Job10 Step 8
Job10,10,Machine10,1422,1423,After Job10 Step 9
Job10,11,Machine9,1423,1431,After Job10 Step 10
Job10,12,Machine15,1431,1445,After Job10 Step 11
Job10,13,Machine14,1445,1455,After Job10 Step 12
Job10,14,Machine3,1455,1460,After Job10 Step 13
Job10,15,Machine2,1460,1460,After Job10 Step 14
Job10,16,Machine18,1460,1475,After Job10 Step 15
Job10,17,Machine5,1475,1486,After Job10 Step 16
Job10,18,Machine12,1486,1497,After Job10 Step 17
Job10,19,Machine6,1497,1498,After Job10 Step 18
Job10,20,Machine11,1498,1506,After Job10 Step 19
Job11,1,Machine0,1372,1380,
Job11,2,Machine6,1498,1500,After Job11 Step 1
Job11,3,Machine17,1501,1501,After Job11 Step 2
Job11,4,Machine5,1501,1509,After Job11 Step 3
Job11,5,Machine4,1509,1515,After Job11 Step 4
Job11,6,Machine12,1515,1527,After Job11 Step 5
Job11,7,Machine1,1527,1534,After Job11 Step 6
Job11,8,Machine3,1534,1544,After Job11 Step 7
Job11,9,Machine14,1544,1555,After Job11 Step 8
Job11,10,Machine13,1555,1562,After Job11 Step 9
Job11,11,Machine19,1562,1571,After Job11 Step 10
Job11,12,Machine10,1571,1578,After Job11 Step 11
Job11,13,Machine15,1578,1585,After Job11 Step 12
Job11,14,Machine16,1585,1587,After Job11 Step 13
Job11,15,Machine18,1587,1588,After Job11 Step 14
Job11,16,Machine7,1588,1591,After Job11 Step 15
Job11,17,Machine8,1591,1602,After Job11 Step 16
Job11,18,Machine11,1602,1604,After Job11 Step 17
Job11,19,Machine9,1604,1612,After Job11 Step 18
Job11,20,Machine2,1612,1618,After Job11 Step 19
Job12,1,Machine16,1587,1591,
Job12,2,Machine15,1593,1608,After Job12 Step 1
Job12,3,Machine18,1608,1612,After Job12 Step 2
Job12,4,Machine14,1612,1624,After Job12 Step 3
Job12,5,Machine7,1624,1632,After Job12 Step 4
Job12,6,Machine19,1632,1635,After Job12 Step 5
Job12,7,Machine8,1635,1640,After Job12 Step 6
Job12,8,Machine3,1640,1653,After Job12 Step 7
