job,step,machine,start,end,precedence
Job1,1,Machine5,0,9,
Job1,2,Machine11,9,22,After Job1 Step 1
Job1,3,Machine3,22,33,After Job1 Step 2
Job1,4,Machine7,33,43,After Job1 Step 3
Job1,5,Machine13,43,61,After Job1 Step 4
Job1,6,Machine8,61,64,After Job1 Step 5
Job1,7,Machine2,64,85,After Job1 Step 6
Job1,8,Machine0,85,96,After Job1 Step 7
Job1,9,Machine4,96,107,After Job1 Step 8
Job1,10,Machine9,107,115,After Job1 Step 9
Job1,11,Machine12,115,117,After Job1 Step 10
Job1,12,Machine6,117,120,After Job1 Step 11
Job1,13,Machine10,120,138,After Job1 Step 12
Job1,14,Machine14,138,140,After Job1 Step 13
Job1,15,Machine1,140,148,After Job1 Step 14
Job10,1,Machine8,1134,1139,
Job10,2,Machine5,1139,1144,After Job10 Step 1
Job10,3,Machine3,1144,1145,After Job10 Step 2
Job10,4,Machine0,1145,1164,After Job10 Step 3
Job10,5,Machine9,1164,1167,After Job10 Step 4
Job10,6,Machine6,1167,1187,After Job10 Step 5
Job10,7,Machine13,1187,1193,After Job10 Step 6
Job10,8,Machine1,1193,1199,After Job10 Step 7
Job10,9,Machine11,1199,1217,After Job10 Step 8
Job10,10,Machine10,1217,1235,After Job10 Step 9
Job10,11,Machine4,1235,1244,After Job10 Step 10
Job10,12,Machine7,1244,1263,After Job10 Step 11
Job10,13,Machine2,1263,1280,After Job10 Step 12
Job10,14,Machine12,1280,1295,After Job10 Step 13
Job10,15,Machine14,1295,1296,After Job10 Step 14
Job11,1,Machine6,1187,1193,
Job11,2,Machine0,1193,1206,After Job11 Step 1
Job11,3,Machine12,1295,1295,After Job11 Step 2
Job11,4,Machine4,1295,1304,After Job11 Step 3
Job11,5,Machine11,1304,1319,After Job11 Step 4
Job11,6,Machine9,1319,1337,After Job11 Step 5
Job11,7,Machine5,1337,1343,After Job11 Step 6
Job11,8,Machine13,1343,1361,After Job11 Step 7
Job11,9,Machine2,1361,1379,After Job11 Step 8
Job11,10,Machine10,1379,1398,After Job11 Step 9
Job11,11,Machine14,1398,1405,After Job11 Step 10
Job11,12,Machine8,1405,1426,After Job11 Step 11
Job11,13,Machine3,1426,1428,After Job11 Step 12
Job11,14,Machine1,1428,1442,After Job11 Step 13
Job11,15,Machine7,1442,1457,After Job11 Step 14
Job12,1,Machine5,1343,1364,
Job12,2,Machine4,1364,1373,After Job12 Step 1
Job12,3,Machine9,1373,1394,After Job12 Step 2
Job12,4,Machine14,1405,1412,After Job12 Step 3
Job12,5,Machine11,1412,1421,After Job12 Step 4
Job12,6,Machine1,1442,1447,After Job12 Step 5
Job12,7,Machine7,1457,1475,After Job12 Step 6
Job12,8,Machine12,1475,1482,After Job12 Step 7
Job12,9,Machine6,1482,1485,After Job12 Step 8
Job12,10,Machine13,1485,1493,After Job12 Step 9
Job12,11,Machine0,1493,1497,After Job12 Step 10
Job12,12,Machine3,1497,1519,After Job12 Step 11
Job12,13,Machine8,1519,1531,After Job12 Step 12
Job12,14,Machine10,1531,1549,After Job12 Step 13
Job12,15,Machine2,1549,1566,After Job12 Step 14
Job13,1,Machine9,1394,1406,
Job13,2,Machine13,1493,1504,After Job13 Step 1
Job13,3,Machine7,1504,1524,After Job13 Step 2
Job13,4,Machine6,1524,1544,After Job13 Step 3
Job13,5,Machine2,1566,1586,After Job13 Step 4
Job13,6,Machine8,1586,1595,After Job13 Step 5
Job13,7,Machine0,1595,1614,After Job13 Step 6
Job13,8,Machine14,1614,1623,After Job13 Step 7
Job13,9,Machine1,1623,1636,After Job13 Step 8
