job,step,machine,start,end,precedence
Job1,1,Machine0,0,20,
Job1,2,Machine12,20,33,After Job1 Step 1
Job1,3,Machine9,33,37,After Job1 Step 2
Job1,4,Machine3,37,48,After Job1 Step 3
Job1,5,Machine2,48,50,After Job1 Step 4
Job1,6,Machine5,50,66,After Job1 Step 5
Job1,7,Machine8,66,67,After Job1 Step 6
Job1,8,Machine6,67,72,After Job1 Step 7
Job1,9,Machine11,72,88,After Job1 Step 8
Job1,10,Machine10,88,93,After Job1 Step 9
Job1,11,Machine1,93,109,After Job1 Step 10
Job1,12,Machine14,109,109,After Job1 Step 11
Job1,13,Machine4,109,112,After Job1 Step 12
Job1,14,Machine7,112,115,After Job1 Step 13
Job1,15,Machine13,115,119,After Job1 Step 14
Job10,1,Machine1,1021,1023,
Job10,2,Machine2,1041,1058,After Job10 Step 1
Job10,3,Machine11,1142,1147,After Job10 Step 2
Job10,4,Machine7,1147,1149,After Job10 Step 3
Job10,5,Machine0,1149,1149,After Job10 Step 4
Job10,6,Machine13,1170,1173,After Job10 Step 5
Job10,7,Machine8,1173,1175,After Job10 Step 6
Job10,8,Machine10,1175,1190,After Job10 Step 7
Job10,9,Machine12,1190,1197,After Job10 Step 8
Job10,10,Machine4,1197,1197,After Job10 Step 9
Job10,11,Machine6,1197,1215,After Job10 Step 10
Job10,12,Machine5,1215,1226,After Job10 Step 11
Job10,13,Machine14,1226,1236,After Job10 Step 12
Job10,14,Machine9,1236,1255,After Job10 Step 13
Job10,15,Machine3,1255,1260,After Job10 Step 14
Job11,1,Machine12,1197,1204,
Job11,2,Machine10,1204,1205,After Job11 Step 1
Job11,3,Machine13,1205,1222,After Job11 Step 2
Job11,4,Machine11,1222,1236,After Job11 Step 3
Job11,5,Machine4,1236,1241,After Job11 Step 4
Job11,6,Machine1,1241,1253,After Job11 Step 5
Job11,7,Machine0,1253,1254,After Job11 Step 6
Job11,8,Machine5,1254,1262,After Job11 Step 7
Job11,9,Machine3,1262,1279,After Job11 Step 8
Job11,10,Machine9,1279,1288,After Job11 Step 9
Job11,11,Machine2,1288,1304,After Job11 Step 10
Job11,12,Machine7,1304,1309,After Job11 Step 11
Job11,13,Machine8,1309,1314,After Job11 Step 12
Job11,14,Machine6,1314,1325,After Job11 Step 13
Job11,15,Machine14,1325,1331,After Job11 Step 14
Job12,1,Machine4,1241,1251,
Job12,2,Machine7,1309,1312,After Job12 Step 1
Job12,3,Machine9,1312,1316,After Job12 Step 2
Job12,4,Machine1,1316,1328,After Job12 Step 3
Job12,5,Machine14,1331,1340,After Job12 Step 4
Job12,6,Machine6,1340,1346,After Job12 Step 5
Job12,7,Machine12,1346,1355,After Job12 Step 6
Job12,8,Machine0,1355,1366,After Job12 Step 7
Job12,9,Machine8,1366,1374,After Job12 Step 8
Job12,10,Machine11,1374,1379,After Job12 Step 9
Job12,11,Machine2,1379,1395,After Job12 Step 10
Job12,12,Machine3,1395,1407,After Job12 Step 11
Job12,13,Machine5,1407,1410,After Job12 Step 12
Job12,14,Machine13,1410,1416,After Job12 Step 13
Job12,15,Machine10,1416,1423,After Job12 Step 14
Job13,1,Machine0,1366,1379,
Job13,2,Machine10,1423,1436,After Job13 Step 1
Job13,3,Machine9,1436,1442,After Job13 Step 2
Job13,4,Machine7,1442,1459,After Job13 Step 3
Job13,5,Machine12,1459,1470,After Job13 Step 4
Job13,6,Machine13,1470,1482,After Job13 Step 5
Job13,7,Machine3,1482,1494,After Job13 Step 6
Job13,8,Machine14,1494,1503,After Job13 Step 7
Job13,9,Machine11,1503,1520,After Job13 Step 8
Job13,10,Machine2,1520,1522,After Job13 Step 9
Job13,11,Machine1,1522,1529,After Job13 Step 10
Job13,12,Machine5,1529,1540,After Job13 Step 11
Job13,13,Machine4,1540,1548,After Job13 Step 12
Job13,14,Machine8,1548,1566,After Job13 Step 13
Job13,15,Machine6,1566,1573,After Job13 Step 14
Job14,1,Machine3,1494,1514,
Job14,2,Machine5,1540,1551,After Job14 Step 1
Job14,3,Machine13,1551,1563,After Job14 Step 2
Job14,4,Machine8,1566,1582,After Job14 Step 3
Job14,5,Machine7,1582,1589,After Job14 Step 4
Job14,6,Machine1,1589,1601,After Job14 Step 5
Job14,7,Machine0,1601,1619,After Job14 Step 6
Job14,8,Machine2,1619,1626,After Job14 Step 7
Job14,9,Machine10,1626,1629,After Job14 Step 8
Job14,10,Machine11,1629,1635,After Job14 Step 9
Job14,11,Machine9,1635,1636,After Job14 Step 10
Job14,12,Machine6,1636,1643,After Job14 Step 11
Job14,13,Machine4,1643,1662,After Job14 Step 12
Job14,14,Machine12,1662,1666,After Job14 Step 13
Job14,15,Machine14,1666,1684,After Job14 Step 14
Job15,1,Machine10,1629,1639,
Job15,2,Machine1,1639,1644,After Job15 Step 1
Job15,3,Machine5,1644,1665,After Job15 Step 2
Job15,4,Machine4,1665,1684,After Job15 Step 3
Job15,5,Machine8,1684,1685,After Job15 Step 4
Job15,6,Machine14,1685,1687,After Job15 Step 5
Job15,7,Machine11,1687,1687,After Job15 Step 6
Job15,8,Machine0,1687,1704,After Job15 Step 7
Job15,9,Machine6,1704,1715,After Job15 Step 8
Job15,10,Machine13,1715,1727,After Job15 Step 9
Job15,11,Machine3,1727,1741,After Job15 Step 10
Job15,12,Machine9,1741,1755,After Job15 Step 11
Job15,13,Machine12,1755,1773,After Job15 Step 12
Job15,14,Machine7,1773,1782,After Job15 Step 13
Job15,15,Machine2,1782,1798,After Job15 Step 14
