job,step,machine,start,end,precedence
Job1,1,Machine9,3,15,
Job1,2,Machine14,18,26,After Job1 Step 1
Job1,3,Machine4,27,28,After Job1 Step 2
Job1,4,Machine13,29,38,After Job1 Step 3
Job1,5,Machine10,39,49,After Job1 Step 4
Job1,6,Machine3,51,64,After Job1 Step 5
Job1,7,Machine7,66,76,After Job1 Step 6
Job1,8,Machine8,77,81,After Job1 Step 7
Job1,9,Machine0,85,99,After Job1 Step 8
Job1,10,Machine5,101,108,After Job1 Step 9
Job1,11,Machine1,108,115,After Job1 Step 10
Job1,12,Machine2,115,116,After Job1 Step 11
Job1,13,Machine12,119,132,After Job1 Step 12
Job1,14,Machine6,132,135,After Job1 Step 13
Job1,15,Machine11,137,148,After Job1 Step 14
Job10,1,Machine2,1081,1081,
Job10,2,Machine14,1090,1095,After Job10 Step 1
Job10,3,Machine3,1095,1098,After Job10 Step 2
Job10,4,Machine10,1099,1101,After Job10 Step 3
Job10,5,Machine6,1103,1112,After Job10 Step 4
Job10,6,Machine1,1113,1113,After Job10 Step 5
Job10,7,Machine0,1113,1114,After Job10 Step 6
Job10,8,Machine13,1116,1130,After Job10 Step 7
Job10,9,Machine11,1132,1141,After Job10 Step 8
Job10,10,Machine4,1142,1152,After Job10 Step 9
Job10,11,Machine5,1155,1166,After Job10 Step 10
Job10,12,Machine8,1168,1182,After Job10 Step 11
Job10,13,Machine7,1182,1185,After Job10 Step 12
Job10,14,Machine12,1186,1195,After Job10 Step 13
Job10,15,Machine9,1197,1202,After Job10 Step 14
Job11,1,Machine11,1142,1147,
Job11,2,Machine14,1149,1155,After Job11 Step 1
Job11,3,Machine13,1156,1165,After Job11 Step 2
Job11,4,Machine5,1167,1177,After Job11 Step 3
Job11,5,Machine4,1179,1190,After Job11 Step 4
Job11,6,Machine9,1203,1207,After Job11 Step 5
Job11,7,Machine1,1208,1216,After Job11 Step 6
Job11,8,Machine6,1217,1223,After Job11 Step 7
Job11,9,Machine12,1223,1229,After Job11 Step 8
Job11,10,Machine0,1230,1233,After Job11 Step 9
Job11,11,Machine2,1234,1235,After Job11 Step 10
Job11,12,Machine8,1236,1241,After Job11 Step 11
Job11,13,Machine10,1242,1250,After Job11 Step 12
Job11,14,Machine3,1251,1257,After Job11 Step 13
Job11,15,Machine7,1260,1274,After Job11 Step 14
Job12,1,Machine12,1230,1233,
Job12,2,Machine3,1258,1263,After Job12 Step 1
Job12,3,Machine10,1264,1269,After Job12 Step 2
Job12,4,Machine8,1269,1270,After Job12 Step 3
Job12,5,Machine4,1272,1276,After Job12 Step 4
Job12,6,Machine7,1278,1288,After Job12 Step 5
Job12,7,Machine13,1289,1292,After Job12 Step 6
Job12,8,Machine11,1292,1293,After Job12 Step 7
Job12,9,Machine14,1295,1304,After Job12 Step 8
Job12,10,Machine1,1306,1315,After Job12 Step 9
Job12,11,Machine2,1315,1321,After Job12 Step 10
Job12,12,Machine0,1322,1327,After Job12 Step 11
Job12,13,Machine5,1327,1328,After Job12 Step 12
Job12,14,Machine6,1329,1334,After Job12 Step 13
Job12,15,Machine9,1336,1349,After Job12 Step 14
Job13,1,Machine8,1271,1275,
Job13,2,Machine13,1293,1297,After Job13 Step 1
Job13,3,Machine5,1328,1329,After Job13 Step 2
Job13,4,Machine0,1330,1334,After Job13 Step 3
Job13,5,Machine11,1337,1346,After Job13 Step 4
Job13,6,Machine9,1351,1360,After Job13 Step 5
Job13,7,Machine4,1360,1364,After Job13 Step 6
Job13,8,Machine12,1366,1372,After Job13 Step 7
Job13,9,Machine1,1375,1386,After Job13 Step 8
Job13,10,Machine10,1386,1388,After Job13 Step 9
Job13,11,Machine6,1389,1395,After Job13 Step 10
Job13,12,Machine2,1397,1403,After Job13 Step 11
Job13,13,Machine7,1403,1403,After Job13 Step 12
Job13,14,Machine14,1403,1407,After Job13 Step 13
Job13,15,Machine3,1409,1417,After Job13 Step 14
Job14,1,Machine2,1403,1404,
Job14,2,Machine5,1407,1420,After Job14 Step 1
Job14,3,Machine4,1421,1425,After Job14 Step 2
Job14,4,Machine3,1426,1435,After Job14 Step 3
Job14,5,Machine9,1436,1445,After Job14 Step 4
Job14,6,Machine1,1446,1449,After Job14 Step 5
Job14,7,Machine11,1450,1453,After Job14 Step 6
Job14,8,Machine13,1454,1455,After Job14 Step 7
Job14,9,Machine7,1456,1467,After Job14 Step 8
Job14,10,Machine6,1470,1479,After Job14 Step 9
Job14,11,Machine10,1480,1488,After Job14 Step 10
Job14,12,Machine14,1490,1504,After Job14 Step 11
Job14,13,Machine0,1505,1510,After Job14 Step 12
Job14,14,Machine8,1512,1519,After Job14 Step 13
Job14,15,Machine12,1522,1532,After Job14 Step 14
Job15,1,Machine1,1450,1455,
