job,step,machine,start,end,precedence
Job1,1,Machine9,0,1,
Job1,2,Machine10,1,8,After Job1 Step 1
Job1,3,Machine3,8,8,After Job1 Step 2
Job1,4,Machine8,8,12,After Job1 Step 3
Job1,5,Machine5,12,15,After Job1 Step 4
Job1,6,Machine7,15,21,After Job1 Step 5
Job1,7,Machine4,21,26,After Job1 Step 6
Job1,8,Machine0,26,32,After Job1 Step 7
Job1,9,Machine12,32,33,After Job1 Step 8
Job1,10,Machine1,33,34,After Job1 Step 9
Job1,11,Machine13,34,38,After Job1 Step 10
Job1,12,Machine6,38,46,After Job1 Step 11
Job1,13,Machine11,46,51,After Job1 Step 12
Job1,14,Machine2,51,52,After Job1 Step 13
Job1,15,Machine14,52,55,After Job1 Step 14
Job10,1,Machine12,447,450,
Job10,2,Machine5,450,451,After Job10 Step 1
Job10,3,Machine4,451,451,After Job10 Step 2
Job10,4,Machine7,451,454,After Job10 Step 3
Job10,5,Machine3,454,462,After Job10 Step 4
Job10,6,Machine1,462,469,After Job10 Step 5
Job10,7,Machine11,469,477,After Job10 Step 6
Job10,8,Machine8,477,479,After Job10 Step 7
Job10,9,Machine14,479,485,After Job10 Step 8
Job10,10,Machine6,485,491,After Job10 Step 9
Job10,11,Machine9,491,499,After Job10 Step 10
Job10,12,Machine2,499,502,After Job10 Step 11
Job10,13,Machine10,502,505,After Job10 Step 12
Job10,14,Machine0,505,510,After Job10 Step 13
Job10,15,Machine13,510,511,After Job10 Step 14
Job11,1,Machine9,499,501,
Job11,2,Machine11,501,502,After Job11 Step 1
Job11,3,Machine8,502,508,After Job11 Step 2
Job11,4,Machine5,508,508,After Job11 Step 3
Job11,5,Machine4,508,515,After Job11 Step 4
Job11,6,Machine6,515,516,After Job11 Step 5
Job11,7,Machine2,516,520,After Job11 Step 6
Job11,8,Machine12,520,527,After Job11 Step 7
Job11,9,Machine14,527,530,After Job11 Step 8
Job11,10,Machine1,530,537,After Job11 Step 9
Job11,11,Machine10,537,542,After Job11 Step 10
Job11,12,Machine7,542,546,After Job11 Step 11
Job11,13,Machine0,546,554,After Job11 Step 12
Job11,14,Machine3,554,557,After Job11 Step 13
Job11,15,Machine13,557,557,After Job11 Step 14
Job12,1,Machine3,557,564,
Job12,2,Machine9,564,564,After Job12 Step 1
Job12,3,Machine7,564,572,After Job12 Step 2
Job12,4,Machine5,572,572,After Job12 Step 3
Job12,5,Machine4,572,577,After Job12 Step 4
Job12,6,Machine10,577,584,After Job12 Step 5
Job12,7,Machine2,584,584,After Job12 Step 6
Job12,8,Machine8,584,593,After Job12 Step 7
Job12,9,Machine14,593,596,After Job12 Step 8
Job12,10,Machine11,596,599,After Job12 Step 9
Job12,11,Machine12,599,606,After Job12 Step 10
Job12,12,Machine6,606,611,After Job12 Step 11
Job12,13,Machine13,611,615,After Job12 Step 12
