
==================================================
Processing dataset: TA51
==================================================

=== MAPLE Multi-Agent JSSP with TA51 ===
Using openai model
Dataset: /Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/applications/TA/TA51.txt
Jobs: 50, Machines: 95
==================================================

=== Results for TA51 ===
Timestamp: 2025-09-19 17:40:57

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job34 | 1 | Machine11 | 0-21 | None |
| Job1 | 1 | Machine14 | 0-79 | None |
| Job3 | 1 | Machine15 | 0-92 | None |
| Job43 | 1 | Machine22 | 0-38 | None |
| Job5 | 1 | Machine27 | 0-61 | None |
| Job37 | 1 | Machine32 | 0-65 | None |
| Job22 | 1 | Machine33 | 0-53 | None |
| Job33 | 1 | Machine34 | 0-66 | None |
| Job4 | 1 | Machine36 | 0-96 | None |
| Job10 | 1 | Machine41 | 0-3 | None |
| Job14 | 1 | Machine43 | 0-7 | None |
| Job6 | 1 | Machine44 | 0-66 | None |
| Job2 | 1 | Machine45 | 0-42 | None |
| Job17 | 1 | Machine46 | 0-50 | None |
| Job15 | 1 | Machine47 | 0-17 | None |
| Job9 | 1 | Machine49 | 0-41 | None |
| Job8 | 1 | Machine5 | 0-35 | None |
| Job7 | 1 | Machine51 | 0-48 | None |
| Job45 | 1 | Machine52 | 0-71 | None |
| Job16 | 1 | Machine54 | 0-49 | None |
| Job38 | 1 | Machine55 | 0-78 | None |
| Job27 | 1 | Machine6 | 0-89 | None |
| Job30 | 1 | Machine62 | 0-30 | None |
| Job13 | 1 | Machine63 | 0-67 | None |
| Job26 | 1 | Machine73 | 0-86 | None |
| Job19 | 1 | Machine75 | 0-6 | None |
| Job42 | 1 | Machine76 | 0-33 | None |
| Job25 | 1 | Machine78 | 0-21 | None |
| Job41 | 1 | Machine8 | 0-37 | None |
| Job12 | 1 | Machine80 | 0-4 | None |
| Job21 | 1 | Machine81 | 0-4 | None |
| Job24 | 1 | Machine82 | 0-70 | None |
| Job28 | 1 | Machine87 | 0-96 | None |
| Job36 | 1 | Machine88 | 0-36 | None |
| Job44 | 1 | Machine89 | 0-84 | None |
| Job50 | 1 | Machine9 | 0-58 | None |
| Job47 | 1 | Machine90 | 0-87 | None |
| Job46 | 1 | Machine91 | 0-45 | None |
| Job32 | 1 | Machine92 | 0-98 | None |
| Job29 | 1 | Machine95 | 0-16 | None |
| Job40 | 1 | Machine99 | 0-23 | None |
| Job21 | 2 | Machine29 | 4-100 | After Job21 Step 1 |
| Job39 | 1 | Machine81 | 4-47 | None |
| Job12 | 2 | Machine84 | 4-9 | After Job12 Step 1 |
| Job19 | 2 | Machine16 | 6-67 | After Job19 Step 1 |
| Job14 | 2 | Machine3 | 7-74 | After Job14 Step 1 |
| Job29 | 2 | Machine64 | 16-88 | After Job29 Step 1 |
| Job23 | 1 | Machine47 | 17-35 | None |
| Job34 | 2 | Machine42 | 21-91 | After Job34 Step 1 |
| Job30 | 2 | Machine99 | 30-97 | After Job30 Step 1 |
| Job42 | 2 | Machine37 | 33-114 | After Job42 Step 1 |
| Job10 | 2 | Machine5 | 35-65 | After Job10 Step 1 |
| Job36 | 2 | Machine13 | 36-101 | After Job36 Step 1 |
| Job43 | 2 | Machine21 | 38-63 | After Job43 Step 1 |
| Job20 | 1 | Machine49 | 41-112 | None |
| Job9 | 2 | Machine80 | 41-67 | After Job9 Step 1 |
| Job2 | 2 | Machine95 | 42-139 | After Job2 Step 1 |
| Job39 | 2 | Machine72 | 47-118 | After Job39 Step 1 |
| Job7 | 2 | Machine39 | 48-123 | After Job7 Step 1 |
| Job18 | 1 | Machine51 | 48-84 | None |
| Job16 | 2 | Machine67 | 49-100 | After Job16 Step 1 |
| Job17 | 2 | Machine74 | 50-115 | After Job17 Step 1 |
| Job11 | 1 | Machine27 | 61-69 | None |
| Job37 | 2 | Machine86 | 65-109 | After Job37 Step 1 |
| Job10 | 3 | Machine93 | 65-141 | After Job10 Step 2 |
| Job6 | 2 | Machine1 | 66-78 | After Job6 Step 1 |
| Job46 | 2 | Machine44 | 66-89 | After Job46 Step 1 |
| Job33 | 2 | Machine83 | 66-144 | After Job33 Step 1 |
| Job9 | 3 | Machine18 | 67-97 | After Job9 Step 2 |
| Job13 | 2 | Machine28 | 67-161 | After Job13 Step 1 |
| Job19 | 3 | Machine45 | 67-124 | After Job19 Step 2 |
| Job23 | 2 | Machine80 | 67-149 | After Job23 Step 1 |
| Job11 | 2 | Machine68 | 69-70 | After Job11 Step 1 |
| Job24 | 2 | Machine56 | 70-136 | After Job24 Step 1 |
| Job11 | 3 | Machine76 | 70-81 | After Job11 Step 2 |
| Job12 | 3 | Machine52 | 71-146 | After Job12 Step 2 |
| Job45 | 2 | Machine75 | 71-82 | After Job45 Step 1 |
| Job14 | 3 | Machine35 | 74-113 | After Job14 Step 2 |
| Job6 | 3 | Machine21 | 78-102 | After Job6 Step 2 |
| Job38 | 2 | Machine55 | 78-140 | After Job38 Step 1 |
