
==================================================
Processing dataset: abz09
==================================================

=== MAPLE Multi-Agent JSSP with abz09 ===
Using openai model
Dataset: /Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/applications/abzswvyn/abz09.txt
Jobs: 20, Machines: 15
==================================================

=== Results for abz09 ===
Timestamp: 2025-09-19 17:44:58

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job3 | 1 | Machine0 | 0-30 | None |
| Job2 | 1 | Machine1 | 0-35 | None |
| Job7 | 1 | Machine13 | 0-25 | None |
| Job12 | 1 | Machine14 | 0-34 | None |
| Job5 | 1 | Machine2 | 0-35 | None |
| Job10 | 1 | Machine4 | 0-27 | None |
| Job6 | 1 | Machine5 | 0-33 | None |
| Job1 | 1 | Machine6 | 0-14 | None |
| Job4 | 1 | Machine7 | 0-40 | None |
| Job16 | 1 | Machine8 | 0-15 | None |
| Job13 | 1 | Machine6 | 14-26 | None |
| Job11 | 1 | Machine13 | 25-50 | None |
| Job10 | 2 | Machine9 | 27-64 | After Job10 Step 1 |
| Job7 | 2 | Machine0 | 30-62 | After Job7 Step 1 |
| Job3 | 2 | Machine4 | 30-65 | After Job3 Step 1 |
| Job14 | 1 | Machine5 | 33-55 | None |
| Job19 | 1 | Machine14 | 34-60 | None |
| Job17 | 1 | Machine1 | 35-50 | None |
| Job8 | 1 | Machine2 | 35-51 | None |
| Job5 | 2 | Machine3 | 35-50 | After Job5 Step 1 |
| Job18 | 1 | Machine7 | 40-76 | None |
| Job20 | 1 | Machine1 | 50-86 | None |
| Job6 | 2 | Machine3 | 50-83 | After Job6 Step 1 |
| Job8 | 2 | Machine12 | 51-84 | After Job8 Step 1 |
| Job9 | 1 | Machine2 | 51-68 | None |
| Job15 | 1 | Machine5 | 55-82 | None |
| Job19 | 2 | Machine11 | 60-91 | After Job19 Step 1 |
| Job14 | 2 | Machine14 | 60-75 | After Job14 Step 1 |
| Job11 | 2 | Machine0 | 62-84 | After Job11 Step 1 |
| Job17 | 2 | Machine4 | 65-78 | After Job17 Step 1 |
| Job9 | 2 | Machine10 | 68-84 | After Job9 Step 1 |
| Job3 | 3 | Machine2 | 68-108 | After Job3 Step 2 |
| Job1 | 2 | Machine5 | 82-103 | After Job1 Step 1 |
| Job15 | 2 | Machine3 | 83-109 | After Job15 Step 1 |
| Job6 | 3 | Machine6 | 83-102 | After Job6 Step 2 |
| Job12 | 2 | Machine10 | 84-99 | After Job12 Step 1 |
| Job13 | 2 | Machine12 | 84-111 | After Job13 Step 1 |
| Job9 | 3 | Machine14 | 84-104 | After Job9 Step 2 |
| Job8 | 3 | Machine9 | 84-118 | After Job8 Step 2 |
| Job20 | 2 | Machine7 | 86-120 | After Job20 Step 1 |
| Job7 | 3 | Machine11 | 91-124 | After Job7 Step 2 |
| Job2 | 2 | Machine5 | 103-134 | After Job2 Step 1 |
| Job1 | 3 | Machine8 | 103-116 | After Job1 Step 2 |
| Job9 | 4 | Machine6 | 104-128 | After Job9 Step 3 |
| Job15 | 3 | Machine10 | 109-137 | After Job15 Step 2 |
| Job10 | 3 | Machine3 | 109-149 | After Job10 Step 2 |
| Job5 | 3 | Machine12 | 111-142 | After Job5 Step 2 |
| Job17 | 3 | Machine8 | 116-153 | After Job17 Step 2 |
| Job20 | 3 | Machine11 | 124-157 | After Job20 Step 2 |
| Job2 | 3 | Machine0 | 134-147 | After Job2 Step 2 |
| Job4 | 2 | Machine5 | 134-152 | After Job4 Step 1 |
| Job3 | 4 | Machine10 | 137-172 | After Job3 Step 3 |
| Job15 | 4 | Machine6 | 137-174 | After Job15 Step 3 |
| Job6 | 4 | Machine12 | 142-182 | After Job6 Step 3 |
| Job12 | 3 | Machine0 | 147-169 | After Job12 Step 2 |
| Job11 | 3 | Machine3 | 149-176 | After Job11 Step 2 |
| Job4 | 3 | Machine4 | 152-164 | After Job4 Step 2 |
| Job16 | 2 | Machine5 | 152-180 | After Job16 Step 1 |
| Job5 | 4 | Machine11 | 157-185 | After Job5 Step 3 |
| Job13 | 3 | Machine4 | 164-181 | After Job13 Step 2 |
| Job4 | 4 | Machine8 | 164-187 | After Job4 Step 3 |
| Job14 | 3 | Machine0 | 169-185 | After Job14 Step 2 |
| Job2 | 4 | Machine3 | 176-202 | After Job2 Step 3 |
| Job18 | 2 | Machine5 | 180-213 | After Job18 Step 1 |
| Job16 | 3 | Machine9 | 180-205 | After Job16 Step 2 |
| Job13 | 4 | Machine2 | 181-205 | After Job13 Step 3 |
| Job1 | 4 | Machine4 | 181-192 | After Job1 Step 3 |
| Job6 | 5 | Machine10 | 182-201 | After Job6 Step 4 |
| Job7 | 4 | Machine12 | 182-200 | After Job7 Step 3 |
| Job8 | 4 | Machine11 | 185-215 | After Job8 Step 3 |
| Job4 | 5 | Machine0 | 187-210 | After Job4 Step 4 |
| Job11 | 4 | Machine8 | 187-201 | After Job11 Step 3 |
| Job1 | 5 | Machine1 | 192-203 | After Job1 Step 4 |
