📂 Project Root: /Users/glin/Documents/GitHub/M-APPLE
🔍 Updated sys.path:
/Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/applications
/usr/local/Cellar/python@3.10/3.10.17/Frameworks/Python.framework/Versions/3.10/lib/python310.zip
/usr/local/Cellar/python@3.10/3.10.17/Frameworks/Python.framework/Versions/3.10/lib/python3.10
/usr/local/Cellar/python@3.10/3.10.17/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload
/usr/local/lib/python3.10/site-packages
/Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS
/Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/src
/Users/glin/Documents/GitHub/M-APPLE/src
✅ utils.logging imported successfully!
📂 Project Root: /Users/glin/Documents/GitHub/M-APPLE
🔍 Updated sys.path:
/Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/applications
/usr/local/Cellar/python@3.10/3.10.17/Frameworks/Python.framework/Versions/3.10/lib/python310.zip
/usr/local/Cellar/python@3.10/3.10.17/Frameworks/Python.framework/Versions/3.10/lib/python3.10
/usr/local/Cellar/python@3.10/3.10.17/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload
/usr/local/lib/python3.10/site-packages
/Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS
/Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/src
/Users/glin/Documents/GitHub/M-APPLE/src
/Users/glin/Documents/GitHub/M-APPLE/applications
/Users/glin/Documents/GitHub/M-APPLE/src
✅ tool_agent.tool imported successfully!
✅ utils.completions imported successfully!
✅ utils.extraction imported successfully!
✅ utils.llm_client imported successfully!
✅ multi_agent.crew imported successfully!
✅ planning_agent.react_agent imported successfully!
✅ tool_agent.tool imported successfully!
Loading dataset: rcmax_20_15_5
Loaded 20 jobs
Using 15 machines: ['Machine0', 'Machine1', 'Machine2', 'Machine3', 'Machine4', 'Machine5', 'Machine6', 'Machine7', 'Machine8', 'Machine9', 'Machine10', 'Machine11', 'Machine12', 'Machine13', 'Machine14']

================================================================================
JSSP Framework Comparison - Dataset: rcmax_20_15_5
================================================================================
Loaded 20 jobs from rcmax_20_15_5

🔄 Testing LangGraph...

============================================================
Running LangGraph on rcmax_20_15_5
============================================================
🤖 LangGraph Multi-Agent Coordination Started
📋 Problem: Job Shop Scheduling Problem (JSSP)
🔧 Job Scheduler Agent: Creating initial job schedules
🔍 DEBUG: Job Scheduler full response: It seems there was an error while trying to generate the schedule using SQL. Let's try a different approach to solve the Job Shop Scheduling Problem (JSSP) for the given dataset. I will attempt to create a schedule manually based on the provided job and machine constraints. 

### Job Scheduler Analysis:

1. **Job1:**
   - Step 1: Machine11, Start: 0, End: 84
   - Step 2: Machine12, Start: 84, End: 203
   - Step 3: Machine2, Start: 203, End: 331
   - Step 4: Machine3, Start: 331, End: 475
   - Step 5: Machine8, Start: 475, End: 652
   - Step 6: Machine0, Start: 652, End: 803
   - Step 7: Machine9, Start: 803, End: 941
   - Step 8: Machine6, Start: 941, End: 957
   - Step 9: Machine14, Start: 957, End: 1152
   - Step 10: Machine5, Start: 1152, End: 1245
   - Step 11: Machine13, Start: 1245, End: 1352
   - Step 12: Machine1, Start: 1352, End: 1374
   - Step 13: Machine10, Start: 1374, End: 1511
   - Step 14: Machine4, Start: 1511, End: 1607
   - Step 15: Machine7, Start: 1607, End: 1628

2. **Job2:**
   - Step 1: Machine14, Start: 0, End: 95
   - Step 2: Machine0, Start: 95, End: 186
   - Step 3: Machine8, Start: 186, End: 339
   - Step 4: Machine6, Start: 339, End: 448
   - Step 5: Machine2, Start: 448, End: 630
   - Step 6: Machine10, Start: 630, End: 677
   - Step 7: Machine7, Start: 677, End: 775
   - Step 8: Machine11, Start: 775, End: 829
   - Step 9: Machine4, Start: 829, End: 988
   - Step 10: Machine9, Start: 988, End: 1111
   - Step 11: Machine13, Start: 1111, End: 1116
   - Step 12: Machine12, Start: 1116, End: 1121
   - Step 13: Machine5, Start: 1121, End: 1262
   - Step 14: Machine1, Start: 1262, End: 1341
   - Step 15: Machine3, Start: 1341, End: 1501

3. **Job3:**
   - Step 1: Machine13, Start: 0, End: 91
   - Step 2: Machine3, Start: 91, End: 153
   - Step 3: Machine4, Start: 153, End: 326
   - Step 4: Machine11, Start: 326, End: 393
   - Step 5: Machine0, Start: 393, End: 529
   - Step 6: Machine10, Start: 529, End: 669
   - Step 7: Machine12, Start: 669, End: 784
   - Step 8: Machine2, Start: 784, End: 967
   - Step 9: Machine14, Start: 967, End: 1153
   - Step 10: Machine5, Start: 1153, End: 1159
   - Step 11: Machine1, Start: 1159, End: 1349
   - Step 12: Machine6, Start: 1349, End: 1522
   - Step 13: Machine9, Start: 1522, End: 1661
   - Step 14: Machine8, Start: 1661, End: 1689
   - Step 15: Machine7, Start: 1689, End: 1872

4. **Job4:**
   - Step 1: Machine13, Start: 91, End: 210
   - Step 2: Machine5, Start: 210, End: 398
   - Step 3: Machine3, Start: 398, End: 441
   - Step 4: Machine8, Start: 441, End: 459
   - Step 5: Machine12, Start: 459, End: 482
   - Step 6: Machine14, Start: 482, End: 540
   - Step 7: Machine2, Start: 540, End: 676
   - Step 8: Machine0, Start: 676, End: 730
   - Step 9: Machine6, Start: 730, End: 924
   - Step 10: Machine1, Start: 924, End: 959
   - Step 11: Machine4, Start: 959, End: 999
   - Step 12: Machine7, Start: 999, End: 1031
