COMPLETE TERMINAL OUTPUT
==================================================

Dataset: TA02
Jobs: 15
Timestamp: 2025-09-24T01:04:37.518463


============================================================
FRAMEWORK: CrewAI
============================================================

Status: ✅ SUCCESS
Makespan: None
Execution Time: 46.60s

------------------------------------------------------------
COMPLETE FRAMEWORK OUTPUT:
------------------------------------------------------------
╭──────────────────────────────── 🤖 Agent Started ─────────────────────────────────╮
│                                                                                   │
│  Agent: JSSP Supervisor                                                           │
│                                                                                   │
│  Task:                                                                            │
│          Job Shop Scheduling Problem (JSSP) - Dataset: TA02                       │
│                                                                                   │
│          Problem Description:                                                     │
│          - Number of jobs: 15                                                     │
│          - Each job has multiple operations that must be performed in sequence    │
│          - Each operation requires a specific machine and has a duration          │
│          - Each machine can only process one operation at a time                  │
│          - Goal: Find the minimum makespan (total completion time)                │
│                                                                                   │
│          Job Specifications:                                                      │
│                                                                                   │
│  Job1:                                                                            │
│    Step 1: Machine Machine86, Duration 60                                         │
│    Step 2: Machine Machine10, Duration 59                                         │
│    Step 3: Machine Machine65, Duration 94                                         │
│    Step 4: Machine Machine71, Duration 25                                         │
│    Step 5: Machine Machine98, Duration 49                                         │
│    Step 6: Machine Machine43, Duration 8                                          │
│    Step 7: Machine Machine90, Duration 21                                         │
│  Job2:                                                                            │
│    Step 1: Machine Machine68, Duration 28                                         │
│    Step 2: Machine Machine38, Duration 36                                         │
│    Step 3: Machine Machine93, Duration 35                                         │
│    Step 4: Machine Machine37, Duration 28                                         │
│    Step 5: Machine Machine62, Duration 86                                         │
│    Step 6: Machine Machine65, Duration 11                                         │
│    Step 7: Machine Machine20, Duration 82                                         │
│  Job3:                                                                            │
│    Step 1: Machine Machine33, Duration 67                                         │
│    Step 2: Machine Machine96, Duration 91                                         │
│    Step 3: Machine Machine83, Duration 81                                         │
│    Step 4: Machine Machine60, Duration 88                                         │
│    Step 5: Machine Machine20, Duration 62                                         │
│    Step 6: Machine Machine22, Duration 79                                         │
│    Step 7: Machine Machine38, Duration 40                                         │
│  Job4:                                                                            │
│    Step 1: Machine Machine13, Duration 14                                         │
│    Step 2: Machine Machine73, Duration 88                                         │
│    Step 3: Machine Machine24, Duration 16                                         │
│    Step 4: Machine Machine78, Duration 70                                         │
│    Step 5: Machine Machine53, Duration 68                                         │
│    Step 6: Machine Machine73, Duration 90                                         │
│    Step 7: Machine Machine58, Duration 7                                          │
│  Job5:                                                                            │
│    Step 1: Machine Machine93, Duration 52                                         │
│    Step 2: Machine Machine63, Duration 13                                         │
│    Step 3: Machine Machine19, Duration 41                                         │
│    Step 4: Machine Machine71, Duration 59                                         │
│    Step 5: Machine Machine19, Duration 60                                         │
│    Step 6: Machine Machine85, Duration 99                                         │
│    Step 7: Machine Machine73, Duration 95                                         │
│  Job6:                                                                            │
│    Step 1: Machine Machine62, Duration 60                                         │
│    Step 2: Machine Machine93, Duration 16                                         │
│    Step 3: Machine Machine10, Duration 72                                         │
│    Step 4: Machine Machine88, Duration 69                                         │
│    Step 5: Machine Machine58, Duration 41                                         │
│    Step 6: Machine Machine46, Duration 63                                         │
│    Step 7: Machine Machine76, Duration 83                                         │
│  Job7:                                                                            │
│    Step 1: Machine Machine50, Duration 68                                         │
│    Step 2: Machine Machine90, Duration 34                                         │
│    Step 3: Machine Machine44, Duration 5                                          │
│    Step 4: Machine Machine8, Duration 25                                          │
│    Step 5: Machine Machine70, Duration 53                                         │
│    Step 6: Machine Machine78, Duration 92                                         │
│    Step 7: Machine Machine62, Duration 85                                         │
│  Job8:                                                                            │
│    Step 1: Machine Machine60, Duration 64                                         │
│    Step 2: Machine Machine92, Duration 44                                         │
│    Step 3: Machine Machine63, Duration 91                                         │
│    Step 4: Machine Machine21, Duration 1                                          │
│    Step 5: Machine Machine96, Duration 19                                         │
│    Step 6: Machine Machine59, Duration 12                                         │
│    Step 7: Machine Machine41, Duration 11                                         │
│  Job9:                                                                            │
│    Step 1: Machine Machine93, Duration 46                                         │
│    Step 2: Machine Machine51, Duration 37                                         │
│    Step 3: Machine Machine91, Duration 90                                         │
│    Step 4: Machine Machine63, Duration 40                                         │
│    Step 5: Machine Machine68, Duration 13                                         │
│    Step 6: Machine Machine16, Duration 83                                         │
│    Step 7: Machine Machine49, Duration 24                                         │
│  Job10:                                                                           │
│    Step 1: Machine Machine5, Duration 35                                          │
│    Step 2: Machine Machine21, Duration 14                                         │
│    Step 3: Machine Machine66, Duration 3                                          │
│    Step 4: Machine Machine6, Duration 98                                          │
│    Step 5: Machine Machine63, Duration 64                                         │
│    Step 6: Machine Machine76, Duration 94                                         │
│    Step 7: Machine Machine17, Duration 62                                         │
│  Job11:                                                                           │
│    Step 1: Machine Machine35, Duration 42                                         │
│    Step 2: Machine Machine62, Duration 68                                         │
│    Step 3: Machine Machine73, Duration 27                                         │
│    Step 4: Machine Machine52, Duration 39                                         │
│    Step 5: Machine Machine41, Duration 25                                         │
│    Step 6: Machine Machine9, Duration 34                                          │
│    Step 7: Machine Machine50, Duration 41                                         │
