JSSP FRAMEWORK COMPARISON RESULTS
==================================================

Dataset: TA61
Jobs: 50
Timestamp: 2025-09-24T01:44:08.994685

FRAMEWORK PERFORMANCE SUMMARY
----------------------------------------
LangGraph: ✅ Makespan=1278, Schedule_Ops=48, Time=200.85s, Status=Success


DETAILED AGENT PROMPTS AND OUTPUTS
==================================================

🔍 LangGraph Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  system_prompt: You are a Job Scheduler Agent using LangGraph workflow. Analyze job requirements and create initial schedules for all jobs.
  query: 
        Job Shop Scheduling Problem (JSSP) - Dataset: TA61
        
        Problem Description:
        - Number of jobs: 50
        - Each job has multiple operations that must be performed in sequence
        - Each operation requires a specific machine and has a duration
        - Each machine can only process one operation at a time
        - Goal: Find the minimum makespan (total completion time)
        
        Job Specifications:
        
Job1:
  Step 1: Machine Machine48, Duration 40
  Step 2: Machine Machine54, Duration 71
  Step 3: Machine Machine52, Duration 70
  Step 4: Machine Machine41, Duration 76
  Step 5: Machine Machine52, Duration 24
  Step 6: Machine Machine5, Duration 43
  Step 7: Machine Machine68, Duration 10
  Step 8: Machine Machine49, Duration 9
  Step 9: Machine Machine81, Duration 30
  Step 10: Machine Machine93, Duration 17
Job2:
  Step 1: Machine Machine85, Duration 18
  Step 2: Machine Machine54, Duration 42
  Step 3: Machine Machine41, Duration 71
  Step 4: Machine Machine68, Duration 82
  Step 5: Machine Machine54, Duration 49
  Step 6: Machine Machine21, Duration 1
  Step 7: Machine Machine58, Duration 1
  Step 8: Machine Machine69, Duration 58
  Step 9: Machine Machine40, Duration 59
  Step 10: Machine Machine66, Duration 29
Job3:
  Step 1: Machine Machine33, Duration 34
  Step 2: Machine Machine77, Duration 42
  Step 3: Machine Machine95, Duration 2
  Step 4: Machine Machine71, Duration 73
  Step 5: Machine Machine19, Duration 25
  Step 6: Machine Machine45, Duration 88
  Step 7: Machine Machine19, Duration 40
  Step 8: Machine Machine42, Duration 17
  Step 9: Machine Machine81, Duration 72
  Step 10: Machine Machine70, Duration 67
Job4:
  Step 1: Machine Machine51, Duration 41
  Step 2: Machine Machine74, Duration 97
  Step 3: Machine Machine26, Duration 4
  Step 4: Machine Machine25, Duration 12
  Step 5: Machine Machine17, Duration 76
  Step 6: Machine Machine6, Duration 79
  Step 7: Machine Machine49, Duration 39
  Step 8: Machine Machine1, Duration 27
  Step 9: Machine Machine44, Duration 75
  Step 10: Machine Machine1, Duration 18
Job5:
  Step 1: Machine Machine22, Duration 99
  Step 2: Machine Machine7, Duration 7
  Step 3: Machine Machine72, Duration 24
  Step 4: Machine Machine19, Duration 81
  Step 5: Machine Machine23, Duration 72
  Step 6: Machine Machine50, Duration 95
  Step 7: Machine Machine31, Duration 67
  Step 8: Machine Machine67, Duration 22
  Step 9: Machine Machine12, Duration 28
  Step 10: Machine Machine68, Duration 88
Job6:
  Step 1: Machine Machine52, Duration 51
  Step 2: Machine Machine44, Duration 38
  Step 3: Machine Machine64, Duration 11
  Step 4: Machine Machine62, Duration 20
  Step 5: Machine Machine54, Duration 15
  Step 6: Machine Machine83, Duration 79
  Step 7: Machine Machine55, Duration 48
  Step 8: Machine Machine38, Duration 37
  Step 9: Machine Machine42, Duration 81
  Step 10: Machine Machine89, Duration 60
Job7:
  Step 1: Machine Machine82, Duration 43
  Step 2: Machine Machine57, Duration 1
  Step 3: Machine Machine89, Duration 11
  Step 4: Machine Machine41, Duration 50
  Step 5: Machine Machine68, Duration 2
  Step 6: Machine Machine4, Duration 65
  Step 7: Machine Machine20, Duration 56
  Step 8: Machine Machine46, Duration 36
  Step 9: Machine Machine33, Duration 56
  Step 10: Machine Machine13, Duration 50
Job8:
  Step 1: Machine Machine45, Duration 11
