COMPLETE TERMINAL OUTPUT
==================================================

Dataset: abz07
Jobs: 20
Timestamp: 2025-09-24T02:11:42.738885


============================================================
FRAMEWORK: CrewAI
============================================================

Status: ✅ SUCCESS
Makespan: None
Execution Time: 291.72s

------------------------------------------------------------
COMPLETE FRAMEWORK OUTPUT:
------------------------------------------------------------
╭──────────────────────────────── 🤖 Agent Started ─────────────────────────────────╮
│                                                                                   │
│  Agent: JSSP Supervisor                                                           │
│                                                                                   │
│  Task:                                                                            │
│          Job Shop Scheduling Problem (JSSP) - Dataset: abz07                      │
│                                                                                   │
│          Problem Description:                                                     │
│          - Number of jobs: 20                                                     │
│          - Each job has multiple operations that must be performed in sequence    │
│          - Each operation requires a specific machine and has a duration          │
│          - Each machine can only process one operation at a time                  │
│          - Goal: Find the minimum makespan (total completion time)                │
│                                                                                   │
│          Job Specifications:                                                      │
│                                                                                   │
│  Job1:                                                                            │
│    Step 1: Machine Machine2, Duration 24                                          │
│    Step 2: Machine Machine3, Duration 12                                          │
│    Step 3: Machine Machine9, Duration 17                                          │
│    Step 4: Machine Machine4, Duration 27                                          │
│    Step 5: Machine Machine0, Duration 21                                          │
│    Step 6: Machine Machine6, Duration 25                                          │
│    Step 7: Machine Machine8, Duration 27                                          │
│    Step 8: Machine Machine7, Duration 26                                          │
│    Step 9: Machine Machine1, Duration 30                                          │
│    Step 10: Machine Machine5, Duration 31                                         │
│    Step 11: Machine Machine11, Duration 18                                        │
│    Step 12: Machine Machine14, Duration 16                                        │
│    Step 13: Machine Machine13, Duration 39                                        │
│    Step 14: Machine Machine10, Duration 19                                        │
│    Step 15: Machine Machine12, Duration 26                                        │
│  Job2:                                                                            │
│    Step 1: Machine Machine6, Duration 30                                          │
│    Step 2: Machine Machine3, Duration 15                                          │
│    Step 3: Machine Machine12, Duration 20                                         │
│    Step 4: Machine Machine11, Duration 19                                         │
│    Step 5: Machine Machine1, Duration 24                                          │
│    Step 6: Machine Machine13, Duration 15                                         │
│    Step 7: Machine Machine10, Duration 28                                         │
│    Step 8: Machine Machine2, Duration 36                                          │
│    Step 9: Machine Machine5, Duration 26                                          │
│    Step 10: Machine Machine7, Duration 15                                         │
│    Step 11: Machine Machine0, Duration 11                                         │
│    Step 12: Machine Machine8, Duration 23                                         │
│    Step 13: Machine Machine14, Duration 20                                        │
│    Step 14: Machine Machine9, Duration 26                                         │
│    Step 15: Machine Machine4, Duration 28                                         │
│  Job3:                                                                            │
│    Step 1: Machine Machine6, Duration 35                                          │
│    Step 2: Machine Machine0, Duration 22                                          │
│    Step 3: Machine Machine13, Duration 23                                         │
│    Step 4: Machine Machine7, Duration 32                                          │
│    Step 5: Machine Machine2, Duration 20                                          │
│    Step 6: Machine Machine3, Duration 12                                          │
│    Step 7: Machine Machine12, Duration 19                                         │
│    Step 8: Machine Machine10, Duration 23                                         │
│    Step 9: Machine Machine9, Duration 17                                          │
│    Step 10: Machine Machine1, Duration 14                                         │
│    Step 11: Machine Machine5, Duration 16                                         │
│    Step 12: Machine Machine11, Duration 29                                        │
│    Step 13: Machine Machine8, Duration 16                                         │
│    Step 14: Machine Machine4, Duration 22                                         │
│    Step 15: Machine Machine14, Duration 22                                        │
│  Job4:                                                                            │
│    Step 1: Machine Machine9, Duration 20                                          │
│    Step 2: Machine Machine6, Duration 29                                          │
│    Step 3: Machine Machine1, Duration 19                                          │
│    Step 4: Machine Machine7, Duration 14                                          │
│    Step 5: Machine Machine12, Duration 33                                         │
│    Step 6: Machine Machine4, Duration 30                                          │
│    Step 7: Machine Machine0, Duration 32                                          │
│    Step 8: Machine Machine5, Duration 21                                          │
│    Step 9: Machine Machine11, Duration 29                                         │
│    Step 10: Machine Machine10, Duration 24                                        │
│    Step 11: Machine Machine14, Duration 25                                        │
│    Step 12: Machine Machine2, Duration 29                                         │
│    Step 13: Machine Machine3, Duration 13                                         │
│    Step 14: Machine Machine8, Duration 20                                         │
│    Step 15: Machine Machine13, Duration 18                                        │
│  Job5:                                                                            │
│    Step 1: Machine Machine11, Duration 23                                         │
│    Step 2: Machine Machine13, Duration 20                                         │
│    Step 3: Machine Machine1, Duration 28                                          │
│    Step 4: Machine Machine6, Duration 32                                          │
│    Step 5: Machine Machine7, Duration 16                                          │
│    Step 6: Machine Machine5, Duration 18                                          │
│    Step 7: Machine Machine8, Duration 24                                          │
│    Step 8: Machine Machine9, Duration 23                                          │
│    Step 9: Machine Machine3, Duration 24                                          │
│    Step 10: Machine Machine10, Duration 34                                        │
│    Step 11: Machine Machine2, Duration 24                                         │
│    Step 12: Machine Machine0, Duration 24                                         │
│    Step 13: Machine Machine14, Duration 28                                        │
│    Step 14: Machine Machine12, Duration 15                                        │
│    Step 15: Machine Machine4, Duration 18                                         │
│  Job6:                                                                            │
│    Step 1: Machine Machine8, Duration 24                                          │
│    Step 2: Machine Machine11, Duration 19                                         │
│    Step 3: Machine Machine14, Duration 21                                         │
│    Step 4: Machine Machine1, Duration 33                                          │
│    Step 5: Machine Machine7, Duration 34                                          │
