COMPLETE TERMINAL OUTPUT
==================================================

Dataset: abz08
Jobs: 20
Timestamp: 2025-09-24T02:26:38.770353


============================================================
FRAMEWORK: CrewAI
============================================================

Status: ✅ SUCCESS
Makespan: 3
Execution Time: 56.67s

------------------------------------------------------------
COMPLETE FRAMEWORK OUTPUT:
------------------------------------------------------------
╭──────────────────────────────── 🤖 Agent Started ─────────────────────────────────╮
│                                                                                   │
│  Agent: JSSP Supervisor                                                           │
│                                                                                   │
│  Task:                                                                            │
│          Job Shop Scheduling Problem (JSSP) - Dataset: abz08                      │
│                                                                                   │
│          Problem Description:                                                     │
│          - Number of jobs: 20                                                     │
│          - Each job has multiple operations that must be performed in sequence    │
│          - Each operation requires a specific machine and has a duration          │
│          - Each machine can only process one operation at a time                  │
│          - Goal: Find the minimum makespan (total completion time)                │
│                                                                                   │
│          Job Specifications:                                                      │
│                                                                                   │
│  Job1:                                                                            │
│    Step 1: Machine Machine0, Duration 19                                          │
│    Step 2: Machine Machine9, Duration 33                                          │
│    Step 3: Machine Machine2, Duration 32                                          │
│    Step 4: Machine Machine13, Duration 18                                         │
│    Step 5: Machine Machine10, Duration 39                                         │
│    Step 6: Machine Machine8, Duration 34                                          │
│    Step 7: Machine Machine6, Duration 25                                          │
│    Step 8: Machine Machine4, Duration 36                                          │
│    Step 9: Machine Machine11, Duration 40                                         │
│    Step 10: Machine Machine12, Duration 33                                        │
│    Step 11: Machine Machine1, Duration 31                                         │
│    Step 12: Machine Machine14, Duration 30                                        │
│    Step 13: Machine Machine3, Duration 34                                         │
│    Step 14: Machine Machine5, Duration 26                                         │
│    Step 15: Machine Machine7, Duration 13                                         │
│  Job2:                                                                            │
│    Step 1: Machine Machine9, Duration 11                                          │
│    Step 2: Machine Machine10, Duration 22                                         │
│    Step 3: Machine Machine14, Duration 19                                         │
│    Step 4: Machine Machine5, Duration 12                                          │
│    Step 5: Machine Machine4, Duration 25                                          │
│    Step 6: Machine Machine6, Duration 38                                          │
│    Step 7: Machine Machine0, Duration 29                                          │
│    Step 8: Machine Machine7, Duration 39                                          │
│    Step 9: Machine Machine13, Duration 19                                         │
│    Step 10: Machine Machine11, Duration 22                                        │
│    Step 11: Machine Machine1, Duration 23                                         │
│    Step 12: Machine Machine3, Duration 20                                         │
│    Step 13: Machine Machine2, Duration 40                                         │
│    Step 14: Machine Machine12, Duration 19                                        │
│    Step 15: Machine Machine8, Duration 26                                         │
│  Job3:                                                                            │
│    Step 1: Machine Machine3, Duration 25                                          │
│    Step 2: Machine Machine8, Duration 17                                          │
│    Step 3: Machine Machine11, Duration 24                                         │
│    Step 4: Machine Machine13, Duration 40                                         │
│    Step 5: Machine Machine10, Duration 32                                         │
│    Step 6: Machine Machine14, Duration 16                                         │
│    Step 7: Machine Machine5, Duration 39                                          │
│    Step 8: Machine Machine9, Duration 19                                          │
│    Step 9: Machine Machine0, Duration 24                                          │
│    Step 10: Machine Machine1, Duration 39                                         │
│    Step 11: Machine Machine4, Duration 17                                         │
│    Step 12: Machine Machine2, Duration 35                                         │
│    Step 13: Machine Machine7, Duration 38                                         │
│    Step 14: Machine Machine6, Duration 20                                         │
│    Step 15: Machine Machine12, Duration 31                                        │
│  Job4:                                                                            │
│    Step 1: Machine Machine14, Duration 22                                         │
│    Step 2: Machine Machine3, Duration 36                                          │
│    Step 3: Machine Machine2, Duration 34                                          │
│    Step 4: Machine Machine12, Duration 17                                         │
│    Step 5: Machine Machine4, Duration 30                                          │
│    Step 6: Machine Machine13, Duration 12                                         │
│    Step 7: Machine Machine1, Duration 13                                          │
│    Step 8: Machine Machine6, Duration 25                                          │
│    Step 9: Machine Machine9, Duration 12                                          │
│    Step 10: Machine Machine7, Duration 18                                         │
│    Step 11: Machine Machine10, Duration 31                                        │
│    Step 12: Machine Machine0, Duration 39                                         │
│    Step 13: Machine Machine5, Duration 40                                         │
│    Step 14: Machine Machine8, Duration 26                                         │
│    Step 15: Machine Machine11, Duration 37                                        │
│  Job5:                                                                            │
│    Step 1: Machine Machine12, Duration 32                                         │
│    Step 2: Machine Machine14, Duration 15                                         │
│    Step 3: Machine Machine1, Duration 35                                          │
│    Step 4: Machine Machine7, Duration 13                                          │
│    Step 5: Machine Machine8, Duration 32                                          │
│    Step 6: Machine Machine11, Duration 23                                         │
│    Step 7: Machine Machine6, Duration 22                                          │
│    Step 8: Machine Machine4, Duration 21                                          │
│    Step 9: Machine Machine0, Duration 38                                          │
│    Step 10: Machine Machine2, Duration 38                                         │
│    Step 11: Machine Machine3, Duration 40                                         │
│    Step 12: Machine Machine10, Duration 31                                        │
│    Step 13: Machine Machine5, Duration 11                                         │
│    Step 14: Machine Machine13, Duration 37                                        │
│    Step 15: Machine Machine9, Duration 16                                         │
│  Job6:                                                                            │
│    Step 1: Machine Machine10, Duration 23                                         │
│    Step 2: Machine Machine12, Duration 38                                         │
│    Step 3: Machine Machine8, Duration 11                                          │
│    Step 4: Machine Machine14, Duration 27                                         │
│    Step 5: Machine Machine9, Duration 11                                          │
