COMPLETE TERMINAL OUTPUT
==================================================

Dataset: rcmax_50_15_2
Jobs: 50
Timestamp: 2025-09-24T00:17:38.466237


============================================================
FRAMEWORK: CrewAI
============================================================

Status: ✅ SUCCESS
Makespan: None
Execution Time: 183.57s

------------------------------------------------------------
COMPLETE FRAMEWORK OUTPUT:
------------------------------------------------------------
╭──────────────────────────────── 🤖 Agent Started ─────────────────────────────────╮
│                                                                                   │
│  Agent: JSSP Supervisor                                                           │
│                                                                                   │
│  Task:                                                                            │
│          Job Shop Scheduling Problem (JSSP) - Dataset: rcmax_50_15_2              │
│                                                                                   │
│          Problem Description:                                                     │
│          - Number of jobs: 50                                                     │
│          - Each job has multiple operations that must be performed in sequence    │
│          - Each operation requires a specific machine and has a duration          │
│          - Each machine can only process one operation at a time                  │
│          - Goal: Find the minimum makespan (total completion time)                │
│                                                                                   │
│          Job Specifications:                                                      │
│                                                                                   │
│  Job1:                                                                            │
│    Step 1: Machine Machine0, Duration 128                                         │
│    Step 2: Machine Machine8, Duration 120                                         │
│    Step 3: Machine Machine7, Duration 13                                          │
│    Step 4: Machine Machine9, Duration 45                                          │
│    Step 5: Machine Machine10, Duration 74                                         │
│    Step 6: Machine Machine11, Duration 185                                        │
│    Step 7: Machine Machine5, Duration 122                                         │
│    Step 8: Machine Machine3, Duration 195                                         │
│    Step 9: Machine Machine14, Duration 69                                         │
│    Step 10: Machine Machine1, Duration 127                                        │
│    Step 11: Machine Machine12, Duration 57                                        │
│    Step 12: Machine Machine13, Duration 104                                       │
│    Step 13: Machine Machine2, Duration 196                                        │
│    Step 14: Machine Machine6, Duration 156                                        │
│    Step 15: Machine Machine4, Duration 158                                        │
│  Job2:                                                                            │
│    Step 1: Machine Machine9, Duration 118                                         │
│    Step 2: Machine Machine14, Duration 35                                         │
│    Step 3: Machine Machine8, Duration 68                                          │
│    Step 4: Machine Machine3, Duration 168                                         │
│    Step 5: Machine Machine4, Duration 35                                          │
│    Step 6: Machine Machine7, Duration 6                                           │
│    Step 7: Machine Machine11, Duration 166                                        │
│    Step 8: Machine Machine0, Duration 133                                         │
│    Step 9: Machine Machine5, Duration 70                                          │
│    Step 10: Machine Machine1, Duration 13                                         │
│    Step 11: Machine Machine12, Duration 26                                        │
│    Step 12: Machine Machine2, Duration 86                                         │
│    Step 13: Machine Machine10, Duration 147                                       │
│    Step 14: Machine Machine6, Duration 66                                         │
│    Step 15: Machine Machine13, Duration 31                                        │
│  Job3:                                                                            │
│    Step 1: Machine Machine7, Duration 148                                         │
│    Step 2: Machine Machine1, Duration 52                                          │
│    Step 3: Machine Machine0, Duration 78                                          │
│    Step 4: Machine Machine12, Duration 108                                        │
│    Step 5: Machine Machine8, Duration 178                                         │
│    Step 6: Machine Machine11, Duration 88                                         │
│    Step 7: Machine Machine4, Duration 57                                          │
│    Step 8: Machine Machine2, Duration 68                                          │
│    Step 9: Machine Machine13, Duration 98                                         │
│    Step 10: Machine Machine10, Duration 15                                        │
│    Step 11: Machine Machine3, Duration 120                                        │
│    Step 12: Machine Machine5, Duration 192                                        │
│    Step 13: Machine Machine14, Duration 35                                        │
│    Step 14: Machine Machine6, Duration 1                                          │
│    Step 15: Machine Machine9, Duration 164                                        │
│  Job4:                                                                            │
│    Step 1: Machine Machine1, Duration 33                                          │
│    Step 2: Machine Machine12, Duration 49                                         │
│    Step 3: Machine Machine8, Duration 72                                          │
│    Step 4: Machine Machine14, Duration 120                                        │
│    Step 5: Machine Machine3, Duration 90                                          │
│    Step 6: Machine Machine10, Duration 50                                         │
│    Step 7: Machine Machine0, Duration 101                                         │
│    Step 8: Machine Machine13, Duration 21                                         │
│    Step 9: Machine Machine6, Duration 78                                          │
│    Step 10: Machine Machine2, Duration 135                                        │
│    Step 11: Machine Machine7, Duration 160                                        │
│    Step 12: Machine Machine4, Duration 55                                         │
│    Step 13: Machine Machine9, Duration 85                                         │
│    Step 14: Machine Machine5, Duration 52                                         │
│    Step 15: Machine Machine11, Duration 136                                       │
│  Job5:                                                                            │
│    Step 1: Machine Machine10, Duration 134                                        │
│    Step 2: Machine Machine2, Duration 92                                          │
│    Step 3: Machine Machine11, Duration 20                                         │
│    Step 4: Machine Machine0, Duration 16                                          │
│    Step 5: Machine Machine8, Duration 142                                         │
│    Step 6: Machine Machine9, Duration 51                                          │
│    Step 7: Machine Machine1, Duration 65                                          │
│    Step 8: Machine Machine13, Duration 104                                        │
│    Step 9: Machine Machine12, Duration 179                                        │
│    Step 10: Machine Machine6, Duration 11                                         │
│    Step 11: Machine Machine14, Duration 120                                       │
│    Step 12: Machine Machine4, Duration 41                                         │
│    Step 13: Machine Machine3, Duration 47                                         │
│    Step 14: Machine Machine7, Duration 69                                         │
│    Step 15: Machine Machine5, Duration 177                                        │
│  Job6:                                                                            │
│    Step 1: Machine Machine4, Duration 81                                          │
│    Step 2: Machine Machine5, Duration 86                                          │
│    Step 3: Machine Machine3, Duration 55                                          │
│    Step 4: Machine Machine0, Duration 199                                         │
