COMPLETE TERMINAL OUTPUT
==================================================

Dataset: swv02
Jobs: 20
Timestamp: 2025-09-24T03:00:27.638538


============================================================
FRAMEWORK: CrewAI
============================================================

Status: ✅ SUCCESS
Makespan: 1573
Execution Time: 179.60s

------------------------------------------------------------
COMPLETE FRAMEWORK OUTPUT:
------------------------------------------------------------
╭─────────────────────────────────── 🤖 Agent Started ────────────────────────────────────╮
│                                                                                         │
│  Agent: JSSP Supervisor                                                                 │
│                                                                                         │
│  Task:                                                                                  │
│          Job Shop Scheduling Problem (JSSP) - Dataset: swv02                            │
│                                                                                         │
│          Problem Description:                                                           │
│          - Number of jobs: 20                                                           │
│          - Each job has multiple operations that must be performed in sequence          │
│          - Each operation requires a specific machine and has a duration                │
│          - Each machine can only process one operation at a time                        │
│          - Goal: Find the minimum makespan (total completion time)                      │
│                                                                                         │
│          Job Specifications:                                                            │
│                                                                                         │
│  Job1:                                                                                  │
│    Step 1: Machine Machine2, Duration 16                                                │
│    Step 2: Machine Machine1, Duration 58                                                │
│    Step 3: Machine Machine0, Duration 22                                                │
│    Step 4: Machine Machine4, Duration 24                                                │
│    Step 5: Machine Machine3, Duration 53                                                │
│    Step 6: Machine Machine8, Duration 9                                                 │
│    Step 7: Machine Machine9, Duration 57                                                │
│    Step 8: Machine Machine7, Duration 63                                                │
│    Step 9: Machine Machine5, Duration 92                                                │
│    Step 10: Machine Machine6, Duration 43                                               │
│  Job2:                                                                                  │
│    Step 1: Machine Machine3, Duration 6                                                 │
│    Step 2: Machine Machine1, Duration 48                                                │
│    Step 3: Machine Machine4, Duration 14                                                │
│    Step 4: Machine Machine0, Duration 66                                                │
│    Step 5: Machine Machine2, Duration 24                                                │
│    Step 6: Machine Machine7, Duration 2                                                 │
│    Step 7: Machine Machine9, Duration 85                                                │
│    Step 8: Machine Machine6, Duration 73                                                │
│    Step 9: Machine Machine8, Duration 19                                                │
│    Step 10: Machine Machine5, Duration 99                                               │
│  Job3:                                                                                  │
│    Step 1: Machine Machine4, Duration 100                                               │
│    Step 2: Machine Machine2, Duration 90                                                │
│    Step 3: Machine Machine0, Duration 63                                                │
│    Step 4: Machine Machine1, Duration 14                                                │
│    Step 5: Machine Machine3, Duration 31                                                │
│    Step 6: Machine Machine5, Duration 27                                                │
│    Step 7: Machine Machine9, Duration 15                                                │
│    Step 8: Machine Machine8, Duration 1                                                 │
│    Step 9: Machine Machine6, Duration 51                                                │
│    Step 10: Machine Machine7, Duration 33                                               │
│  Job4:                                                                                  │
│    Step 1: Machine Machine2, Duration 98                                                │
│    Step 2: Machine Machine3, Duration 84                                                │
│    Step 3: Machine Machine4, Duration 52                                                │
│    Step 4: Machine Machine0, Duration 12                                                │
│    Step 5: Machine Machine1, Duration 96                                                │
│    Step 6: Machine Machine9, Duration 60                                                │
│    Step 7: Machine Machine6, Duration 74                                                │
│    Step 8: Machine Machine8, Duration 93                                                │
│    Step 9: Machine Machine5, Duration 45                                                │
│    Step 10: Machine Machine7, Duration 49                                               │
│  Job5:                                                                                  │
│    Step 1: Machine Machine4, Duration 39                                                │
│    Step 2: Machine Machine0, Duration 54                                                │
│    Step 3: Machine Machine2, Duration 28                                                │
│    Step 4: Machine Machine3, Duration 8                                                 │
│    Step 5: Machine Machine1, Duration 30                                                │
│    Step 6: Machine Machine8, Duration 57                                                │
│    Step 7: Machine Machine6, Duration 75                                                │
│    Step 8: Machine Machine5, Duration 9                                                 │
│    Step 9: Machine Machine7, Duration 41                                                │
│    Step 10: Machine Machine9, Duration 19                                               │
│  Job6:                                                                                  │
│    Step 1: Machine Machine3, Duration 94                                                │
│    Step 2: Machine Machine0, Duration 8                                                 │
│    Step 3: Machine Machine2, Duration 89                                                │
│    Step 4: Machine Machine1, Duration 13                                                │
│    Step 5: Machine Machine4, Duration 37                                                │
│    Step 6: Machine Machine8, Duration 36                                                │
│    Step 7: Machine Machine6, Duration 63                                                │
│    Step 8: Machine Machine9, Duration 24                                                │
│    Step 9: Machine Machine5, Duration 71                                                │
│    Step 10: Machine Machine7, Duration 97                                               │
│  Job7:                                                                                  │
│    Step 1: Machine Machine3, Duration 90                                                │
│    Step 2: Machine Machine2, Duration 69                                                │
│    Step 3: Machine Machine1, Duration 25                                                │
│    Step 4: Machine Machine4, Duration 15                                                │
│    Step 5: Machine Machine0, Duration 65                                                │
│    Step 6: Machine Machine7, Duration 52                                                │
│    Step 7: Machine Machine6, Duration 56                                                │
│    Step 8: Machine Machine9, Duration 91                                                │
│    Step 9: Machine Machine8, Duration 83                                                │
│    Step 10: Machine Machine5, Duration 86                                               │
│  Job8:                                                                                  │
│    Step 1: Machine Machine3, Duration 59                                                │
│    Step 2: Machine Machine1, Duration 99                                                │
│    Step 3: Machine Machine4, Duration 41                                                │
│    Step 4: Machine Machine0, Duration 68                                                │
│    Step 5: Machine Machine2, Duration 14                                                │
│    Step 6: Machine Machine7, Duration 4                                                 │
│    Step 7: Machine Machine9, Duration 55                                                │
│    Step 8: Machine Machine6, Duration 48                                                │
