JSSP FRAMEWORK COMPARISON RESULTS
==================================================

Dataset: swv05
Jobs: 20
Timestamp: 2025-09-21T15:43:51.995951

FRAMEWORK PERFORMANCE SUMMARY
----------------------------------------
OpenAI_Swarm: ✅ Makespan=1, Schedule_Ops=3, Time=21.04s, Status=Success


DETAILED AGENT PROMPTS AND OUTPUTS
==================================================

🔍 OpenAI_Swarm Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  role: Job Scheduler
  goal: Create initial schedules for all jobs considering precedence constraints.
  backstory: You are a job scheduling agent responsible for creating initial schedules for all jobs in Job Shop Scheduling Problems.
  query: Create initial schedules for 20 jobs with their respective steps.

Dataset: swv05
Number of jobs: 20
Number of machines: 10

Job Specifications:

Job1:
  Step 1: Machine Machine2, Duration 19
  Step 2: Machine Machine1, Duration 30
  Step 3: Machine Machine3, Duration 80
  Step 4: Machine Machine0, Duration 84
  Step 5: Machine Machine4, Duration 14
  Step 6: Machine Machine8, Duration 51
  Step 7: Machine Machine5, Duration 73
  Step 8: Machine Machine6, Duration 91
  Step 9: Machine Machine7, Duration 81
  Step 10: Machine Machine9, Duration 71
Job2:
  Step 1: Machine Machine2, Duration 74
  Step 2: Machine Machine4, Duration 79
  Step 3: Machine Machine1, Duration 39
  Step 4: Machine Machine0, Duration 7
  Step 5: Machine Machine3, Duration 66
  Step 6: Machine Machine9, Duration 6
  Step 7: Machine Machine5, Duration 93
  Step 8: Machine Machine8, Duration 76
  Step 9: Machine Machine6, Duration 21
  Step 10: Machine Machine7, Duration 76
Job3:
  Step 1: Machine Machine4, Duration 90
  Step 2: Machine Machine3, Duration 33
  Step 3: Machine Machine1, Duration 38
  Step 4: Machine Machine2, Duration 73
  Step 5: Machine Machine0, Duration 61
  Step 6: Machine Machine8, Duration 61
  Step 7: Machine Machine7, Duration 76
  Step 8: Machine Machine5, Duration 86
  Step 9: Machine Machine9, Duration 28
  Step 10: Machine Machine6, Duration 35
Job4:
  Step 1: Machine Machine4, Duration 1
  Step 2: Machine Machine3, Duration 22
  Step 3: Machine Machine2, Duration 1
  Step 4: Machine Machine0, Duration 77
  Step 5: Machine Machine1, Duration 33
  Step 6: Machine Machine6, Duration 98
  Step 7: Machine Machine5, Duration 4
  Step 8: Machine Machine9, Duration 27
  Step 9: Machine Machine8, Duration 8
  Step 10: Machine Machine7, Duration 68
Job5:
  Step 1: Machine Machine2, Duration 63
  Step 2: Machine Machine4, Duration 5
  Step 3: Machine Machine1, Duration 95
  Step 4: Machine Machine0, Duration 7
  Step 5: Machine Machine3, Duration 50
  Step 6: Machine Machine8, Duration 46
  Step 7: Machine Machine9, Duration 28
  Step 8: Machine Machine6, Duration 70
