AGENT PROMPTS AND OUTPUTS DETAILS
==================================================

🔍 LangGraph Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  system_prompt: You are a Job Scheduler Agent using LangGraph workflow. Analyze job requirements and create initial schedules for all jobs.

💬 Job Scheduler Agent Output:
  === LANGGRAPH REAL AGENTS ===

Job Scheduler Agent: It seems there was an error while trying to generate the schedule using SQL. Let's try a different approach to solve the Job Shop Scheduling Problem (JSSP) for the given dataset. I will attempt to create an initial schedule manually based on the provided job and machine constraints.

### Job Scheduler Analysis:

1. **FINAL MAKESPAN:** [To be determined]
2. **STRUCTURED SCHEDULE:**

   - **Job: Job1**
     - Step: 1, Machine: Machine3, Start Time: 0, End Time: 8, Duration: 8
     - Step: 2, Machine: Machine2, Start Time: 8, End Time: 81, Duration: 73
     - Step: 3, Machine: Machine1, Start Time: 81, End Time: 160, Duration: 79
     - Step: 4, Machine: Machine0, Start Time: 160, End Time: 255, Duration: 95
     - Step: 5, Machine: Machine6, Start Time: 255, End Time: 324, Duration: 69
     - Step: 6, Machine: Machine4, Start Time: 324, End Time: 333, Duration: 9
     - Step: 7, Machine: Machine5, Start Time: 333, End Time: 338, Duration: 5
     - Step: 8, Machine: Machine8, Start Time: 338, End Time: 423, Duration: 85
     - Step: 9, Machine: Machine9, Start Time: 423, End Time: 475, Duration: 52
     - Step: 10, Machine: Machine11, Start Time: 475, End Time: 518, Duration: 43
     - Step: 11, Machine: Machine14, Start Time: 518, End Time: 550, Duration: 32
     - Step: 12, Machine: Machine7, Start Time: 550, End Time: 641, Duration: 91
     - Step: 13, Machine: Machine10, Start Time: 641, End Time: 665, Duration: 24
     - Step: 14, Machine: Machine13, Start Time: 665, End Time: 754, Duration: 89
     - Step: 15, Machine: Machine12, Start Time: 754, End Time: 792, Duration: 38

   - **Job: Job2**
     - Step: 1, Machine: Machine6, Start Time: 0, End Time: 45, Duration: 45
     - Step: 2, Machine: Machine1, Start Time: 45, End Time: 115, Duration: 70
     - Step: 3, Machine: Machine4, Start Time: 115, End Time: 199, Duration: 84
     - Step: 4, Machine: Machine3, Start Time: 199, End Time: 223, Duration: 24
     - Step: 5, Machine: Machine5, Start Time: 223, End Time: 241, Duration: 18
     - Step: 6, Machine: Machine0, Start Time: 241, End Time: 261, Duration: 20
     - Step: 7, Machine: Machine2, Start Time: 261, End Time: 332, Duration: 71
     - Step: 8, Machine: Machine8, Start Time: 332, End Time: 353, Duration: 21
     - Step: 9, Machine: Machine7, Start Time: 353, End Time: 413, Duration: 60
     - Step: 10, Machine: Machine9, Start Time: 413, End Time: 511, Duration: 98
     - Step: 11, Machine: Machine10, Start Time: 511, End Time: 581, Duration: 70
     - Step: 12, Machine: Machine13, Start Time: 581, End Time: 633, Duration: 52
     - Step: 13, Machine: Machine12, Start Time: 633, End Time: 667, Duration: 34
     - Step: 14, Machine: Machine11, Start Time: 667, End Time: 690, Duration: 23
     - Step: 15, Machine: Machine14, Start Time: 690, End Time: 742, Duration: 52

   - **Job: Job3**
     - Step: 1, Machine: Machine6, Start Time: 0, End Time: 16, Duration: 16
     - Step: 2, Machine: Machine4, Start Time: 16, End Time: 84, Duration: 68
     - Step: 3, Machine: Machine1, Start Time: 84, End Time: 169, Duration: 85
     - Step: 4, Machine: Machine0, Start Time: 169, End Time: 208, Duration: 39
     - Step: 5, Machine: Machine5, Start Time: 208, End Time: 248, Duration: 40
     - Step: 6, Machine: Machine2, Start Time: 248, End Time: 346, Duration: 98
     - Step: 7, Machine: Machine3, Start Time: 346, End Time: 407, Duration: 61
     - Step: 8, Machine: Machine10, Start Time: 407, End Time: 484, Duration: 77
     - Step: 9, Machine: Machine7, Start Time: 484, End Time: 544, Duration: 60
     - Step: 10, Machine: Machine11, Start Time: 544, End Time: 617, Duration: 73
     - Step: 11, Machine: Machine9, Start Time: 617, End Time: 683, Duration: 66
     - Step: 12, Machine: Machine14, Start Time: 683, End Time: 767, Duration: 84
     - Step: 13, Machine: Machine8, Start Time: 767, End Time: 783, Duration: 16
     - Step: 14, Machine: Machine13, Start Time: 783, End Time: 826, Duration: 43
     - Step: 15, Machine: Machine12, Start Time: 826, End Time: 914, Duration: 88

   - **Job: Job4**
     - Step: 1, Machine: Machine0, Start Time: 0, End Time: 72, Duration: 72
     - Step: 2, Machine: Machine1, Start Time: 72, End Time: 89, Duration: 17
     - Step: 3, Machine: Machine3, Start Time: 89, End Time: 157, Duration: 68
     - Step: 4, Machine: Machine4, Start Time: 157, End Time: 246, Duration: 89
     - Step: 5, Machine: Machine2, Start Time: 246, End Time: 340, Duration: 94
     - Step: 6, Machine: Machine6, Start Time: 340, End Time: 438, Duration: 98
     - Step: 7, Machine: Machine5, Start Time: 438, End Time: 494, Duration: 56
     - Step: 8, Machine: Machine10, Start Time: 494, End Time: 582, Duration: 88
     - Step: 9, Machine: Machine13, Start Time: 582, End Time: 609, Duration: 27
     - Step: 10, Machine: Machine9, Start Time: 609, End Time: 669, Duration: 60
     - Step: 11, Machine: Machine12, Start Time: 669, End Time: 730, Duration: 61
     - Step: 12, Machine: Machine8, Start Time: 730, End Time: 738, Duration: 8
     - Step: 13, Machine: Machine7, Start Time: 738, End Time: 826, Duration: 88
     - Step: 14, Machine: Machine11, Start Time: 826, End Time: 874, Duration: 48
     - Step: 15, Machine: Machine14, Start Time: 874, End Time: 939, Duration: 65

   - **Job: Job5**
     - Step: 1, Machine: Machine6, Start Time: 0, End Time: 78, Duration: 78
     - Step: 2, Machine: Machine2, Start Time: 78, End Time: 102, Duration: 24
     - Step: 3, Machine: Machine5, Start Time: 102, End Time: 130, Duration: 28
     - Step: 4, Machine: Machine0, Start Time: 130, End Time: 203, Duration: 73
     - Step: 5, Machine: Machine4, Start Time: 203, End Time: 224, Duration: 21
     - Step: 6, Machine: Machine1, Start Time: 224, End Time: 293, Duration: 69
     - Step: 7, Machine: Machine3, Start Time: 293, End Time: 345, Duration: 52
     - Step: 8, Machine: Machine14, Start Time: 345, End Time: 377, Duration: 32
     - Step: 9, Machine: Machine8, Start Time: 377, End Time: 460, Duration: 83
     - Step: 10, Machine: Machine11, Start Time: 460, End Time: 508, Duration: 48
     - Step: 11, Machine: Machine10, Start Time: 508, End Time: 537, Duration: 29
     - Step: 12, Machine: Machine13, Start Time: 537, End Time: 585, Duration: 48
     - Step: 13, Machine: Machine12, Start Time: 585, End Time: 677, Duration: 92
     - Step: 14, Machine: Machine9, Start Time: 677, End Time: 720, Duration: 43
     - Step: 15, Machine: Machine7, Start Time: 720, End Time: 802, Duration: 82

   - **Job: Job6**
     - Step: 1, Machine: Machine4, Start Time: 0, End Time: 54, Duration: 54
     - Step: 2, Machine: Machine6, Start Time: 54, End Time: 85, Duration: 31
     - Step: 3, Machine: Machine5, Start Time: 85, End Time: 99, Duration: 14
     - Step: 4, Machine: Machine3, Start Time: 99, End Time: 146, Duration: 47
     - Step: 5, Machine: Machine0, Start Time: 146, End Time: 228, Duration: 82
     - Step: 6, Machine: Machine1, Start Time: 228, End Time: 303, Duration: 75
     - Step: 7, Machine: Machine2, Start Time: 303, End Time: 307, Duration: 4
     - Step: 8, Machine: Machine8, Start Time: 307, End Time: 338, Duration: 31
     - Step: 9, Machine: Machine12, Start Time: 338, End Time: 410, Duration: 72
     - Step: 10, Machine: Machine7, Start Time: 410, End Time: 468, Duration: 58
     - Step: 11, Machine: Machine9, Start Time: 468, End Time: 513, Duration: 45
     - Step: 12, Machine: Machine13, Start Time: 513, End Time: 604, Duration: 91
     - Step: 13, Machine: Machine14, Start Time: 604, End Time: 635, Duration: 31
     - Step: 14, Machine: Machine11, Start Time: 635, End Time: 696, Duration: 61
