JSSP FRAMEWORK COMPARISON RESULTS
==================================================

Dataset: swv13
Jobs: 50
Timestamp: 2025-09-21T16:24:50.654390

FRAMEWORK PERFORMANCE SUMMARY
----------------------------------------
LangGraph: ✅ Makespan=None, Schedule_Ops=0, Time=145.88s, Status=Success


DETAILED AGENT PROMPTS AND OUTPUTS
==================================================

🔍 LangGraph Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  system_prompt: You are a Job Scheduler Agent using LangGraph workflow. Analyze job requirements and create initial schedules for all jobs.
  query: 
        Job Shop Scheduling Problem (JSSP) - Dataset: swv13
        
        Problem Description:
        - Number of jobs: 50
        - Each job has multiple operations that must be performed in sequence
        - Each operation requires a specific machine and has a duration
        - Each machine can only process one operation at a time
        - Goal: Find the minimum makespan (total completion time)
        
        Job Specifications:
        
Job1:
  Step 1: Machine Machine4, Duration 68
  Step 2: Machine Machine1, Duration 39
  Step 3: Machine Machine2, Duration 79
  Step 4: Machine Machine0, Duration 72
  Step 5: Machine Machine3, Duration 65
  Step 6: Machine Machine5, Duration 82
  Step 7: Machine Machine7, Duration 33
  Step 8: Machine Machine6, Duration 82
  Step 9: Machine Machine8, Duration 66
  Step 10: Machine Machine9, Duration 55
Job2:
  Step 1: Machine Machine2, Duration 14
  Step 2: Machine Machine3, Duration 45
  Step 3: Machine Machine0, Duration 18
  Step 4: Machine Machine4, Duration 72
  Step 5: Machine Machine1, Duration 27
  Step 6: Machine Machine7, Duration 57
  Step 7: Machine Machine6, Duration 90
  Step 8: Machine Machine8, Duration 19
  Step 9: Machine Machine9, Duration 19
  Step 10: Machine Machine5, Duration 50
Job3:
  Step 1: Machine Machine4, Duration 25
  Step 2: Machine Machine1, Duration 77
  Step 3: Machine Machine0, Duration 64
  Step 4: Machine Machine3, Duration 18
  Step 5: Machine Machine2, Duration 19
  Step 6: Machine Machine8, Duration 27
  Step 7: Machine Machine6, Duration 97
  Step 8: Machine Machine9, Duration 81
  Step 9: Machine Machine7, Duration 65
  Step 10: Machine Machine5, Duration 11
Job4:
  Step 1: Machine Machine3, Duration 70
  Step 2: Machine Machine0, Duration 29
  Step 3: Machine Machine2, Duration 31
  Step 4: Machine Machine1, Duration 39
  Step 5: Machine Machine4, Duration 62
  Step 6: Machine Machine8, Duration 12
  Step 7: Machine Machine9, Duration 2
  Step 8: Machine Machine5, Duration 91
  Step 9: Machine Machine7, Duration 98
  Step 10: Machine Machine6, Duration 91
Job5:
  Step 1: Machine Machine2, Duration 90
  Step 2: Machine Machine4, Duration 51
  Step 3: Machine Machine3, Duration 38
  Step 4: Machine Machine1, Duration 27
  Step 5: Machine Machine0, Duration 29
  Step 6: Machine Machine6, Duration 67
  Step 7: Machine Machine8, Duration 95
  Step 8: Machine Machine9, Duration 60
  Step 9: Machine Machine7, Duration 86
  Step 10: Machine Machine5, Duration 64
Job6:
  Step 1: Machine Machine4, Duration 90
  Step 2: Machine Machine0, Duration 55
  Step 3: Machine Machine3, Duration 69
  Step 4: Machine Machine1, Duration 76
  Step 5: Machine Machine2, Duration 97
  Step 6: Machine Machine7, Duration 94
  Step 7: Machine Machine5, Duration 57
  Step 8: Machine Machine8, Duration 65
  Step 9: Machine Machine9, Duration 80
  Step 10: Machine Machine6, Duration 24
Job7:
  Step 1: Machine Machine1, Duration 23
  Step 2: Machine Machine4, Duration 13
  Step 3: Machine Machine0, Duration 90
  Step 4: Machine Machine3, Duration 24
  Step 5: Machine Machine2, Duration 41
  Step 6: Machine Machine8, Duration 69
  Step 7: Machine Machine7, Duration 8
  Step 8: Machine Machine5, Duration 81
  Step 9: Machine Machine6, Duration 94
  Step 10: Machine Machine9, Duration 76
Job8:
  Step 1: Machine Machine3, Duration 19
  Step 2: Machine Machine1, Duration 37
  Step 3: Machine Machine0, Duration 16
  Step 4: Machine Machine4, Duration 4
  Step 5: Machine Machine2, Duration 68
  Step 6: Machine Machine6, Duration 45
  Step 7: Machine Machine8, Duration 79
  Step 8: Machine Machine9, Duration 4
  Step 9: Machine Machine7, Duration 30
  Step 10: Machine Machine5, Duration 33
Job9:
  Step 1: Machine Machine2, Duration 36
  Step 2: Machine Machine0, Duration 76
  Step 3: Machine Machine3, Duration 97
  Step 4: Machine Machine4, Duration 71
  Step 5: Machine Machine1, Duration 19
  Step 6: Machine Machine9, Duration 87
  Step 7: Machine Machine6, Duration 97
  Step 8: Machine Machine8, Duration 64
  Step 9: Machine Machine5, Duration 84
  Step 10: Machine Machine7, Duration 43
Job10:
  Step 1: Machine Machine2, Duration 20
  Step 2: Machine Machine1, Duration 77
  Step 3: Machine Machine0, Duration 71
  Step 4: Machine Machine3, Duration 73
  Step 5: Machine Machine4, Duration 47
  Step 6: Machine Machine7, Duration 88
  Step 7: Machine Machine5, Duration 100
  Step 8: Machine Machine9, Duration 16
  Step 9: Machine Machine8, Duration 69
  Step 10: Machine Machine6, Duration 77
Job11:
  Step 1: Machine Machine3, Duration 55
  Step 2: Machine Machine4, Duration 96
  Step 3: Machine Machine0, Duration 8
  Step 4: Machine Machine2, Duration 61
  Step 5: Machine Machine1, Duration 40
  Step 6: Machine Machine8, Duration 46
  Step 7: Machine Machine7, Duration 29
  Step 8: Machine Machine9, Duration 71
  Step 9: Machine Machine5, Duration 89
  Step 10: Machine Machine6, Duration 59
Job12:
  Step 1: Machine Machine2, Duration 21
  Step 2: Machine Machine0, Duration 18
  Step 3: Machine Machine3, Duration 37
  Step 4: Machine Machine4, Duration 97
