JSSP FRAMEWORK COMPARISON RESULTS
==================================================

Dataset: yn01
Jobs: 20
Timestamp: 2025-09-21T16:35:46.765546

FRAMEWORK PERFORMANCE SUMMARY
----------------------------------------
LangGraph: ✅ Makespan=720, Schedule_Ops=0, Time=238.59s, Status=Success


DETAILED AGENT PROMPTS AND OUTPUTS
==================================================

🔍 LangGraph Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  system_prompt: You are a Job Scheduler Agent using LangGraph workflow. Analyze job requirements and create initial schedules for all jobs.
  query: 
        Job Shop Scheduling Problem (JSSP) - Dataset: yn01
        
        Problem Description:
        - Number of jobs: 20
        - Each job has multiple operations that must be performed in sequence
        - Each operation requires a specific machine and has a duration
        - Each machine can only process one operation at a time
        - Goal: Find the minimum makespan (total completion time)
        
        Job Specifications:
        
Job1:
  Step 1: Machine Machine17, Duration 13
  Step 2: Machine Machine2, Duration 26
  Step 3: Machine Machine11, Duration 35
  Step 4: Machine Machine4, Duration 45
  Step 5: Machine Machine12, Duration 29
  Step 6: Machine Machine13, Duration 21
  Step 7: Machine Machine7, Duration 40
  Step 8: Machine Machine0, Duration 45
  Step 9: Machine Machine3, Duration 16
  Step 10: Machine Machine15, Duration 10
  Step 11: Machine Machine18, Duration 49
  Step 12: Machine Machine10, Duration 43
  Step 13: Machine Machine14, Duration 25
  Step 14: Machine Machine8, Duration 25
  Step 15: Machine Machine1, Duration 40
  Step 16: Machine Machine6, Duration 16
  Step 17: Machine Machine19, Duration 43
  Step 18: Machine Machine5, Duration 48
  Step 19: Machine Machine9, Duration 36
  Step 20: Machine Machine16, Duration 11
Job2:
  Step 1: Machine Machine8, Duration 21
  Step 2: Machine Machine6, Duration 22
  Step 3: Machine Machine14, Duration 15
  Step 4: Machine Machine5, Duration 28
  Step 5: Machine Machine10, Duration 10
  Step 6: Machine Machine2, Duration 46
  Step 7: Machine Machine11, Duration 19
  Step 8: Machine Machine19, Duration 13
  Step 9: Machine Machine13, Duration 18
  Step 10: Machine Machine18, Duration 14
  Step 11: Machine Machine3, Duration 11
  Step 12: Machine Machine4, Duration 21
  Step 13: Machine Machine16, Duration 30
  Step 14: Machine Machine1, Duration 29
  Step 15: Machine Machine0, Duration 16
  Step 16: Machine Machine15, Duration 41
  Step 17: Machine Machine17, Duration 40
  Step 18: Machine Machine12, Duration 38
  Step 19: Machine Machine7, Duration 28
  Step 20: Machine Machine9, Duration 39
Job3:
  Step 1: Machine Machine4, Duration 39
  Step 2: Machine Machine3, Duration 28
  Step 3: Machine Machine8, Duration 32
  Step 4: Machine Machine17, Duration 46
  Step 5: Machine Machine0, Duration 35
  Step 6: Machine Machine14, Duration 14
  Step 7: Machine Machine1, Duration 44
  Step 8: Machine Machine10, Duration 20
  Step 9: Machine Machine13, Duration 12
  Step 10: Machine Machine6, Duration 23
  Step 11: Machine Machine18, Duration 22
  Step 12: Machine Machine9, Duration 15
  Step 13: Machine Machine11, Duration 35
  Step 14: Machine Machine7, Duration 27
  Step 15: Machine Machine16, Duration 26
  Step 16: Machine Machine5, Duration 27
  Step 17: Machine Machine15, Duration 23
  Step 18: Machine Machine2, Duration 27
  Step 19: Machine Machine12, Duration 31
  Step 20: Machine Machine19, Duration 31
Job4:
  Step 1: Machine Machine4, Duration 31
  Step 2: Machine Machine10, Duration 24
  Step 3: Machine Machine3, Duration 34
  Step 4: Machine Machine6, Duration 44
  Step 5: Machine Machine18, Duration 43
  Step 6: Machine Machine12, Duration 32
  Step 7: Machine Machine2, Duration 35
  Step 8: Machine Machine15, Duration 34
  Step 9: Machine Machine19, Duration 21
  Step 10: Machine Machine7, Duration 46
  Step 11: Machine Machine13, Duration 15
  Step 12: Machine Machine5, Duration 10
  Step 13: Machine Machine9, Duration 24
  Step 14: Machine Machine14, Duration 37
  Step 15: Machine Machine17, Duration 38
  Step 16: Machine Machine1, Duration 41
  Step 17: Machine Machine8, Duration 34
  Step 18: Machine Machine0, Duration 32
  Step 19: Machine Machine16, Duration 11
  Step 20: Machine Machine11, Duration 36
Job5:
  Step 1: Machine Machine19, Duration 45
  Step 2: Machine Machine1, Duration 23
  Step 3: Machine Machine5, Duration 34
  Step 4: Machine Machine9, Duration 23
  Step 5: Machine Machine7, Duration 41
  Step 6: Machine Machine16, Duration 10
  Step 7: Machine Machine11, Duration 40
  Step 8: Machine Machine12, Duration 46
  Step 9: Machine Machine14, Duration 27
