
==================================================
Processing dataset: abz07 (OPTIMIZED MODE)
==================================================

=== Results for abz07 (OPTIMIZED) ===
Timestamp: 2025-09-22 18:15:18

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job3 | 1 | Machine13 | 0-91 | None |
| Job14 | 1 | Machine14 | 0-9 | None |
| Job12 | 1 | Machine4 | 0-45 | None |
| Job8 | 1 | Machine6 | 0-103 | None |
| Job19 | 1 | Machine7 | 0-160 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job10 | 1 | Machine14 | 9-177 | None |
| Job14 | 2 | Machine2 | 9-172 | After Job14 Step 1 |
| Job12 | 2 | Machine0 | 45-90 | After Job12 Step 1 |
| Job11 | 1 | Machine4 | 45-135 | None |
| Job4 | 1 | Machine13 | 91-210 | None |
| Job3 | 2 | Machine3 | 91-153 | After Job3 Step 1 |
| Job6 | 1 | Machine6 | 103-216 | None |
| Job18 | 1 | Machine4 | 135-177 | None |
| Job11 | 2 | Machine3 | 153-352 | After Job11 Step 1 |
| Job16 | 1 | Machine7 | 160-205 | None |
| Job2 | 1 | Machine14 | 177-272 | None |
| Job8 | 2 | Machine4 | 177-270 | After Job8 Step 1 |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job19 | 2 | Machine1 | 199-318 | After Job19 Step 1 |
| Job5 | 2 | Machine11 | 199-212 | After Job5 Step 1 |
| Job16 | 2 | Machine5 | 205-375 | After Job16 Step 1 |
| Job9 | 1 | Machine7 | 205-329 | None |
| Job7 | 1 | Machine13 | 210-404 | None |
| Job5 | 3 | Machine10 | 212-275 | After Job5 Step 2 |
| Job2 | 2 | Machine0 | 272-363 | After Job2 Step 1 |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job14 | 3 | Machine10 | 275-379 | After Job14 Step 2 |
| Job8 | 3 | Machine12 | 304-325 | After Job8 Step 2 |
| Job1 | 3 | Machine2 | 304-432 | After Job1 Step 2 |
| Job9 | 2 | Machine11 | 329-514 | After Job9 Step 1 |
| Job13 | 1 | Machine7 | 329-436 | None |
| Job19 | 3 | Machine14 | 334-427 | After Job19 Step 2 |
| Job11 | 3 | Machine12 | 352-537 | After Job11 Step 2 |
