
==================================================
Processing dataset: rcmax_20_15_5 (OPTIMIZED MODE)
==================================================

=== Results for rcmax_20_15_5 (OPTIMIZED) ===
Timestamp: 2025-09-22 18:15:16

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job3 | 1 | Machine13 | 0-91 | None |
| Job2 | 1 | Machine14 | 0-95 | None |
| Job11 | 1 | Machine4 | 0-90 | None |
| Job8 | 1 | Machine6 | 0-103 | None |
| Job9 | 1 | Machine7 | 0-124 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job12 | 1 | Machine4 | 90-135 | None |
| Job4 | 1 | Machine13 | 91-210 | None |
| Job3 | 2 | Machine3 | 91-153 | After Job3 Step 1 |
| Job2 | 2 | Machine0 | 95-186 | After Job2 Step 1 |
| Job14 | 1 | Machine14 | 95-104 | None |
| Job6 | 1 | Machine6 | 103-216 | None |
| Job10 | 1 | Machine14 | 104-272 | None |
| Job14 | 2 | Machine2 | 104-267 | After Job14 Step 1 |
| Job9 | 2 | Machine11 | 124-309 | After Job9 Step 1 |
| Job16 | 1 | Machine7 | 124-169 | None |
| Job18 | 1 | Machine4 | 135-177 | None |
| Job11 | 2 | Machine3 | 153-352 | After Job11 Step 1 |
| Job16 | 2 | Machine5 | 169-339 | After Job16 Step 1 |
| Job15 | 1 | Machine7 | 169-356 | None |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job12 | 2 | Machine0 | 186-231 | After Job12 Step 1 |
| Job2 | 3 | Machine8 | 204-357 | After Job2 Step 2 |
| Job7 | 1 | Machine13 | 210-404 | None |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job1 | 3 | Machine2 | 304-432 | After Job1 Step 2 |
| Job5 | 2 | Machine11 | 309-322 | After Job5 Step 1 |
| Job5 | 3 | Machine10 | 322-385 | After Job5 Step 2 |
| Job4 | 2 | Machine5 | 339-527 | After Job4 Step 1 |
| Job11 | 3 | Machine12 | 352-537 | After Job11 Step 2 |
| Job6 | 2 | Machine3 | 352-461 | After Job6 Step 1 |
| Job15 | 2 | Machine4 | 356-411 | After Job15 Step 1 |
| Job13 | 1 | Machine7 | 356-463 | None |
| Job14 | 3 | Machine10 | 385-489 | After Job14 Step 2 |
