
==================================================
Processing dataset: TA52 with Claude-4
==================================================


==================================================
Processing dataset: TA61 with Claude-4
==================================================


==================================================
Processing dataset: TA52 with Claude-4
==================================================

=== Results for TA52 with Claude-4 ===
Timestamp: 2025-09-23 21:45:13

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job3 | 1 | Machine13 | 0-91 | None |
| Job2 | 1 | Machine14 | 0-95 | None |
| Job11 | 1 | Machine4 | 0-90 | None |
| Job8 | 1 | Machine6 | 0-103 | None |
| Job13 | 1 | Machine7 | 0-107 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job12 | 1 | Machine4 | 90-135 | None |
| Job7 | 1 | Machine13 | 91-285 | None |
| Job3 | 2 | Machine3 | 91-153 | After Job3 Step 1 |
| Job10 | 1 | Machine14 | 95-263 | None |
| Job6 | 1 | Machine6 | 103-216 | None |
| Job9 | 1 | Machine7 | 107-231 | None |
| Job12 | 2 | Machine0 | 135-180 | After Job12 Step 1 |
| Job18 | 1 | Machine4 | 135-177 | None |
| Job11 | 2 | Machine3 | 153-352 | After Job11 Step 1 |
| Job2 | 2 | Machine0 | 180-271 | After Job2 Step 1 |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job13 | 2 | Machine6 | 216-353 | After Job13 Step 1 |
| Job19 | 1 | Machine7 | 231-391 | None |
| Job14 | 1 | Machine14 | 263-272 | None |
| Job2 | 3 | Machine8 | 271-424 | After Job2 Step 2 |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job14 | 2 | Machine2 | 272-435 | After Job14 Step 1 |
| Job7 | 2 | Machine11 | 285-418 | After Job7 Step 1 |
| Job4 | 1 | Machine13 | 285-404 | None |
| Job11 | 3 | Machine12 | 352-537 | After Job11 Step 2 |
| Job6 | 2 | Machine3 | 352-461 | After Job6 Step 1 |
| Job19 | 2 | Machine1 | 391-510 | After Job19 Step 1 |
| Job16 | 1 | Machine7 | 391-436 | None |
| Job18 | 3 | Machine13 | 404-490 | After Job18 Step 2 |
| Job9 | 2 | Machine11 | 418-603 | After Job9 Step 1 |
| Job14 | 3 | Machine10 | 435-539 | After Job14 Step 2 |
| Job13 | 3 | Machine2 | 435-449 | After Job13 Step 2 |
