
==================================================
Processing dataset: TA71 with Claude-4
==================================================

=== Results for TA71 with Claude-4 ===
Timestamp: 2025-09-23 21:45:18

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job3 | 1 | Machine13 | 0-91 | None |
| Job14 | 1 | Machine14 | 0-9 | None |
| Job12 | 1 | Machine4 | 0-45 | None |
| Job6 | 1 | Machine6 | 0-113 | None |
| Job13 | 1 | Machine7 | 0-107 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job10 | 1 | Machine14 | 9-177 | None |
| Job14 | 2 | Machine2 | 9-172 | After Job14 Step 1 |
| Job12 | 2 | Machine0 | 45-90 | After Job12 Step 1 |
| Job11 | 1 | Machine4 | 45-135 | None |
| Job4 | 1 | Machine13 | 91-210 | None |
| Job16 | 1 | Machine7 | 107-152 | None |
| Job6 | 2 | Machine3 | 113-222 | After Job6 Step 1 |
| Job8 | 1 | Machine6 | 113-216 | None |
| Job18 | 1 | Machine4 | 135-177 | None |
| Job16 | 2 | Machine5 | 152-322 | After Job16 Step 1 |
| Job19 | 1 | Machine7 | 152-312 | None |
| Job14 | 3 | Machine10 | 172-276 | After Job14 Step 2 |
| Job2 | 1 | Machine14 | 177-272 | None |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job7 | 1 | Machine13 | 210-404 | None |
| Job8 | 2 | Machine4 | 216-309 | After Job8 Step 1 |
| Job13 | 2 | Machine6 | 216-353 | After Job13 Step 1 |
| Job3 | 2 | Machine3 | 222-284 | After Job3 Step 1 |
| Job2 | 2 | Machine0 | 272-363 | After Job2 Step 1 |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job11 | 2 | Machine3 | 284-483 | After Job11 Step 1 |
| Job8 | 3 | Machine12 | 309-330 | After Job8 Step 2 |
| Job19 | 2 | Machine1 | 312-431 | After Job19 Step 1 |
| Job15 | 1 | Machine7 | 312-499 | None |
| Job4 | 2 | Machine5 | 322-510 | After Job4 Step 1 |
| Job13 | 3 | Machine2 | 353-367 | After Job13 Step 2 |
| Job2 | 3 | Machine8 | 363-516 | After Job2 Step 2 |
| Job1 | 3 | Machine2 | 367-495 | After Job1 Step 2 |
| Job13 | 4 | Machine9 | 367-480 | After Job13 Step 3 |
