
==================================================
Processing dataset: rcmax_40_15_8 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_40_20_6 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_40_20_2 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_15_2 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_15_4 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_20_6 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_20_9 with Claude-4
==================================================


==================================================
Processing dataset: TA01 with Claude-4
==================================================


==================================================
Processing dataset: TA02 with Claude-4
==================================================


==================================================
Processing dataset: TA51 with Claude-4
==================================================


==================================================
Processing dataset: TA52 with Claude-4
==================================================


==================================================
Processing dataset: TA61 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_40_15_8 with Claude-4
==================================================

=== Results for rcmax_40_15_8 with Claude-4 ===
Timestamp: 2025-09-23 21:38:43

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job4 | 1 | Machine13 | 0-119 | None |
| Job10 | 1 | Machine14 | 0-168 | None |
| Job18 | 1 | Machine4 | 0-42 | None |
| Job6 | 1 | Machine6 | 0-113 | None |
| Job19 | 1 | Machine7 | 0-160 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job11 | 1 | Machine4 | 42-132 | None |
| Job8 | 1 | Machine6 | 113-216 | None |
| Job3 | 1 | Machine13 | 119-210 | None |
| Job4 | 2 | Machine5 | 119-307 | After Job4 Step 1 |
| Job11 | 2 | Machine3 | 132-331 | After Job11 Step 1 |
| Job12 | 1 | Machine4 | 132-177 | None |
| Job16 | 1 | Machine7 | 160-205 | None |
| Job14 | 1 | Machine14 | 168-177 | None |
| Job12 | 2 | Machine0 | 177-222 | After Job12 Step 1 |
| Job2 | 1 | Machine14 | 177-272 | None |
| Job14 | 2 | Machine2 | 177-340 | After Job14 Step 1 |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job19 | 2 | Machine1 | 199-318 | After Job19 Step 1 |
| Job5 | 2 | Machine11 | 199-212 | After Job5 Step 1 |
| Job13 | 1 | Machine7 | 205-312 | None |
| Job7 | 1 | Machine13 | 210-404 | None |
| Job5 | 3 | Machine10 | 212-275 | After Job5 Step 2 |
