
==================================================
Processing dataset: rcmax_50_15_4 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_20_6 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_20_9 with Claude-4
==================================================


==================================================
Processing dataset: TA01 with Claude-4
==================================================


==================================================
Processing dataset: TA02 with Claude-4
==================================================


==================================================
Processing dataset: TA51 with Claude-4
==================================================


==================================================
Processing dataset: TA52 with Claude-4
==================================================


==================================================
Processing dataset: TA61 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_15_4 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_15_4 with Claude-4
==================================================

=== Results for rcmax_50_15_4 with Claude-4 ===
Timestamp: 2025-09-23 21:45:03

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job7 | 1 | Machine13 | 0-194 | None |
| Job2 | 1 | Machine14 | 0-95 | None |
| Job12 | 1 | Machine4 | 0-45 | None |
| Job8 | 1 | Machine6 | 0-103 | None |
| Job16 | 1 | Machine7 | 0-45 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job12 | 2 | Machine0 | 45-90 | After Job12 Step 1 |
| Job18 | 1 | Machine4 | 45-87 | None |
| Job16 | 2 | Machine5 | 45-215 | After Job16 Step 1 |
| Job15 | 1 | Machine7 | 45-232 | None |
| Job11 | 1 | Machine4 | 87-177 | None |
| Job2 | 2 | Machine0 | 95-186 | After Job2 Step 1 |
| Job10 | 1 | Machine14 | 95-263 | None |
| Job6 | 1 | Machine6 | 103-216 | None |
| Job11 | 2 | Machine3 | 177-376 | After Job11 Step 1 |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job7 | 2 | Machine11 | 194-327 | After Job7 Step 1 |
| Job4 | 1 | Machine13 | 194-313 | None |
| Job2 | 3 | Machine8 | 204-357 | After Job2 Step 2 |
| Job15 | 2 | Machine4 | 232-287 | After Job15 Step 1 |
| Job13 | 1 | Machine7 | 232-339 | None |
| Job14 | 1 | Machine14 | 263-272 | None |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job14 | 2 | Machine2 | 272-435 | After Job14 Step 1 |
| Job8 | 2 | Machine4 | 287-380 | After Job8 Step 1 |
| Job3 | 1 | Machine13 | 313-404 | None |
