
==================================================
Processing dataset: rcmax_50_20_6 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_20_9 with Claude-4
==================================================


==================================================
Processing dataset: TA01 with Claude-4
==================================================


==================================================
Processing dataset: TA02 with Claude-4
==================================================


==================================================
Processing dataset: TA51 with Claude-4
==================================================


==================================================
Processing dataset: TA52 with Claude-4
==================================================


==================================================
Processing dataset: TA61 with Claude-4
==================================================


==================================================
Processing dataset: rcmax_50_20_6 with Claude-4
==================================================

=== Results for rcmax_50_20_6 with Claude-4 ===
Timestamp: 2025-09-23 21:45:04

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job7 | 1 | Machine13 | 0-194 | None |
| Job10 | 1 | Machine14 | 0-168 | None |
| Job12 | 1 | Machine4 | 0-45 | None |
| Job6 | 1 | Machine6 | 0-113 | None |
| Job13 | 1 | Machine7 | 0-107 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job18 | 1 | Machine4 | 45-87 | None |
| Job11 | 1 | Machine4 | 87-177 | None |
| Job9 | 1 | Machine7 | 107-231 | None |
| Job6 | 2 | Machine3 | 113-222 | After Job6 Step 1 |
| Job8 | 1 | Machine6 | 113-216 | None |
| Job2 | 1 | Machine14 | 168-263 | None |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job7 | 2 | Machine11 | 194-327 | After Job7 Step 1 |
| Job4 | 1 | Machine13 | 194-313 | None |
| Job8 | 2 | Machine4 | 216-309 | After Job8 Step 1 |
| Job13 | 2 | Machine6 | 216-353 | After Job13 Step 1 |
| Job16 | 1 | Machine7 | 231-276 | None |
| Job2 | 2 | Machine0 | 263-354 | After Job2 Step 1 |
| Job14 | 1 | Machine14 | 263-272 | None |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job14 | 2 | Machine2 | 272-435 | After Job14 Step 1 |
| Job15 | 1 | Machine7 | 276-463 | None |
| Job3 | 1 | Machine13 | 313-404 | None |
| Job4 | 2 | Machine5 | 313-501 | After Job4 Step 1 |
| Job5 | 2 | Machine11 | 327-340 | After Job5 Step 1 |
| Job7 | 3 | Machine12 | 327-444 | After Job7 Step 2 |
| Job5 | 3 | Machine10 | 340-403 | After Job5 Step 2 |
