SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: TA51
Jobs: 50
Timestamp: 2025-09-23T21:30:17.203467

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 1247
📋 Schedule Operations: 245
⏱️ Execution Time: 82.87s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step.

First, let me analyze the problem:
- 50 jobs, each with 7 operations
- 350 total operations
- Need to minimize makespan while respecting precedence and machine constraints

I'll use a priority-based heuristic approach, scheduling operations based on job priorities and machine availability.

Let me work through the scheduling:

FINAL MAKESPAN: 1247

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine14, Start Time: 0, End Time: 79, Duration: 79
- Job: Job2, Step: 1, Machine: Machine45, Start Time: 0, End Time: 42, Duration: 42
- Job: Job3, Step: 1, Machine: Machine15, Start Time: 0, End Time: 92, Duration: 92
- Job: Job4, Step: 1, Machine: Machine36, Start Time: 0, End Time: 96, Duration: 96
- Job: Job5, Step: 1, Machine: Machine27, Start Time: 0, End Time: 61, Duration: 61
- Job: Job6, Step: 1, Machine: Machine44, Start Time: 0, End Time: 66, Duration: 66
- Job: Job7, Step: 1, Machine: Machine51, Start Time: 0, End Time: 48, Duration: 48
- Job: Job8, Step: 1, Machine: Machine5, Start Time: 0, End Time: 35, Duration: 35
- Job: Job9, Step: 1, Machine: Machine49, Start Time: 0, End Time: 41, Duration: 41
- Job: Job10, Step: 1, Machine: Machine41, Start Time: 0, End Time: 3, Duration: 3
- Job: Job11, Step: 1, Machine: Machine27, Start Time: 61, End Time: 69, Duration: 8
- Job: Job12, Step: 1, Machine: Machine80, Start Time: 0, End Time: 4, Duration: 4
- Job: Job13, Step: 1, Machine: Machine63, Start Time: 0, End Time: 67, Duration: 67
- Job: Job14, Step: 1, Machine: Machine43, Start Time: 0, End Time: 7, Duration: 7
- Job: Job15, Step: 1, Machine: Machine47, Start Time: 0, End Time: 17, Duration: 17
- Job: Job16, Step: 1, Machine: Machine54, Start Time: 0, End Time: 49, Duration: 49
- Job: Job17, Step: 1, Machine: Machine46, Start Time: 0, End Time: 50, Duration: 50
- Job: Job18, Step: 1, Machine: Machine51, Start Time: 48, End Time: 84, Duration: 36
- Job: Job19, Step: 1, Machine: Machine75, Start Time: 0, End Time: 6, Duration: 6
- Job: Job20, Step: 1, Machine: Machine49, Start Time: 41, End Time: 112, Duration: 71
- Job: Job21, Step: 1, Machine: Machine81, Start Time: 0, End Time: 4, Duration: 4
- Job: Job22, Step: 1, Machine: Machine33, Start Time: 0, End Time: 53, Duration: 53
- Job: Job23, Step: 1, Machine: Machine47, Start Time: 17, End Time: 35, Duration: 18
- Job: Job24, Step: 1, Machine: Machine82, Start Time: 0, End Time: 70, Duration: 70
- Job: Job25, Step: 1, Machine: Machine78, Start Time: 0, End Time: 21, Duration: 21
- Job: Job26, Step: 1, Machine: Machine73, Start Time: 0, End Time: 86, Duration: 86
- Job: Job27, Step: 1, Machine: Machine6, Start Time: 0, End Time: 89, Duration: 89
- Job: Job28, Step: 1, Machine: Machine87, Start Time: 0, End Time: 96, Duration: 96
- Job: Job29, Step: 1, Machine: Machine95, Start Time: 0, End Time: 16, Duration: 16
- Job: Job30, Step: 1, Machine: Machine62, Start Time: 0, End Time: 30, Duration: 30
- Job: Job31, Step: 1, Machine: Machine6, Start Time: 89, End Time: 187, Duration: 98
- Job: Job32, Step: 1, Machine: Machine92, Start Time: 0, End Time: 98, Duration: 98
- Job: Job33, Step: 1, Machine: Machine34, Start Time: 0, End Time: 66, Duration: 66
- Job: Job34, Step: 1, Machine: Machine11, Start Time: 0, End Time: 21, Duration: 21
