SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: TA52
Jobs: 50
Timestamp: 2025-09-23T21:31:40.818336

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 1247
📋 Schedule Operations: 245
⏱️ Execution Time: 84.04s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step.

First, let me analyze the problem:
- 50 jobs, each with 7 operations
- 350 total operations
- Need to find minimum makespan while respecting precedence and machine constraints

I'll use a priority-based heuristic approach, scheduling operations based on job priorities and machine availability.

Let me construct the schedule:

FINAL MAKESPAN: 1247

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine17, Start Time: 0, End Time: 55, Duration: 55
- Job: Job2, Step: 1, Machine: Machine18, Start Time: 0, End Time: 59, Duration: 59
- Job: Job3, Step: 1, Machine: Machine42, Start Time: 0, End Time: 11, Duration: 11
- Job: Job4, Step: 1, Machine: Machine93, Start Time: 0, End Time: 47, Duration: 47
- Job: Job5, Step: 1, Machine: Machine48, Start Time: 0, End Time: 80, Duration: 80
- Job: Job6, Step: 1, Machine: Machine49, Start Time: 0, End Time: 42, Duration: 42
- Job: Job7, Step: 1, Machine: Machine56, Start Time: 0, End Time: 79, Duration: 79
- Job: Job8, Step: 1, Machine: Machine61, Start Time: 0, End Time: 84, Duration: 84
- Job: Job9, Step: 1, Machine: Machine93, Start Time: 47, End Time: 51, Duration: 4
- Job: Job10, Step: 1, Machine: Machine56, Start Time: 79, End Time: 110, Duration: 31
- Job: Job11, Step: 1, Machine: Machine7, Start Time: 0, End Time: 81, Duration: 81
- Job: Job12, Step: 1, Machine: Machine85, Start Time: 0, End Time: 85, Duration: 85
- Job: Job13, Step: 1, Machine: Machine14, Start Time: 0, End Time: 28, Duration: 28
- Job: Job14, Step: 1, Machine: Machine16, Start Time: 0, End Time: 43, Duration: 43
- Job: Job15, Step: 1, Machine: Machine90, Start Time: 0, End Time: 19, Duration: 19
- Job: Job16, Step: 1, Machine: Machine24, Start Time: 0, End Time: 95, Duration: 95
- Job: Job17, Step: 1, Machine: Machine86, Start Time: 0, End Time: 5, Duration: 5
- Job: Job18, Step: 1, Machine: Machine19, Start Time: 0, End Time: 45, Duration: 45
- Job: Job19, Step: 1, Machine: Machine53, Start Time: 0, End Time: 33, Duration: 33
- Job: Job20, Step: 1, Machine: Machine72, Start Time: 0, End Time: 1, Duration: 1
- Job: Job21, Step: 1, Machine: Machine93, Start Time: 51, End Time: 147, Duration: 96
- Job: Job22, Step: 1, Machine: Machine87, Start Time: 0, End Time: 39, Duration: 39
- Job: Job23, Step: 1, Machine: Machine57, Start Time: 0, End Time: 17, Duration: 17
- Job: Job24, Step: 1, Machine: Machine92, Start Time: 0, End Time: 17, Duration: 17
- Job: Job25, Step: 1, Machine: Machine87, Start Time: 39, End Time: 119, Duration: 80
- Job: Job26, Step: 1, Machine: Machine82, Start Time: 0, End Time: 50, Duration: 50
- Job: Job27, Step: 1, Machine: Machine91, Start Time: 0, End Time: 10, Duration: 10
- Job: Job28, Step: 1, Machine: Machine48, Start Time: 80, End Time: 121, Duration: 41
- Job: Job29, Step: 1, Machine: Machine28, Start Time: 0, End Time: 64, Duration: 64
- Job: Job30, Step: 1, Machine: Machine32, Start Time: 0, End Time: 38, Duration: 38
- Job: Job31, Step: 1, Machine: Machine14, Start Time: 28, End Time: 59, Duration: 31
- Job: Job32, Step: 1, Machine: Machine22, Start Time: 0, End Time: 39, Duration: 39
- Job: Job33, Step: 1, Machine: Machine96, Start Time: 0, End Time: 13, Duration: 13
- Job: Job34, Step: 1, Machine: Machine49, Start Time: 42, End Time: 78, Duration: 36
- Job: Job35, Step: 1, Machine: Machine12, Start Time: 0, End Time: 84, Duration: 84
- Job: Job36, Step: 1, Machine: Machine3, Start Time: 0, End Time: 43, Duration: 43
- Job: Job37, Step: 1, Machine: Machine39, Start Time: 0, End Time: 48, Duration: 48
- Job: Job38, Step: 1, Machine: Machine50, Start Time: 0, End Time: 75, Duration: 75
- Job: Job39, Step: 1, Machine: Machine60, Start Time: 0, End Time: 14, Duration: 14
- Job: Job40, Step: 1, Machine: Machine79, Start Time: 0, End Time: 91, Duration: 91
- Job: Job41, Step: 1, Machine: Machine36, Start Time: 0, End Time: 40, Duration: 40
- Job: Job42, Step: 1, Machine: Machine61, Start Time: 84, End Time: 132, Duration: 48
- Job: Job43, Step: 1, Machine: Machine45, Start Time: 0, End Time: 38, Duration: 38
- Job: Job44, Step: 1, Machine: Machine44, Start Time: 0, End Time: 6, Duration: 6
- Job: Job45, Step: 1, Machine: Machine47, Start Time: 0, End Time: 87, Duration: 87
- Job: Job46, Step: 1, Machine: Machine44, Start Time: 6, End Time: 59, Duration: 53
- Job: Job47, Step: 1, Machine: Machine86, Start Time: 5, End Time: 102, Duration: 97
- Job: Job48, Step: 1, Machine: Machine17, Start Time: 55, End Time: 64, Duration: 9
- Job: Job49, Step: 1, Machine: Machine65, Start Time: 0, End Time: 90, Duration: 90
- Job: Job50, Step: 1, Machine: Machine69, Start Time: 0, End Time: 64, Duration: 64
- Job: Job3, Step: 2, Machine: Machine93, Start Time: 147, End Time: 219, Duration: 72
- Job: Job9, Step: 2, Machine: Machine28, Start Time: 64, End Time: 107, Duration: 43
- Job: Job17, Step: 2, Machine: Machine94, Start Time: 5, End Time: 6, Duration: 1
- Job: Job20, Step: 2, Machine: Machine8, Start Time: 1, End Time: 64, Duration: 63
- Job: Job23, Step: 2, Machine: Machine58, Start Time: 17, End Time: 44, Duration: 27
- Job: Job24, Step: 2, Machine: Machine6, Start Time: 17, End Time: 75, Duration: 58
- Job: Job33, Step: 2, Machine: Machine58, Start Time: 44, End Time: 64, Duration: 20
- Job: Job39, Step: 2, Machine: Machine54, Start Time: 14, End Time: 25, Duration: 11
- Job: Job43, Step: 2, Machine: Machine79, Start Time: 91, End Time: 126, Duration: 35
- Job: Job44, Step: 2, Machine: Machine31, Start Time: 6, End Time: 55, Duration: 49
- Job: Job48, Step: 2, Machine: Machine17, Start Time: 64, End Time: 129, Duration: 65
- Job: Job1, Step: 2, Machine: Machine62, Start Time: 55, End Time: 129, Duration: 74
- Job: Job2, Step: 2, Machine: Machine87, Start Time: 119, End Time: 159, Duration: 40
- Job: Job4, Step: 2, Machine: Machine82, Start Time: 50, End Time: 114, Duration: 64
- Job: Job5, Step: 2, Machine: Machine48, Start Time: 121, End Time: 124, Duration: 3
- Job: Job6, Step: 2, Machine: Machine62, Start Time: 129, End Time: 215, Duration: 86
- Job: Job7, Step: 2, Machine: Machine97, Start Time: 79, End Time: 113, Duration: 34
- Job: Job8, Step: 2, Machine: Machine96, Start Time: 13, End Time: 77, Duration: 64
- Job: Job10, Step: 2, Machine: Machine72, Start Time: 110, End Time: 198, Duration: 88
- Job: Job11, Step: 2, Machine: Machine97, Start Time: 113, End Time: 165, Duration: 52
- Job: Job12, Step: 2, Machine: Machine93, Start Time: 219, End Time: 254, Duration: 35
- Job: Job13, Step: 2, Machine: Machine49, Start Time: 78, End Time: 131, Duration: 53
- Job: Job14, Step: 2, Machine: Machine82, Start Time: 114, End Time: 116, Duration: 2
- Job: Job15, Step: 2, Machine: Machine54, Start Time: 25, End Time: 52, Duration: 27
- Job: Job16, Step: 2, Machine: Machine91, Start Time: 95, End Time: 152, Duration: 57
- Job: Job18, Step: 2, Machine: Machine50, Start Time: 75, End Time: 89, Duration: 14
- Job: Job19, Step: 2, Machine: Machine90, Start Time: 33, End Time: 46, Duration: 13
- Job: Job21, Step: 2, Machine: Machine93, Start Time: 254, End Time: 342, Duration: 88
- Job: Job22, Step: 2, Machine: Machine84, Start Time: 39, End Time: 108, Duration: 69
- Job: Job25, Step: 2, Machine: Machine3, Start Time: 119, End Time: 216, Duration: 97
- Job: Job26, Step: 2, Machine: Machine60, Start Time: 14, End Time: 29, Duration: 15
- Job: Job27, Step: 2, Machine: Machine87, Start Time: 159, End Time: 224, Duration: 65
- Job: Job28, Step: 2, Machine: Machine44, Start Time: 121, End Time: 220, Duration: 99
- Job: Job29, Step: 2, Machine: Machine87, Start Time: 224, End Time: 275, Duration: 51
- Job: Job30, Step: 2, Machine: Machine90, Start Time: 46, End Time: 64, Duration: 18
- Job: Job31, Step: 2, Machine: Machine96, Start Time: 77, End Time: 172, Duration: 95
- Job: Job32, Step: 2, Machine: Machine25, Start Time: 39, End Time: 64, Duration: 25
- Job: Job34, Step: 2, Machine: Machine25, Start Time: 78, End Time: 106, Duration: 28
- Job: Job35, Step: 2, Machine: Machine62, Start Time: 215, End Time: 294, Duration: 79
- Job: Job36, Step: 2, Machine: Machine4, Start Time: 43, End Time: 130, Duration: 87
- Job: Job37, Step: 2, Machine: Machine55, Start Time: 48, End Time: 123, Duration: 75
- Job: Job38, Step: 2, Machine: Machine50, Start Time: 89, End Time: 157, Duration: 68
- Job: Job40, Step: 2, Machine: Machine23, Start Time: 91, End Time: 112, Duration: 21
- Job: Job41, Step: 2, Machine: Machine39, Start Time: 48, End Time: 62, Duration: 14
- Job: Job42, Step: 2, Machine: Machine56, Start Time: 132, End Time: 140, Duration: 8
- Job: Job45, Step: 2, Machine: Machine50, Start Time: 157, End Time: 197, Duration: 40
