SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: TA71
Jobs: 100
Timestamp: 2025-09-23T21:34:26.433102

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 1659
📋 Schedule Operations: 245
⏱️ Execution Time: 92.29s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step.

First, let me analyze the problem:
- 100 jobs, each with 10 operations
- Each operation requires a specific machine and has a duration
- Need to minimize makespan while respecting precedence and machine constraints

I'll use a priority-based scheduling approach, considering job priorities and machine availability.

Let me construct the schedule:

FINAL MAKESPAN: 1659

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine83, Start Time: 0, End Time: 59, Duration: 59
- Job: Job2, Step: 1, Machine: Machine11, Start Time: 0, End Time: 67, Duration: 67
- Job: Job3, Step: 1, Machine: Machine34, Start Time: 0, End Time: 5, Duration: 5
- Job: Job4, Step: 1, Machine: Machine9, Start Time: 0, End Time: 77, Duration: 77
- Job: Job5, Step: 1, Machine: Machine62, Start Time: 0, End Time: 75, Duration: 75
- Job: Job6, Step: 1, Machine: Machine80, Start Time: 0, End Time: 95, Duration: 95
- Job: Job7, Step: 1, Machine: Machine8, Start Time: 0, End Time: 92, Duration: 92
- Job: Job8, Step: 1, Machine: Machine10, Start Time: 0, End Time: 68, Duration: 68
- Job: Job9, Step: 1, Machine: Machine24, Start Time: 0, End Time: 23, Duration: 23
- Job: Job10, Step: 1, Machine: Machine54, Start Time: 0, End Time: 81, Duration: 81
- Job: Job11, Step: 1, Machine: Machine52, Start Time: 0, End Time: 19, Duration: 19
- Job: Job12, Step: 1, Machine: Machine29, Start Time: 0, End Time: 8, Duration: 8
- Job: Job13, Step: 1, Machine: Machine57, Start Time: 0, End Time: 30, Duration: 30
- Job: Job14, Step: 1, Machine: Machine46, Start Time: 0, End Time: 77, Duration: 77
- Job: Job15, Step: 1, Machine: Machine91, Start Time: 0, End Time: 95, Duration: 95
- Job: Job16, Step: 1, Machine: Machine33, Start Time: 0, End Time: 13, Duration: 13
- Job: Job17, Step: 1, Machine: Machine55, Start Time: 0, End Time: 81, Duration: 81
- Job: Job18, Step: 1, Machine: Machine78, Start Time: 0, End Time: 89, Duration: 89
- Job: Job19, Step: 1, Machine: Machine90, Start Time: 0, End Time: 4, Duration: 4
- Job: Job20, Step: 1, Machine: Machine44, Start Time: 0, End Time: 89, Duration: 89
- Job: Job21, Step: 1, Machine: Machine25, Start Time: 0, End Time: 66, Duration: 66
- Job: Job22, Step: 1, Machine: Machine19, Start Time: 0, End Time: 29, Duration: 29
- Job: Job23, Step: 1, Machine: Machine46, Start Time: 77, End Time: 161, Duration: 84
- Job: Job24, Step: 1, Machine: Machine6, Start Time: 0, End Time: 32, Duration: 32
- Job: Job25, Step: 1, Machine: Machine43, Start Time: 0, End Time: 42, Duration: 42
- Job: Job26, Step: 1, Machine: Machine90, Start Time: 4, End Time: 71, Duration: 67
- Job: Job27, Step: 1, Machine: Machine73, Start Time: 0, End Time: 67, Duration: 67
- Job: Job28, Step: 1, Machine: Machine99, Start Time: 0, End Time: 6, Duration: 6
- Job: Job29, Step: 1, Machine: Machine48, Start Time: 0, End Time: 70, Duration: 70
- Job: Job30, Step: 1, Machine: Machine54, Start Time: 81, End Time: 122, Duration: 41
- Job: Job31, Step: 1, Machine: Machine79, Start Time: 0, End Time: 43, Duration: 43
- Job: Job32, Step: 1, Machine: Machine33, Start Time: 13, End Time: 78, Duration: 65
- Job: Job33, Step: 1, Machine: Machine76, Start Time: 0, End Time: 18, Duration: 18
- Job: Job34, Step: 1, Machine: Machine23, Start Time: 0, End Time: 48, Duration: 48
- Job: Job35, Step: 1, Machine: Machine2, Start Time: 0, End Time: 37, Duration: 37
- Job: Job36, Step: 1, Machine: Machine92, Start Time: 0, End Time: 34, Duration: 34
- Job: Job37, Step: 1, Machine: Machine72, Start Time: 0, End Time: 41, Duration: 41
- Job: Job38, Step: 1, Machine: Machine72, Start Time: 41, End Time: 106, Duration: 65
- Job: Job39, Step: 1, Machine: Machine13, Start Time: 0, End Time: 44, Duration: 44
- Job: Job40, Step: 1, Machine: Machine38, Start Time: 0, End Time: 80, Duration: 80
- Job: Job41, Step: 1, Machine: Machine70, Start Time: 0, End Time: 48, Duration: 48
- Job: Job42, Step: 1, Machine: Machine93, Start Time: 0, End Time: 75, Duration: 75
- Job: Job43, Step: 1, Machine: Machine60, Start Time: 0, End Time: 97, Duration: 97
- Job: Job44, Step: 1, Machine: Machine53, Start Time: 0, End Time: 97, Duration: 97
- Job: Job45, Step: 1, Machine: Machine56, Start Time: 0, End Time: 6, Duration: 6
- Job: Job46, Step: 1, Machine: Machine83, Start Time: 59, End Time: 132, Duration: 73
- Job: Job47, Step: 1, Machine: Machine75, Start Time: 0, End Time: 99, Duration: 99
- Job: Job48, Step: 1, Machine: Machine96, Start Time: 0, End Time: 25, Duration: 25
- Job: Job49, Step: 1, Machine: Machine34, Start Time: 5, End Time: 14, Duration: 9
- Job: Job50, Step: 1, Machine: Machine50, Start Time: 0, End Time: 26, Duration: 26
- Job: Job51, Step: 1, Machine: Machine28, Start Time: 0, End Time: 41, Duration: 41
- Job: Job52, Step: 1, Machine: Machine83, Start Time: 132, End Time: 189, Duration: 57
