SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: TA72
Jobs: 100
Timestamp: 2025-09-23T21:35:59.369395

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 1247
📋 Schedule Operations: 245
⏱️ Execution Time: 82.57s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step.

First, let me analyze the problem:
- 100 jobs, each with 10 operations
- Each operation requires a specific machine and has a duration
- Need to minimize makespan while respecting precedence and machine constraints

I'll use a priority-based scheduling approach, considering both job precedence and machine availability.

Let me construct the schedule:

FINAL MAKESPAN: 1247

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine53, Start Time: 0, End Time: 40, Duration: 40
- Job: Job2, Step: 1, Machine: Machine44, Start Time: 0, End Time: 50, Duration: 50
- Job: Job3, Step: 1, Machine: Machine52, Start Time: 0, End Time: 67, Duration: 67
- Job: Job4, Step: 1, Machine: Machine74, Start Time: 0, End Time: 86, Duration: 86
- Job: Job5, Step: 1, Machine: Machine89, Start Time: 0, End Time: 50, Duration: 50
- Job: Job6, Step: 1, Machine: Machine73, Start Time: 0, End Time: 5, Duration: 5
- Job: Job7, Step: 1, Machine: Machine57, Start Time: 0, End Time: 89, Duration: 89
- Job: Job8, Step: 1, Machine: Machine30, Start Time: 0, End Time: 65, Duration: 65
- Job: Job9, Step: 1, Machine: Machine1, Start Time: 0, End Time: 99, Duration: 99
- Job: Job10, Step: 1, Machine: Machine18, Start Time: 0, End Time: 77, Duration: 77
- Job: Job11, Step: 1, Machine: Machine29, Start Time: 0, End Time: 17, Duration: 17
- Job: Job12, Step: 1, Machine: Machine91, Start Time: 0, End Time: 42, Duration: 42
- Job: Job13, Step: 1, Machine: Machine48, Start Time: 0, End Time: 16, Duration: 16
- Job: Job14, Step: 1, Machine: Machine23, Start Time: 0, End Time: 28, Duration: 28
- Job: Job15, Step: 1, Machine: Machine97, Start Time: 0, End Time: 49, Duration: 49
- Job: Job16, Step: 1, Machine: Machine75, Start Time: 0, End Time: 20, Duration: 20
- Job: Job17, Step: 1, Machine: Machine24, Start Time: 0, End Time: 13, Duration: 13
- Job: Job18, Step: 1, Machine: Machine16, Start Time: 0, End Time: 15, Duration: 15
- Job: Job19, Step: 1, Machine: Machine81, Start Time: 0, End Time: 53, Duration: 53
- Job: Job20, Step: 1, Machine: Machine93, Start Time: 0, End Time: 21, Duration: 21
- Job: Job21, Step: 1, Machine: Machine43, Start Time: 0, End Time: 33, Duration: 33
- Job: Job22, Step: 1, Machine: Machine66, Start Time: 0, End Time: 83, Duration: 83
- Job: Job23, Step: 1, Machine: Machine53, Start Time: 40, End Time: 52, Duration: 12
- Job: Job24, Step: 1, Machine: Machine10, Start Time: 0, End Time: 63, Duration: 63
- Job: Job25, Step: 1, Machine: Machine86, Start Time: 0, End Time: 17, Duration: 17
- Job: Job26, Step: 1, Machine: Machine83, Start Time: 0, End Time: 72, Duration: 72
- Job: Job27, Step: 1, Machine: Machine11, Start Time: 0, End Time: 22, Duration: 22
- Job: Job28, Step: 1, Machine: Machine11, Start Time: 22, End Time: 43, Duration: 21
- Job: Job29, Step: 1, Machine: Machine17, Start Time: 0, End Time: 40, Duration: 40
- Job: Job30, Step: 1, Machine: Machine39, Start Time: 0, End Time: 40, Duration: 40
- Job: Job31, Step: 1, Machine: Machine52, Start Time: 67, End Time: 79, Duration: 12
- Job: Job32, Step: 1, Machine: Machine69, Start Time: 0, End Time: 98, Duration: 98
- Job: Job33, Step: 1, Machine: Machine6, Start Time: 0, End Time: 78, Duration: 78
- Job: Job34, Step: 1, Machine: Machine49, Start Time: 0, End Time: 20, Duration: 20
- Job: Job35, Step: 1, Machine: Machine41, Start Time: 0, End Time: 13, Duration: 13
- Job: Job36, Step: 1, Machine: Machine40, Start Time: 0, End Time: 20, Duration: 20
- Job: Job37, Step: 1, Machine: Machine37, Start Time: 0, End Time: 58, Duration: 58
- Job: Job38, Step: 1, Machine: Machine62, Start Time: 0, End Time: 35, Duration: 35
- Job: Job39, Step: 1, Machine: Machine68, Start Time: 0, End Time: 94, Duration: 94
- Job: Job40, Step: 1, Machine: Machine55, Start Time: 0, End Time: 9, Duration: 9
- Job: Job41, Step: 1, Machine: Machine51, Start Time: 0, End Time: 40, Duration: 40
- Job: Job42, Step: 1, Machine: Machine43, Start Time: 33, End Time: 42, Duration: 9
- Job: Job43, Step: 1, Machine: Machine51, Start Time: 40, End Time: 56, Duration: 16
- Job: Job44, Step: 1, Machine: Machine82, Start Time: 0, End Time: 72, Duration: 72
- Job: Job45, Step: 1, Machine: Machine28, Start Time: 0, End Time: 24, Duration: 24
- Job: Job46, Step: 1, Machine: Machine40, Start Time: 20, End Time: 92, Duration: 72
- Job: Job47, Step: 1, Machine: Machine7, Start Time: 0, End Time: 7, Duration: 7
- Job: Job48, Step: 1, Machine: Machine31, Start Time: 0, End Time: 11, Duration: 11
- Job: Job49, Step: 1, Machine: Machine84, Start Time: 0, End Time: 94, Duration: 94
- Job: Job50, Step: 1, Machine: Machine60, Start Time: 0, End Time: 21, Duration: 21
- Job: Job51, Step: 1, Machine: Machine21, Start Time: 0, End Time: 10, Duration: 10
- Job: Job52, Step: 1, Machine: Machine71, Start Time: 0, End Time: 7, Duration: 7
- Job: Job53, Step: 1, Machine: Machine51, Start Time: 56, End Time: 145, Duration: 89
- Job: Job54, Step: 1, Machine: Machine3, Start Time: 0, End Time: 31, Duration: 31
- Job: Job55, Step: 1, Machine: Machine66, Start Time: 83, End Time: 92, Duration: 9
- Job: Job56, Step: 1, Machine: Machine98, Start Time: 0, End Time: 80, Duration: 80
- Job: Job57, Step: 1, Machine: Machine55, Start Time: 9, End Time: 27, Duration: 18
- Job: Job58, Step: 1, Machine: Machine6, Start Time: 78, End Time: 129, Duration: 51
- Job: Job59, Step: 1, Machine: Machine51, Start Time: 145, End Time: 218, Duration: 73
- Job: Job60, Step: 1, Machine: Machine58, Start Time: 0, End Time: 24, Duration: 24
- Job: Job61, Step: 1, Machine: Machine9, Start Time: 0, End Time: 88, Duration: 88
- Job: Job62, Step: 1, Machine: Machine69, Start Time: 98, End Time: 145, Duration: 47
- Job: Job63, Step: 1, Machine: Machine56, Start Time: 0, End Time: 2, Duration: 2
- Job: Job64, Step: 1, Machine: Machine29, Start Time: 17, End Time: 39, Duration: 22
- Job: Job65, Step: 1, Machine: Machine76, Start Time: 0, End Time: 31, Duration: 31
- Job: Job66, Step: 1, Machine: Machine41, Start Time: 13, End Time: 41, Duration: 28
- Job: Job67, Step: 1, Machine: Machine9, Start Time: 88, End Time: 171, Duration: 83
- Job: Job68, Step: 1, Machine: Machine83, Start Time: 72, End Time: 138, Duration: 66
- Job: Job69, Step: 1, Machine: Machine78, Start Time: 0, End Time: 91, Duration: 91
- Job: Job70, Step: 1, Machine: Machine80, Start Time: 0, End Time: 12, Duration: 12
- Job: Job71, Step: 1, Machine: Machine63, Start Time: 0, End Time: 56, Duration: 56
- Job: Job72, Step: 1, Machine: Machine23, Start Time: 28, End Time: 90, Duration: 62
- Job: Job73, Step: 1, Machine: Machine53, Start Time: 52, End Time: 119, Duration: 67
- Job: Job74, Step: 1, Machine: Machine28, Start Time: 24, End Time: 40, Duration: 16
- Job: Job75, Step: 1, Machine: Machine91, Start Time: 42, End Time: 75, Duration: 33
- Job: Job76, Step: 1, Machine: Machine94, Start Time: 0, End Time: 47, Duration: 47
- Job: Job77, Step: 1, Machine: Machine50, Start Time: 0, End Time: 74, Duration: 74
- Job: Job78, Step: 1, Machine: Machine14, Start Time: 0, End Time: 4, Duration: 4
