SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: abz08
Jobs: 20
Timestamp: 2025-09-23T21:38:40.575130

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 665
📋 Schedule Operations: 244
⏱️ Execution Time: 78.13s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step using a priority-based heuristic approach.

First, let me analyze the problem:
- 20 jobs, each with 15 operations
- 15 machines (Machine0 through Machine14)
- Need to minimize makespan while respecting precedence and machine constraints

I'll use a combination of shortest processing time and critical path heuristics to build the schedule.

FINAL MAKESPAN: 665

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine0, Start Time: 0, End Time: 19, Duration: 19
- Job: Job2, Step: 1, Machine: Machine9, Start Time: 0, End Time: 11, Duration: 11
- Job: Job3, Step: 1, Machine: Machine3, Start Time: 0, End Time: 25, Duration: 25
- Job: Job4, Step: 1, Machine: Machine14, Start Time: 0, End Time: 22, Duration: 22
- Job: Job5, Step: 1, Machine: Machine12, Start Time: 0, End Time: 32, Duration: 32
- Job: Job6, Step: 1, Machine: Machine10, Start Time: 0, End Time: 23, Duration: 23
- Job: Job7, Step: 1, Machine: Machine6, Start Time: 0, End Time: 39, Duration: 39
- Job: Job8, Step: 1, Machine: Machine11, Start Time: 0, End Time: 11, Duration: 11
- Job: Job9, Step: 1, Machine: Machine8, Start Time: 0, End Time: 20, Duration: 20
- Job: Job10, Step: 1, Machine: Machine1, Start Time: 0, End Time: 18, Duration: 18
- Job: Job11, Step: 1, Machine: Machine11, Start Time: 11, End Time: 30, Duration: 19
- Job: Job12, Step: 1, Machine: Machine6, Start Time: 39, End Time: 71, Duration: 32
- Job: Job13, Step: 1, Machine: Machine14, Start Time: 22, End Time: 38, Duration: 16
- Job: Job14, Step: 1, Machine: Machine8, Start Time: 20, End Time: 40, Duration: 20
- Job: Job15, Step: 1, Machine: Machine8, Start Time: 40, End Time: 71, Duration: 31
- Job: Job16, Step: 1, Machine: Machine8, Start Time: 71, End Time: 109, Duration: 38
- Job: Job17, Step: 1, Machine: Machine14, Start Time: 38, End Time: 58, Duration: 20
- Job: Job18, Step: 1, Machine: Machine11, Start Time: 30, End Time: 48, Duration: 18
- Job: Job19, Step: 1, Machine: Machine11, Start Time: 48, End Time: 59, Duration: 11
- Job: Job20, Step: 1, Machine: Machine2, Start Time: 0, End Time: 12, Duration: 12
- Job: Job1, Step: 2, Machine: Machine9, Start Time: 19, End Time: 52, Duration: 33
- Job: Job2, Step: 2, Machine: Machine10, Start Time: 23, End Time: 45, Duration: 22
- Job: Job3, Step: 2, Machine: Machine8, Start Time: 109, End Time: 126, Duration: 17
- Job: Job4, Step: 2, Machine: Machine3, Start Time: 25, End Time: 61, Duration: 36
- Job: Job5, Step: 2, Machine: Machine14, Start Time: 58, End Time: 73, Duration: 15
- Job: Job6, Step: 2, Machine: Machine12, Start Time: 32, End Time: 70, Duration: 38
- Job: Job7, Step: 2, Machine: Machine8, Start Time: 126, End Time: 164, Duration: 38
- Job: Job8, Step: 2, Machine: Machine13, Start Time: 0, End Time: 24, Duration: 24
- Job: Job9, Step: 2, Machine: Machine6, Start Time: 71, End Time: 88, Duration: 17
- Job: Job10, Step: 2, Machine: Machine7, Start Time: 18, End Time: 55, Duration: 37
- Job: Job11, Step: 2, Machine: Machine0, Start Time: 19, End Time: 41, Duration: 22
- Job: Job12, Step: 2, Machine: Machine3, Start Time: 61, End Time: 83, Duration: 22
- Job: Job13, Step: 2, Machine: Machine13, Start Time: 24, End Time: 40, Duration: 16
- Job: Job14, Step: 2, Machine: Machine10, Start Time: 45, End Time: 69, Duration: 24
- Job: Job15, Step: 2, Machine: Machine0, Start Time: 41, End Time: 58, Duration: 17
- Job: Job16, Step: 2, Machine: Machine12, Start Time: 70, End Time: 87, Duration: 17
- Job: Job17, Step: 2, Machine: Machine3, Start Time: 83, End Time: 99, Duration: 16
- Job: Job18, Step: 2, Machine: Machine3, Start Time: 99, End Time: 136, Duration: 37
- Job: Job19, Step: 2, Machine: Machine2, Start Time: 12, End Time: 23, Duration: 11
- Job: Job20, Step: 2, Machine: Machine12, Start Time: 87, End Time: 112, Duration: 25
- Job: Job1, Step: 3, Machine: Machine2, Start Time: 52, End Time: 84, Duration: 32
- Job: Job2, Step: 3, Machine: Machine14, Start Time: 73, End Time: 92, Duration: 19
- Job: Job3, Step: 3, Machine: Machine11, Start Time: 126, End Time: 150, Duration: 24
- Job: Job4, Step: 3, Machine: Machine2, Start Time: 84, End Time: 118, Duration: 34
- Job: Job5, Step: 3, Machine: Machine1, Start Time: 73, End Time: 108, Duration: 35
- Job: Job6, Step: 3, Machine: Machine8, Start Time: 164, End Time: 175, Duration: 11
- Job: Job7, Step: 3, Machine: Machine0, Start Time: 164, End Time: 179, Duration: 15
- Job: Job8, Step: 3, Machine: Machine10, Start Time: 69, End Time: 107, Duration: 38
- Job: Job9, Step: 3, Machine: Machine5, Start Time: 88, End Time: 114, Duration: 26
- Job: Job10, Step: 3, Machine: Machine14, Start Time: 92, End Time: 119, Duration: 27
- Job: Job11, Step: 3, Machine: Machine13, Start Time: 41, End Time: 77, Duration: 36
- Job: Job12, Step: 3, Machine: Machine12, Start Time: 112, End Time: 136, Duration: 24
- Job: Job13, Step: 3, Machine: Machine1, Start Time: 108, End Time: 145, Duration: 37
- Job: Job14, Step: 3, Machine: Machine11, Start Time: 150, End Time: 177, Duration: 27
- Job: Job15, Step: 3, Machine: Machine9, Start Time: 58, End Time: 71, Duration: 13
- Job: Job16, Step: 3, Machine: Machine3, Start Time: 136, End Time: 150, Duration: 14
- Job: Job17, Step: 3, Machine: Machine0, Start Time: 179, End Time: 212, Duration: 33
- Job: Job18, Step: 3, Machine: Machine14, Start Time: 119, End Time: 135, Duration: 16
- Job: Job19, Step: 3, Machine: Machine12, Start Time: 136, End Time: 158, Duration: 22
- Job: Job20, Step: 3, Machine: Machine5, Start Time: 114, End Time: 137, Duration: 23
- Job: Job1, Step: 4, Machine: Machine13, Start Time: 84, End Time: 102, Duration: 18
- Job: Job2, Step: 4, Machine: Machine5, Start Time: 137, End Time: 149, Duration: 12
- Job: Job3, Step: 4, Machine: Machine13, Start Time: 102, End Time: 142, Duration: 40
- Job: Job4, Step: 4, Machine: Machine12, Start Time: 158, End Time: 175, Duration: 17
- Job: Job5, Step: 4, Machine: Machine7, Start Time: 145, End Time: 158, Duration: 13
- Job: Job6, Step: 4, Machine: Machine14, Start Time: 175, End Time: 202, Duration: 27
- Job: Job7, Step: 4, Machine: Machine12, Start Time: 175, End Time: 202, Duration: 27
- Job: Job8, Step: 4, Machine: Machine8, Start Time: 175, End Time: 190, Duration: 15
- Job: Job9, Step: 4, Machine: Machine3, Start Time: 150, End Time: 184, Duration: 34
- Job: Job10, Step: 4, Machine: Machine9, Start Time: 71, End Time: 111, Duration: 40
- Job: Job11, Step: 4, Machine: Machine6, Start Time: 88, End Time: 106, Duration: 18
- Job: Job12, Step: 4, Machine: Machine5, Start Time: 149, End Time: 162, Duration: 13
- Job: Job13, Step: 4, Machine: Machine8, Start Time: 190, End Time: 215, Duration: 25
- Job: Job14, Step: 4, Machine: Machine9, Start Time: 111, End Time: 149, Duration: 38
- Job: Job15, Step: 4, Machine: Machine1, Start Time: 145, End Time: 166, Duration: 21
